;ENSCAFT00000022211_90_90;ENST00000324778_90_90;ENST00000367632_90_90;ENST00000367634_90_90;ENST00000367635_90_90;ENST00000415888_90_90;ENSMUST00000027886_90_90;ENSMUST00000063199_90_90;ENSMUST00000171292_90_90;ENSMUST00000172057_90_90;ENSMUST00000185198_90_90;ENSMUST00000188656_90_90;ENSMUST00000189316_90_90;ENSMUST00000189648_90_90;ENSMUST00000190648_90_90;ENSMUST00000190762_90_90;ENSMUST00000191605_90_90;ENSMUST00000192343_90_90
ENSCAFT00000022211_90_90;1.0;0.397;0.315;0.972;1.0;0.154;0.923;0.949;0.949;0.892;0.889;0.78;0.807;0.135;0.755;0.24;0.949;0.164
ENST00000324778_90_90;0.397;1.0;0.0;0.389;0.365;0.11;0.416;0.387;0.387;0.41;0.411;0.466;0.45;0.196;0.509;0.441;0.387;0.274
ENST00000367632_90_90;0.315;0.0;1.0;0.331;0.307;0.0;0.287;0.267;0.267;0.281;0.27;0.162;0.188;0.0;0.176;0.0;0.267;0.0
ENST00000367634_90_90;0.972;0.389;0.331;1.0;0.932;0.168;0.946;0.881;0.881;0.827;0.824;0.721;0.746;0.139;0.774;0.247;0.881;0.169
ENST00000367635_90_90;1.0;0.365;0.307;0.932;1.0;0.157;0.881;0.951;0.951;0.897;0.893;0.79;0.815;0.129;0.721;0.229;0.951;0.156
ENST00000415888_90_90;0.154;0.11;0.0;0.168;0.157;1.0;0.163;0.15;0.15;0.16;0.16;0.181;0.176;0.0;0.199;0.0;0.15;0.0
ENSMUST00000027886_90_90;0.923;0.416;0.287;0.946;0.881;0.163;1.0;0.934;0.934;0.883;0.791;0.685;0.763;0.131;0.729;0.233;0.934;0.153
ENSMUST00000063199_90_90;0.949;0.387;0.267;0.881;0.951;0.15;0.934;1.0;1.0;0.949;0.853;0.746;0.827;0.122;0.685;0.217;1.0;0.143
ENSMUST00000171292_90_90;0.949;0.387;0.267;0.881;0.951;0.15;0.934;1.0;1.0;0.949;0.853;0.746;0.827;0.122;0.685;0.217;1.0;0.143
ENSMUST00000172057_90_90;0.892;0.41;0.281;0.827;0.897;0.16;0.883;0.949;0.949;1.0;0.804;0.698;0.776;0.07;0.635;0.166;0.949;0.092
ENSMUST00000185198_90_90;0.889;0.411;0.27;0.824;0.893;0.16;0.791;0.853;0.853;0.804;1.0;0.776;0.86;0.127;0.712;0.227;0.853;0.148
ENSMUST00000188656_90_90;0.78;0.466;0.162;0.721;0.79;0.181;0.685;0.746;0.746;0.698;0.776;1.0;0.845;0.148;0.921;0.263;0.746;0.171
ENSMUST00000189316_90_90;0.807;0.45;0.188;0.746;0.815;0.176;0.763;0.827;0.827;0.776;0.86;0.845;1.0;0.139;0.774;0.247;0.827;0.162
ENSMUST00000189648_90_90;0.135;0.196;0.0;0.139;0.129;0.0;0.131;0.122;0.122;0.07;0.127;0.148;0.139;1.0;0.16;0.561;0.122;0.73
ENSMUST00000190648_90_90;0.755;0.509;0.176;0.774;0.721;0.199;0.729;0.685;0.685;0.635;0.712;0.921;0.774;0.16;1.0;0.285;0.685;0.186
ENSMUST00000190762_90_90;0.24;0.441;0.0;0.247;0.229;0.0;0.233;0.217;0.217;0.166;0.227;0.263;0.247;0.561;0.285;1.0;0.217;0.596
ENSMUST00000191605_90_90;0.949;0.387;0.267;0.881;0.951;0.15;0.934;1.0;1.0;0.949;0.853;0.746;0.827;0.122;0.685;0.217;1.0;0.143
ENSMUST00000192343_90_90;0.164;0.274;0.0;0.169;0.156;0.0;0.153;0.143;0.143;0.092;0.148;0.171;0.162;0.73;0.186;0.596;0.143;1.0
