;ENSCAFT00000011926_90_90;ENST00000419482_90_90;ENST00000438570_90_90;ENST00000444564_90_90;ENSMUST00000074301_90_90;ENSMUST00000114186_90_90;ENSMUST00000114188_90_90;ENSMUST00000129630_90_90;ENSMUST00000173297_90_90;ENSMUST00000173730_90_90
ENSCAFT00000011926_90_90;1.0;0.96;0.198;0.934;0.117;0.119;0.079;0.138;0.042;0.013
ENST00000419482_90_90;0.96;1.0;0.198;0.973;0.117;0.119;0.079;0.138;0.042;0.0
ENST00000438570_90_90;0.198;0.198;1.0;0.203;0.0;0.0;0.021;0.0;0.2;0.0
ENST00000444564_90_90;0.934;0.973;0.203;1.0;0.119;0.121;0.081;0.142;0.043;0.0
ENSMUST00000074301_90_90;0.117;0.117;0.0;0.119;1.0;0.973;0.886;0.089;0.0;0.118
ENSMUST00000114186_90_90;0.119;0.119;0.0;0.121;0.973;1.0;0.86;0.091;0.0;0.122
ENSMUST00000114188_90_90;0.079;0.079;0.021;0.081;0.886;0.86;1.0;0.0;0.025;0.127
ENSMUST00000129630_90_90;0.138;0.138;0.0;0.142;0.089;0.091;0.0;1.0;0.0;0.0
ENSMUST00000173297_90_90;0.042;0.042;0.2;0.043;0.0;0.0;0.025;0.0;1.0;0.0
ENSMUST00000173730_90_90;0.013;0.0;0.0;0.0;0.118;0.122;0.127;0.0;0.0;1.0
