;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;1.0;0.899;0.757;0.831;0.295;0.744;0.641;0.311;0.379;1.0;0.893;0.841;0.817
ENST00000265165_90_90;0.899;1.0;0.799;0.899;0.349;0.738;0.685;0.264;0.35;0.891;0.849;0.709;0.745
ENST00000379951_90_90;0.757;0.799;1.0;0.883;0.247;0.635;0.662;0.282;0.253;0.723;0.799;0.558;0.915
ENST00000438313_90_90;0.831;0.899;0.883;1.0;0.252;0.645;0.758;0.289;0.26;0.821;0.915;0.641;0.799
ENST00000504950_90_90;0.295;0.349;0.247;0.252;1.0;0.384;0.351;0.449;0.611;0.295;0.234;0.393;0.229
ENST00000506680_90_90;0.744;0.738;0.635;0.645;0.384;1.0;0.459;0.301;0.394;0.734;0.689;0.555;0.676
ENST00000510624_90_90;0.641;0.685;0.662;0.758;0.351;0.459;1.0;0.405;0.352;0.641;0.71;0.802;0.613
ENST00000512172_90_90;0.311;0.264;0.282;0.289;0.449;0.301;0.405;1.0;0.638;0.311;0.297;0.411;0.29
ENST00000515500_90_90;0.379;0.35;0.253;0.26;0.611;0.394;0.352;0.638;1.0;0.379;0.321;0.492;0.314
ENSMUST00000029611_90_90;1.0;0.891;0.723;0.821;0.295;0.734;0.641;0.311;0.379;1.0;0.893;0.81;0.79
ENSMUST00000066849_90_90;0.893;0.849;0.799;0.915;0.234;0.689;0.71;0.297;0.321;0.893;1.0;0.709;0.877
ENSMUST00000098611_90_90;0.841;0.709;0.558;0.641;0.393;0.555;0.802;0.411;0.492;0.81;0.709;1.0;0.621
ENSMUST00000106341_90_90;0.817;0.745;0.915;0.799;0.229;0.676;0.613;0.29;0.314;0.79;0.877;0.621;1.0
