;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;0.999;1.0;1.0;0.996;0.689;0.681;0.716;0.716;0.716;0.708;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.708;0.689;0.716;0.624;0.624;0.716;0.507;0.716
transcript8_ENSRNOG00000031503;0.999;1.0;0.999;0.999;1.0;0.696;0.7;1.0;1.0;1.0;0.97;1.0;1.0;1.0;1.0;1.0;1.0;0.97;0.97;0.97;0.914;1.0;0.806;0.806;1.0;0.704;1.0
transcript36_MGP-PahariEiJ-G0020237;1.0;0.999;1.0;1.0;0.996;0.689;0.681;0.716;0.716;0.716;0.708;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.708;0.689;0.716;0.624;0.624;0.716;0.507;0.716
transcript37_MGP-PahariEiJ-G0020237;1.0;0.999;1.0;1.0;0.996;0.689;0.681;0.716;0.716;0.716;0.708;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.708;0.689;0.716;0.624;0.624;0.716;0.507;0.716
transcript37_ENSCGRG00001010245;0.996;1.0;0.996;0.996;1.0;0.681;0.686;0.346;0.354;0.346;0.345;0.346;0.346;0.351;0.357;0.359;0.351;0.347;0.347;0.345;0.315;0.339;0.28;0.28;0.339;0.24;0.339
transcript38_MGP-PahariEiJ-G0020237;0.689;0.696;0.689;0.689;0.681;1.0;0.992;0.315;0.315;0.315;0.312;0.315;0.315;0.315;0.315;0.315;0.315;0.319;0.319;0.312;0.302;0.315;0.233;0.233;0.315;0.085;0.315
transcript38_ENSCGRG00001010245;0.681;0.7;0.681;0.681;0.686;0.992;1.0;0.164;0.166;0.164;0.165;0.164;0.164;0.166;0.168;0.169;0.166;0.165;0.165;0.165;0.147;0.159;0.107;0.108;0.159;0.046;0.159
transcript32_ENSCGRG00015005362;0.716;1.0;0.716;0.716;0.346;0.315;0.164;1.0;0.921;1.0;0.972;1.0;1.0;0.978;0.957;0.963;0.987;0.942;0.942;0.969;0.939;0.99;0.915;0.916;0.99;0.913;0.99
transcript33_ENSCGRG00015005362;0.716;1.0;0.716;0.716;0.354;0.315;0.166;0.921;1.0;0.921;0.909;0.921;0.921;0.9;0.879;0.986;0.907;0.879;0.879;0.906;0.848;0.911;0.825;0.825;0.911;0.836;0.911
transcript22_ENSCGRG00000018457;0.716;1.0;0.716;0.716;0.346;0.315;0.164;1.0;0.921;1.0;0.972;1.0;1.0;0.978;0.957;0.963;0.987;0.942;0.942;0.969;0.939;0.99;0.915;0.916;0.99;0.913;0.99
transcript22_ENSPEMG00000024651;0.708;0.97;0.708;0.708;0.345;0.312;0.165;0.972;0.909;0.972;1.0;0.972;0.972;0.957;0.933;0.95;0.964;0.952;0.952;0.997;0.91;0.95;0.885;0.888;0.95;0.879;0.95
transcript26_ENSCGRG00000018457;0.716;1.0;0.716;0.716;0.346;0.315;0.164;1.0;0.921;1.0;0.972;1.0;1.0;0.978;0.957;0.963;0.987;0.942;0.942;0.969;0.939;0.99;0.915;0.916;0.99;0.913;0.99
transcript26_ENSCGRG00001010245;0.716;1.0;0.716;0.716;0.346;0.315;0.164;1.0;0.921;1.0;0.972;1.0;1.0;0.978;0.957;0.963;0.987;0.942;0.942;0.969;0.939;0.99;0.915;0.916;0.99;0.913;0.99
