;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.831;0.033;0.913;0.675;0.349;0.302;0.806;0.661;0.354;0.786;0.812;0.611;0.944
ENST00000295894_90_90;0.831;1.0;0.033;0.889;0.824;0.353;0.29;0.825;0.761;0.465;0.573;0.643;0.441;0.715
ENST00000450542_90_90;0.033;0.033;1.0;0.029;0.038;0.29;0.0;0.178;0.035;0.0;0.038;0.037;0.046;0.097
ENST00000460711_90_90;0.913;0.889;0.029;1.0;0.728;0.308;0.251;0.75;0.671;0.395;0.677;0.748;0.547;0.812
ENST00000465156_90_90;0.675;0.824;0.038;0.728;1.0;0.351;0.335;0.671;0.597;0.473;0.428;0.488;0.513;0.577
ENST00000468110_90_90;0.349;0.353;0.29;0.308;0.351;1.0;0.358;0.512;0.374;0.636;0.129;0.126;0.373;0.369
ENST00000472899_90_90;0.302;0.29;0.0;0.251;0.335;0.358;1.0;0.213;0.309;0.565;0.191;0.234;0.479;0.245
ENST00000478300_90_90;0.806;0.825;0.178;0.75;0.671;0.512;0.213;1.0;0.621;0.353;0.552;0.566;0.376;0.801
ENST00000479198_90_90;0.661;0.761;0.035;0.671;0.597;0.374;0.309;0.621;1.0;0.497;0.417;0.475;0.52;0.564
ENST00000498449_90_90;0.354;0.465;0.0;0.395;0.473;0.636;0.565;0.353;0.497;1.0;0.134;0.172;0.476;0.292
ENSMUST00000070323_90_90;0.786;0.573;0.038;0.677;0.428;0.129;0.191;0.552;0.417;0.134;1.0;0.897;0.402;0.678
ENSMUST00000112656_90_90;0.812;0.643;0.037;0.748;0.488;0.126;0.234;0.566;0.475;0.172;0.897;1.0;0.452;0.701
ENSMUST00000153954_90_90;0.611;0.441;0.046;0.547;0.513;0.373;0.479;0.376;0.52;0.476;0.402;0.452;1.0;0.561
ENSMUST00000223583_90_90;0.944;0.715;0.097;0.812;0.577;0.369;0.245;0.801;0.564;0.292;0.678;0.701;0.561;1.0
