;ENSCAFT00000039701_90_90;ENST00000314845_90_90;ENST00000458649_90_90;ENST00000526545_90_90;ENST00000526606_90_90;ENST00000528950_90_90;ENST00000533727_90_90;ENST00000534300_90_90;ENSMUST00000045699_90_90;ENSMUST00000045705_90_90;ENSMUST00000099712_90_90;ENSMUST00000111316_90_90;ENSMUST00000111317_90_90
ENSCAFT00000039701_90_90;1.0;0.8;0.706;0.286;0.071;0.647;0.733;0.625;0.8;0.722;0.867;0.647;0.8
ENST00000314845_90_90;0.8;1.0;0.867;0.308;0.077;0.8;0.923;0.667;0.857;0.765;0.929;0.588;0.857
ENST00000458649_90_90;0.706;0.867;1.0;0.267;0.067;0.933;0.8;0.8;0.75;0.882;0.812;0.706;0.75
ENST00000526545_90_90;0.286;0.308;0.267;1.0;0.0;0.286;0.333;0.333;0.308;0.235;0.286;0.286;0.308
ENST00000526606_90_90;0.071;0.077;0.067;0.0;1.0;0.071;0.083;0.083;0.077;0.059;0.071;0.071;0.077
ENST00000528950_90_90;0.647;0.8;0.933;0.286;0.071;1.0;0.857;0.733;0.8;0.824;0.75;0.647;0.8
ENST00000533727_90_90;0.733;0.923;0.8;0.333;0.083;0.857;1.0;0.6;0.923;0.706;0.857;0.529;0.923
ENST00000534300_90_90;0.625;0.667;0.8;0.333;0.083;0.733;0.6;1.0;0.562;0.706;0.625;0.857;0.562
ENSMUST00000045699_90_90;0.8;0.857;0.75;0.308;0.077;0.8;0.923;0.562;1.0;0.765;0.929;0.588;1.0
ENSMUST00000045705_90_90;0.722;0.765;0.882;0.235;0.059;0.824;0.706;0.706;0.765;1.0;0.824;0.824;0.765
ENSMUST00000099712_90_90;0.867;0.929;0.812;0.286;0.071;0.75;0.857;0.625;0.929;0.824;1.0;0.647;0.929
ENSMUST00000111316_90_90;0.647;0.588;0.706;0.286;0.071;0.647;0.529;0.857;0.588;0.824;0.647;1.0;0.588
ENSMUST00000111317_90_90;0.8;0.857;0.75;0.308;0.077;0.8;0.923;0.562;1.0;0.765;0.929;0.588;1.0
