;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;;0.55;0.611;0.458;0.153;0.583;0.145;0.145;0.261;0.577;0.782;0.699;0.669;0.617
ENST00000265651_90_90;0.55;;;;;;;;;;0.526;0.672;0.634;0.584
ENST00000448981_90_90;0.611;;;;;;;;;;0.553;0.816;0.774;0.606
ENST00000526785_90_90;0.458;;;;;;;;;;0.438;0.567;0.59;0.472
ENST00000529137_90_90;0.153;;;;;;;;;;0.146;0.192;0.153;0.211
ENST00000530401_90_90;0.583;;;;;;;;;;0.528;0.774;0.806;0.57
ENST00000531080_90_90;0.145;;;;;;;;;;0.139;0.177;0.184;0.082
ENST00000532057_90_90;0.145;;;;;;;;;;0.139;0.177;0.184;0.082
ENST00000532927_90_90;0.261;;;;;;;;;;0.247;0.331;0.29;0.366
ENST00000534136_90_90;0.577;;;;;;;;;;0.551;0.706;0.667;0.611
ENSMUST00000028603_90_90;0.782;0.526;0.553;0.438;0.146;0.528;0.139;0.139;0.247;0.551;;;;
ENSMUST00000102565_90_90;0.699;0.672;0.816;0.567;0.192;0.774;0.177;0.177;0.331;0.706;;;;
ENSMUST00000111135_90_90;0.669;0.634;0.774;0.59;0.153;0.806;0.184;0.184;0.29;0.667;;;;
ENSMUST00000111136_90_90;0.617;0.584;0.606;0.472;0.211;0.57;0.082;0.082;0.366;0.611;;;;
