;ENSCAFT00000025578_90_90;ENSCAFT00000025580_90_90;ENST00000263846_90_90;ENST00000535826_90_90;ENST00000539008_90_90;ENST00000539246_90_90;ENST00000539468_90_90;ENST00000540677_90_90;ENST00000542670_90_90;ENST00000542836_90_90;ENST00000545053_90_90;ENSMUST00000073899_90_90;ENSMUST00000076968_90_90;ENSMUST00000169121_90_90;ENSMUST00000223586_90_90;ENSMUST00000224135_90_90;ENSMUST00000225452_90_90
ENSCAFT00000025578_90_90;1.0;0.633;0.415;0.595;0.813;0.183;0.183;0.538;0.697;0.474;0.204;0.415;0.697;0.639;0.474;0.578;0.365
ENSCAFT00000025580_90_90;0.633;1.0;0.271;0.445;0.655;0.209;0.209;0.39;0.543;0.327;0.242;0.271;0.543;0.487;0.327;0.427;0.413
ENST00000263846_90_90;0.415;0.271;1.0;0.677;0.512;0.229;0.229;0.74;0.621;0.889;0.503;1.0;0.621;0.673;0.889;0.739;0.171
ENST00000535826_90_90;0.595;0.445;0.677;1.0;0.756;0.253;0.253;0.917;0.576;0.762;0.335;0.677;0.576;0.512;0.762;0.55;0.405
ENST00000539008_90_90;0.813;0.655;0.512;0.756;1.0;0.195;0.195;0.692;0.821;0.576;0.253;0.512;0.821;0.757;0.576;0.69;0.384
ENST00000539246_90_90;0.183;0.209;0.229;0.253;0.195;1.0;1.0;0.175;0.236;0.328;0.373;0.229;0.236;0.165;0.328;0.178;0.48
ENST00000539468_90_90;0.183;0.209;0.229;0.253;0.195;1.0;1.0;0.175;0.236;0.328;0.373;0.229;0.236;0.165;0.328;0.178;0.48
ENST00000540677_90_90;0.538;0.39;0.74;0.917;0.692;0.175;0.175;1.0;0.512;0.677;0.365;0.74;0.512;0.547;0.677;0.59;0.332
ENST00000542670_90_90;0.697;0.543;0.621;0.576;0.821;0.236;0.236;0.512;1.0;0.7;0.31;0.621;1.0;0.923;0.7;0.841;0.255
ENST00000542836_90_90;0.474;0.327;0.889;0.762;0.576;0.328;0.328;0.677;0.7;1.0;0.446;0.889;0.7;0.621;1.0;0.676;0.247
ENST00000545053_90_90;0.204;0.242;0.503;0.335;0.253;0.373;0.373;0.365;0.31;0.446;1.0;0.503;0.31;0.337;0.446;0.369;0.246
ENSMUST00000073899_90_90;0.415;0.271;1.0;0.677;0.512;0.229;0.229;0.74;0.621;0.889;0.503;1.0;0.621;0.673;0.889;0.739;0.171
ENSMUST00000076968_90_90;0.697;0.543;0.621;0.576;0.821;0.236;0.236;0.512;1.0;0.7;0.31;0.621;1.0;0.923;0.7;0.841;0.255
ENSMUST00000169121_90_90;0.639;0.487;0.673;0.512;0.757;0.165;0.165;0.547;0.923;0.621;0.337;0.673;0.923;1.0;0.621;0.911;0.193
ENSMUST00000223586_90_90;0.474;0.327;0.889;0.762;0.576;0.328;0.328;0.677;0.7;1.0;0.446;0.889;0.7;0.621;1.0;0.676;0.247
ENSMUST00000224135_90_90;0.578;0.427;0.739;0.55;0.69;0.178;0.178;0.59;0.841;0.676;0.369;0.739;0.841;0.911;0.676;1.0;0.207
ENSMUST00000225452_90_90;0.365;0.413;0.171;0.405;0.384;0.48;0.48;0.332;0.255;0.247;0.246;0.171;0.255;0.193;0.247;0.207;1.0
