;ENSCAFT00000030441_90_90;ENSCAFT00000047641_90_90;ENST00000359786_90_90;ENST00000361007_90_90;ENST00000438665_90_90;ENST00000545534_90_90;ENST00000570490_90_90;ENST00000570984_90_90;ENST00000571715_90_90;ENST00000573853_90_90;ENST00000574790_90_90;ENST00000575011_90_90;ENST00000575158_90_90;ENST00000575335_90_90;ENSMUST00000069057_90_90;ENSMUST00000102504_90_90;ENSMUST00000102505_90_90;ENSMUST00000108431_90_90;ENSMUST00000136935_90_90
ENSCAFT00000030441_90_90;1.0;0.912;0.932;0.849;0.818;0.861;0.244;0.376;0.135;0.294;0.256;0.108;0.849;0.172;0.912;0.912;1.0;0.891;0.086
ENSCAFT00000047641_90_90;0.912;1.0;0.849;0.921;0.815;0.859;0.218;0.421;0.149;0.333;0.288;0.122;0.921;0.192;1.0;1.0;0.912;0.893;0.053
ENST00000359786_90_90;0.932;0.849;1.0;0.912;0.868;0.921;0.244;0.376;0.135;0.294;0.256;0.108;0.912;0.172;0.849;0.849;0.932;0.837;0.086
ENST00000361007_90_90;0.849;0.921;0.912;1.0;0.867;0.923;0.218;0.421;0.149;0.333;0.288;0.122;1.0;0.192;0.921;0.921;0.849;0.835;0.053
ENST00000438665_90_90;0.818;0.815;0.868;0.867;1.0;0.879;0.226;0.347;0.127;0.269;0.235;0.098;0.867;0.16;0.815;0.815;0.818;0.855;0.08
ENST00000545534_90_90;0.861;0.859;0.921;0.923;0.879;1.0;0.246;0.379;0.136;0.296;0.258;0.109;0.923;0.173;0.859;0.859;0.861;0.848;0.087
ENST00000570490_90_90;0.244;0.218;0.244;0.218;0.226;0.246;1.0;0.5;0.564;0.674;0.724;0.0;0.218;0.658;0.218;0.218;0.244;0.235;0.257
ENST00000570984_90_90;0.376;0.421;0.376;0.421;0.347;0.379;0.5;1.0;0.394;0.748;0.665;0.0;0.421;0.473;0.421;0.421;0.376;0.362;0.119
ENST00000571715_90_90;0.135;0.149;0.135;0.149;0.127;0.136;0.564;0.394;1.0;0.56;0.607;0.0;0.149;0.82;0.149;0.149;0.135;0.131;0.222
ENST00000573853_90_90;0.294;0.333;0.294;0.333;0.269;0.296;0.674;0.748;0.56;1.0;0.9;0.0;0.333;0.654;0.333;0.333;0.294;0.282;0.156
ENST00000574790_90_90;0.256;0.288;0.256;0.288;0.235;0.258;0.724;0.665;0.607;0.9;1.0;0.0;0.288;0.718;0.288;0.288;0.256;0.245;0.166
ENST00000575011_90_90;0.108;0.122;0.108;0.122;0.098;0.109;0.0;0.0;0.0;0.0;0.0;1.0;0.122;0.0;0.122;0.122;0.108;0.102;0.0
ENST00000575158_90_90;0.849;0.921;0.912;1.0;0.867;0.923;0.218;0.421;0.149;0.333;0.288;0.122;1.0;0.192;0.921;0.921;0.849;0.835;0.053
ENST00000575335_90_90;0.172;0.192;0.172;0.192;0.16;0.173;0.658;0.473;0.82;0.654;0.718;0.0;0.192;1.0;0.192;0.192;0.172;0.166;0.203
ENSMUST00000069057_90_90;0.912;1.0;0.849;0.921;0.815;0.859;0.218;0.421;0.149;0.333;0.288;0.122;0.921;0.192;1.0;1.0;0.912;0.893;0.053
ENSMUST00000102504_90_90;0.912;1.0;0.849;0.921;0.815;0.859;0.218;0.421;0.149;0.333;0.288;0.122;0.921;0.192;1.0;1.0;0.912;0.893;0.053
ENSMUST00000102505_90_90;1.0;0.912;0.932;0.849;0.818;0.861;0.244;0.376;0.135;0.294;0.256;0.108;0.849;0.172;0.912;0.912;1.0;0.891;0.086
ENSMUST00000108431_90_90;0.891;0.893;0.837;0.835;0.855;0.848;0.235;0.362;0.131;0.282;0.245;0.102;0.835;0.166;0.893;0.893;0.891;1.0;0.083
ENSMUST00000136935_90_90;0.086;0.053;0.086;0.053;0.08;0.087;0.257;0.119;0.222;0.156;0.166;0.0;0.053;0.203;0.053;0.053;0.086;0.083;1.0
