;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSCAFT00000022395_90_90;1.0;0.862;0.517;0.345;0.31;0.103;0.172;0.103;0.034;0.138;0.103;0.103;1.0;0.417;0.417;0.417;0.5;0.25;0.417;0.417;0.5;0.042;0.333;0.125;0.333
ENST00000319481_90_90;0.862;1.0;0.571;0.211;0.286;0.086;0.171;0.114;0.057;0.114;0.081;0.079;0.818;0.45;0.45;0.45;0.5;0.316;0.45;0.45;0.381;0.053;0.35;0.158;0.35
ENST00000357041_90_90;0.517;0.571;1.0;0.0;0.5;0.15;0.3;0.0;0.0;0.0;0.136;0.13;0.476;0.818;0.818;0.818;0.909;0.6;0.818;0.818;0.0;0.1;0.636;0.0;0.5
ENST00000399441_90_90;0.345;0.211;0.0;1.0;0.0;0.0;0.0;0.25;0.083;0.364;0.0;0.0;0.476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.3;0.0
ENST00000399443_90_90;0.31;0.286;0.5;0.0;1.0;0.3;0.6;0.0;0.0;0.0;0.0;0.231;0.429;0.9;0.9;0.9;0.818;0.667;0.9;0.9;0.0;0.111;0.7;0.0;0.417
ENST00000578013_90_90;0.103;0.086;0.15;0.0;0.3;1.0;0.125;0.0;0.0;0.0;0.0;0.0;0.143;0.3;0.3;0.3;0.273;0.5;0.3;0.3;0.0;0.0;0.1;0.0;0.0
ENST00000578055_90_90;0.172;0.171;0.3;0.0;0.6;0.125;1.0;0.0;0.0;0.0;0.0;0.333;0.238;0.5;0.5;0.5;0.455;0.222;0.5;0.5;0.0;0.2;0.444;0.0;0.444
ENST00000578091_90_90;0.103;0.114;0.0;0.25;0.0;0.0;0.0;1.0;0.5;0.6;0.0;0.0;0.143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.5;0.0
ENST00000579851_90_90;0.034;0.057;0.0;0.083;0.0;0.0;0.0;0.5;1.0;0.2;0.0;0.0;0.048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.333;0.0
ENST00000582645_90_90;0.138;0.114;0.0;0.364;0.0;0.0;0.0;0.6;0.2;1.0;0.0;0.0;0.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.4;0.0
ENST00000584119_90_90;0.103;0.081;0.136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000638614_90_90;0.103;0.079;0.13;0.0;0.231;0.0;0.333;0.0;0.0;0.0;0.0;1.0;0.143;0.3;0.3;0.3;0.273;0.125;0.3;0.3;0.0;0.0;0.375;0.0;0.375
ENSMUST00000074352_90_90;1.0;0.818;0.476;0.476;0.429;0.143;0.238;0.143;0.048;0.19;0.0;0.143;1.0;0.345;0.345;0.345;0.483;0.207;0.345;0.345;0.433;0.034;0.276;0.103;0.3
ENSMUST00000117361_90_90;0.417;0.45;0.818;0.0;0.9;0.3;0.5;0.0;0.0;0.0;0.0;0.3;0.345;1.0;1.0;1.0;0.714;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000118313_90_90;0.417;0.45;0.818;0.0;0.9;0.3;0.5;0.0;0.0;0.0;0.0;0.3;0.345;1.0;1.0;1.0;0.714;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000119043_90_90;0.417;0.45;0.818;0.0;0.9;0.3;0.5;0.0;0.0;0.0;0.0;0.3;0.345;1.0;1.0;1.0;0.714;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000119512_90_90;0.5;0.5;0.909;0.0;0.818;0.273;0.455;0.0;0.0;0.0;0.0;0.273;0.483;0.714;0.714;0.714;1.0;0.429;0.714;0.714;0.0;0.071;0.571;0.0;0.6
ENSMUST00000121774_90_90;0.25;0.316;0.6;0.0;0.667;0.5;0.222;0.0;0.0;0.0;0.0;0.125;0.207;0.6;0.6;0.6;0.429;1.0;0.6;0.6;0.0;0.0;0.4;0.0;0.143
ENSMUST00000121808_90_90;0.417;0.45;0.818;0.0;0.9;0.3;0.5;0.0;0.0;0.0;0.0;0.3;0.345;1.0;1.0;1.0;0.714;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000121888_90_90;0.417;0.45;0.818;0.0;0.9;0.3;0.5;0.0;0.0;0.0;0.0;0.3;0.345;1.0;1.0;1.0;0.714;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000122175_90_90;0.5;0.381;0.0;1.0;0.0;0.0;0.0;0.3;0.1;0.4;0.0;0.0;0.433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.214;0.0
ENSMUST00000124570_90_90;0.042;0.053;0.1;0.0;0.111;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.034;0.1;0.1;0.1;0.071;0.0;0.1;0.1;0.0;1.0;0.125;0.0;0.1
ENSMUST00000143077_90_90;0.333;0.35;0.636;0.0;0.7;0.1;0.444;0.0;0.0;0.0;0.0;0.375;0.276;0.8;0.8;0.8;0.571;0.4;0.8;0.8;0.0;0.125;1.0;0.0;0.5
ENSMUST00000147197_90_90;0.125;0.158;0.0;0.3;0.0;0.0;0.0;0.5;0.333;0.4;0.0;0.0;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.214;0.0;0.0;1.0;0.0
ENSMUST00000155650_90_90;0.333;0.35;0.5;0.0;0.417;0.0;0.444;0.0;0.0;0.0;0.0;0.375;0.3;0.429;0.429;0.429;0.6;0.143;0.429;0.429;0.0;0.1;0.5;0.0;1.0
