;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.025;0.219;0.0;0.051;0.068;0.174;0.068;0.219;0.258;0.0
ENST00000258909_90_90;0.025;1.0;0.392;0.913;0.771;0.0;0.428;0.155;0.285;0.146;0.5
ENST00000322019_90_90;0.219;0.392;1.0;0.358;0.508;0.066;0.916;0.45;0.847;0.754;0.325
ENST00000379384_90_90;0.0;0.913;0.358;1.0;0.704;0.0;0.391;0.162;0.254;0.113;0.531
ENST00000379390_90_90;0.051;0.771;0.508;0.704;1.0;0.06;0.555;0.243;0.393;0.262;0.413
ENST00000561551_90_90;0.068;0.0;0.066;0.0;0.06;1.0;0.072;0.0;0.066;0.087;0.0
ENST00000565774_90_90;0.174;0.428;0.916;0.391;0.555;0.072;1.0;0.402;0.77;0.67;0.353
ENST00000565982_90_90;0.068;0.155;0.45;0.162;0.243;0.0;0.402;1.0;0.45;0.596;0.272
ENSMUST00000041890_90_90;0.219;0.285;0.847;0.254;0.393;0.066;0.77;0.45;1.0;0.754;0.435
ENSMUST00000119543_90_90;0.258;0.146;0.754;0.113;0.262;0.087;0.67;0.596;0.754;1.0;0.189
ENSMUST00000126334_90_90;0.0;0.5;0.325;0.531;0.413;0.0;0.353;0.272;0.435;0.189;1.0
