;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.719;0.688;0.581;0.719;0.3;0.5;0.161;0.353;0.812;0.875;0.871;0.812;0.871;0.069;0.103;0.276;0.2;0.333
ENST00000290246_90_90;0.719;1.0;0.962;0.769;1.0;0.286;0.615;0.269;0.265;0.571;0.629;0.618;0.571;0.618;0.077;0.074;0.259;0.222;0.156
ENST00000352077_90_90;0.688;0.962;1.0;0.731;0.962;0.296;0.577;0.28;0.273;0.543;0.6;0.588;0.543;0.588;0.08;0.077;0.269;0.231;0.161
ENST00000372176_90_90;0.581;0.769;0.731;1.0;0.769;0.364;0.385;0.35;0.321;0.441;0.5;0.485;0.441;0.485;0.0;0.0;0.077;0.286;0.192
ENST00000396391_90_90;0.719;1.0;0.962;0.769;1.0;0.286;0.615;0.269;0.265;0.571;0.629;0.618;0.571;0.618;0.077;0.074;0.259;0.222;0.156
ENST00000425546_90_90;0.3;0.286;0.296;0.364;0.286;1.0;0.238;0.062;0.227;0.258;0.281;0.258;0.258;0.258;0.0;0.0;0.0;0.214;0.167
ENST00000450812_90_90;0.5;0.615;0.577;0.385;0.615;0.238;1.0;0.0;0.065;0.452;0.469;0.452;0.452;0.452;0.125;0.118;0.412;0.353;0.0
ENST00000452857_90_90;0.161;0.269;0.28;0.35;0.269;0.062;0.0;1.0;0.2;0.091;0.118;0.125;0.091;0.125;0.0;0.0;0.0;0.0;0.286
ENST00000467800_90_90;0.353;0.265;0.273;0.321;0.265;0.227;0.065;0.2;1.0;0.353;0.333;0.353;0.353;0.353;0.0;0.0;0.0;0.043;0.4
ENSMUST00000071699_90_90;0.812;0.571;0.543;0.441;0.571;0.258;0.452;0.091;0.353;1.0;0.875;0.933;1.0;0.933;0.069;0.103;0.276;0.241;0.333
ENSMUST00000074046_90_90;0.875;0.629;0.6;0.5;0.629;0.281;0.469;0.118;0.333;0.875;1.0;0.935;0.875;0.935;0.065;0.097;0.258;0.226;0.355
ENSMUST00000094329_90_90;0.871;0.618;0.588;0.485;0.618;0.258;0.452;0.125;0.353;0.933;0.935;1.0;0.933;1.0;0.069;0.103;0.276;0.241;0.379
ENSMUST00000103088_90_90;0.812;0.571;0.543;0.441;0.571;0.258;0.452;0.091;0.353;1.0;0.875;0.933;1.0;0.933;0.069;0.103;0.276;0.241;0.333
ENSMUST00000103091_90_90;0.871;0.618;0.588;0.485;0.618;0.258;0.452;0.125;0.353;0.933;0.935;1.0;0.933;1.0;0.069;0.103;0.276;0.241;0.379
ENSMUST00000126318_90_90;0.069;0.077;0.08;0.0;0.077;0.0;0.125;0.0;0.0;0.069;0.065;0.069;0.069;0.069;1.0;0.25;0.25;0.0;0.0
ENSMUST00000128690_90_90;0.103;0.074;0.077;0.0;0.074;0.0;0.118;0.0;0.0;0.103;0.097;0.103;0.103;0.103;0.25;1.0;0.375;0.0;0.0
ENSMUST00000133205_90_90;0.276;0.259;0.269;0.077;0.259;0.0;0.412;0.0;0.0;0.276;0.258;0.276;0.276;0.276;0.25;0.375;1.0;0.071;0.0
ENSMUST00000137188_90_90;0.2;0.222;0.231;0.286;0.222;0.214;0.353;0.0;0.043;0.241;0.226;0.241;0.241;0.241;0.0;0.0;0.071;1.0;0.0
ENSMUST00000148643_90_90;0.333;0.156;0.161;0.192;0.156;0.167;0.0;0.286;0.4;0.333;0.355;0.379;0.333;0.379;0.0;0.0;0.0;0.0;1.0
