;transcript21_ENSHGLG00100003156;transcript8_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript14_ENSHGLG00100006079;transcript7_ENSHGLG00100006079;transcript27_ENSHGLG00000019563;transcript18_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript19_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript2_ENSHGLG00100003156;transcript16_ENSHGLG00100003156;transcript16_ENSHGLG00000019563;transcript23_ENSHGLG00100003156;transcript22_ENSHGLG00100003156;transcript28_ENSHGLG00000019563;transcript2_ENSPCIG00000036398;transcript19_ENSPCIG00000036398
transcript21_ENSHGLG00100003156;1.0;0.83;0.83;0.939;0.939;0.669;0.819;0.819;0.819;0.644;0.907;0.933;0.933;0.933;0.621;0.316;0.907;0.819
transcript8_ENSHGLG00100003156;0.83;1.0;1.0;0.831;0.831;0.727;0.959;0.959;0.959;0.771;0.872;0.845;0.845;0.845;0.599;0.404;0.872;0.959
transcript8_ENSHGLG00000019563;0.83;1.0;1.0;0.831;0.831;0.727;0.959;0.959;0.959;0.771;0.872;0.845;0.845;0.845;0.599;0.404;0.872;0.959
transcript14_ENSHGLG00100006079;0.939;0.831;0.831;1.0;1.0;0.701;0.848;0.848;0.848;0.697;0.951;0.909;0.909;0.909;0.655;0.364;0.951;0.848
transcript7_ENSHGLG00100006079;0.939;0.831;0.831;1.0;1.0;0.701;0.848;0.848;0.848;0.697;0.951;0.909;0.909;0.909;0.655;0.364;0.951;0.848
transcript27_ENSHGLG00000019563;0.669;0.727;0.727;0.701;0.701;1.0;0.721;0.721;0.721;0.909;0.653;0.625;0.625;0.625;0.375;0.424;0.653;0.721
transcript18_ENSHGLG00100003156;0.819;0.959;0.959;0.848;0.848;0.721;1.0;1.0;1.0;0.792;0.911;0.884;0.884;0.884;0.639;0.43;0.911;1.0
transcript13_ENSHGLG00000019563;0.819;0.959;0.959;0.848;0.848;0.721;1.0;1.0;1.0;0.792;0.911;0.884;0.884;0.884;0.639;0.43;0.911;1.0
transcript19_ENSHGLG00000019563;0.819;0.959;0.959;0.848;0.848;0.721;1.0;1.0;1.0;0.792;0.911;0.884;0.884;0.884;0.639;0.43;0.911;1.0
transcript26_ENSHGLG00000019563;0.644;0.771;0.771;0.697;0.697;0.909;0.792;0.792;0.792;1.0;0.718;0.69;0.69;0.69;0.441;0.515;0.718;0.792
transcript2_ENSHGLG00100003156;0.907;0.872;0.872;0.951;0.951;0.653;0.911;0.911;0.911;0.718;1.0;0.972;0.972;0.972;0.696;0.381;1.0;0.911
transcript16_ENSHGLG00100003156;0.933;0.845;0.845;0.909;0.909;0.625;0.884;0.884;0.884;0.69;0.972;1.0;1.0;1.0;0.687;0.367;0.972;0.884
transcript16_ENSHGLG00000019563;0.933;0.845;0.845;0.909;0.909;0.625;0.884;0.884;0.884;0.69;0.972;1.0;1.0;1.0;0.687;0.367;0.972;0.884
transcript23_ENSHGLG00100003156;0.933;0.845;0.845;0.909;0.909;0.625;0.884;0.884;0.884;0.69;0.972;1.0;1.0;1.0;0.687;0.367;0.972;0.884
transcript22_ENSHGLG00100003156;0.621;0.599;0.599;0.655;0.655;0.375;0.639;0.639;0.639;0.441;0.696;0.687;0.687;0.687;1.0;0.51;0.696;0.639
transcript28_ENSHGLG00000019563;0.316;0.404;0.404;0.364;0.364;0.424;0.43;0.43;0.43;0.515;0.381;0.367;0.367;0.367;0.51;1.0;0.381;0.43
transcript2_ENSPCIG00000036398;0.907;0.872;0.872;0.951;0.951;0.653;0.911;0.911;0.911;0.718;1.0;0.972;0.972;0.972;0.696;0.381;1.0;0.911
transcript19_ENSPCIG00000036398;0.819;0.959;0.959;0.848;0.848;0.721;1.0;1.0;1.0;0.792;0.911;0.884;0.884;0.884;0.639;0.43;0.911;1.0
