;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.045;0.955;0.0;0.182;0.273;0.682;0.227;1.0;1.0;0.0
ENST00000258909_90_90;0.045;1.0;0.1;0.6;0.444;0.0;0.133;0.067;0.077;0.051;0.5
ENST00000322019_90_90;0.955;0.1;1.0;0.073;0.225;0.19;0.75;0.3;1.0;0.974;0.077
ENST00000379384_90_90;0.0;0.6;0.073;1.0;0.3;0.0;0.097;0.067;0.051;0.026;0.667
ENST00000379390_90_90;0.182;0.444;0.225;0.3;1.0;0.188;0.3;0.105;0.205;0.179;0.222
ENST00000561551_90_90;0.273;0.0;0.19;0.0;0.188;1.0;0.25;0.0;0.205;0.211;0.0
ENST00000565774_90_90;0.682;0.133;0.75;0.097;0.3;0.25;1.0;0.135;0.744;0.718;0.103
ENST00000565982_90_90;0.227;0.067;0.3;0.067;0.105;0.0;0.135;1.0;0.308;0.316;0.154
ENSMUST00000041890_90_90;1.0;0.077;1.0;0.051;0.205;0.205;0.744;0.308;1.0;0.95;0.1
ENSMUST00000119543_90_90;1.0;0.051;0.974;0.026;0.179;0.211;0.718;0.316;0.95;1.0;0.05
ENSMUST00000126334_90_90;0.0;0.5;0.077;0.667;0.222;0.0;0.103;0.154;0.1;0.05;1.0
