;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENSCAFT00000000309_90_90;;0.414;0.496;0.982;0.995;0.424;0.067;0.995;0.514;0.091;0.583;0.361;0.322;0.271;0.338;0.221;0.323;0.361;0.338;0.271;0.042;0.028;0.216;0.171;0.0;0.155;0.423;0.371;0.415;0.423;0.343;0.347;0.997;0.903;0.945;0.156;0.121;0.985;0.997;0.461;0.449;0.497;0.479;0.497;0.516;0.513;0.449;0.422;0.414;0.371;0.077;0.03;0.121;0.414;0.422;0.121
ENSCAFT00000019817_90_90;0.414;;0.202;0.411;0.414;0.325;0.0;0.414;0.386;0.0;0.401;0.374;0.347;0.17;0.365;0.134;0.352;0.374;0.365;0.17;0.043;0.0;0.126;0.148;0.0;0.092;0.962;0.921;0.992;0.962;0.512;0.512;0.414;0.371;0.401;0.125;0.0;0.409;0.414;0.471;0.463;0.497;0.481;0.497;0.506;0.503;0.463;0.944;0.974;0.904;0.095;0.035;0.136;0.974;0.944;0.136
ENSCAFT00000022132_90_90;0.496;0.202;;0.502;0.492;0.079;0.059;0.492;0.145;0.083;0.193;0.345;0.363;0.471;0.362;0.4;0.35;0.345;0.362;0.471;0.073;0.03;0.225;0.055;0.0;0.162;0.204;0.165;0.202;0.204;0.26;0.26;0.494;0.432;0.469;0.149;0.112;0.504;0.494;0.37;0.369;0.352;0.364;0.352;0.346;0.347;0.369;0.204;0.202;0.165;0.081;0.032;0.128;0.202;0.204;0.128
ENST00000257414_90_90;0.982;0.411;0.502;;;;;;;;;0.368;0.329;0.281;0.346;0.231;0.331;0.368;0.346;0.281;0.039;0.028;0.213;0.166;0.0;0.154;0.419;0.368;0.411;0.419;0.339;0.342;0.98;0.891;0.928;0.151;0.119;0.992;0.98;0.468;0.455;0.504;0.486;0.504;0.522;0.52;0.455;0.418;0.41;0.367;0.076;0.03;0.119;0.41;0.418;0.119
ENST00000343348_90_90;0.995;0.414;0.492;;;;;;;;;0.359;0.32;0.271;0.338;0.221;0.323;0.359;0.338;0.271;0.04;0.028;0.216;0.168;0.0;0.155;0.423;0.371;0.415;0.423;0.343;0.347;0.992;0.903;0.94;0.153;0.121;0.98;0.992;0.459;0.446;0.495;0.477;0.495;0.513;0.51;0.446;0.422;0.414;0.371;0.077;0.03;0.121;0.414;0.422;0.121
ENST00000503865_90_90;0.424;0.325;0.079;;;;;;;;;0.189;0.141;0.027;0.133;0.0;0.135;0.189;0.133;0.027;0.024;0.0;0.0;0.297;0.0;0.0;0.334;0.346;0.325;0.334;0.2;0.204;0.422;0.465;0.44;0.004;0.0;0.417;0.422;0.261;0.246;0.305;0.283;0.305;0.327;0.323;0.246;0.333;0.324;0.344;0.0;0.0;0.0;0.324;0.333;0.0
ENST00000509665_90_90;0.067;0.0;0.059;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.067;0.072;0.069;0.0;0.621;0.066;0.067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000510263_90_90;0.995;0.414;0.492;;;;;;;;;0.359;0.32;0.271;0.338;0.221;0.323;0.359;0.338;0.271;0.04;0.028;0.216;0.168;0.0;0.155;0.423;0.371;0.415;0.423;0.343;0.347;0.992;0.903;0.94;0.153;0.121;0.98;0.992;0.459;0.446;0.495;0.477;0.495;0.513;0.51;0.446;0.422;0.414;0.371;0.077;0.03;0.121;0.414;0.422;0.121
ENST00000513137_90_90;0.514;0.386;0.145;;;;;;;;;0.224;0.178;0.081;0.196;0.0;0.177;0.224;0.196;0.081;0.069;0.0;0.0;0.306;0.0;0.0;0.396;0.33;0.386;0.396;0.277;0.281;0.512;0.422;0.54;0.149;0.0;0.506;0.512;0.324;0.309;0.367;0.345;0.367;0.389;0.385;0.309;0.395;0.385;0.329;0.0;0.0;0.0;0.385;0.395;0.0
ENST00000515009_90_90;0.091;0.0;0.083;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.091;0.098;0.094;0.0;0.797;0.089;0.091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000515129_90_90;0.583;0.401;0.193;;;;;;;;;0.295;0.247;0.166;0.244;0.16;0.248;0.295;0.244;0.166;0.011;0.0;0.139;0.224;0.0;0.051;0.412;0.424;0.401;0.412;0.301;0.305;0.581;0.645;0.531;0.09;0.0;0.574;0.581;0.384;0.369;0.427;0.405;0.427;0.449;0.445;0.369;0.407;0.397;0.419;0.015;0.0;0.083;0.397;0.407;0.083
ENST00000316364_90_90;0.361;0.374;0.345;0.368;0.359;0.189;0.0;0.359;0.224;0.0;0.295;;;;;;;;;;;;;;;;0.359;0.362;0.378;0.359;0.162;0.164;0.361;0.332;0.337;0.095;0.0;0.369;0.361;0.666;0.675;0.726;0.654;0.726;0.712;0.709;0.675;0.359;0.377;0.362;0.063;0.025;0.1;0.377;0.359;0.1
ENST00000354744_90_90;0.322;0.347;0.363;0.329;0.32;0.141;0.0;0.32;0.178;0.0;0.247;;;;;;;;;;;;;;;;0.332;0.334;0.349;0.332;0.15;0.148;0.322;0.291;0.297;0.102;0.0;0.33;0.322;0.708;0.718;0.678;0.694;0.678;0.664;0.667;0.718;0.331;0.349;0.334;0.067;0.027;0.106;0.349;0.331;0.106
ENST00000355997_90_90;0.271;0.17;0.471;0.281;0.271;0.027;0.0;0.271;0.081;0.0;0.166;;;;;;;;;;;;;;;;0.173;0.149;0.17;0.173;0.221;0.221;0.27;0.234;0.241;0.159;0.0;0.28;0.27;0.374;0.38;0.37;0.366;0.37;0.363;0.364;0.38;0.173;0.17;0.149;0.111;0.044;0.175;0.17;0.173;0.175
ENST00000358066_90_90;0.338;0.365;0.362;0.346;0.338;0.133;0.0;0.338;0.196;0.0;0.244;;;;;;;;;;;;;;;;0.35;0.333;0.368;0.35;0.166;0.163;0.338;0.288;0.313;0.125;0.0;0.346;0.338;0.721;0.732;0.69;0.707;0.69;0.677;0.679;0.732;0.35;0.368;0.333;0.068;0.027;0.107;0.368;0.35;0.107
ENST00000389425_90_90;0.221;0.134;0.4;0.231;0.221;0.0;0.0;0.221;0.0;0.0;0.16;;;;;;;;;;;;;;;;0.137;0.141;0.134;0.137;0.192;0.192;0.221;0.24;0.181;0.095;0.0;0.231;0.221;0.327;0.332;0.312;0.32;0.312;0.305;0.306;0.332;0.137;0.134;0.141;0.149;0.059;0.234;0.134;0.137;0.234
ENST00000389428_90_90;0.323;0.352;0.35;0.331;0.323;0.135;0.0;0.323;0.177;0.0;0.248;;;;;;;;;;;;;;;;0.337;0.339;0.355;0.337;0.151;0.148;0.322;0.293;0.297;0.102;0.0;0.331;0.322;0.712;0.722;0.681;0.698;0.681;0.667;0.67;0.722;0.336;0.354;0.339;0.07;0.028;0.11;0.354;0.336;0.11
ENST00000536845_90_90;0.361;0.374;0.345;0.368;0.359;0.189;0.0;0.359;0.224;0.0;0.295;;;;;;;;;;;;;;;;0.359;0.362;0.378;0.359;0.162;0.164;0.361;0.332;0.337;0.095;0.0;0.369;0.361;0.666;0.675;0.726;0.654;0.726;0.712;0.709;0.675;0.359;0.377;0.362;0.063;0.025;0.1;0.377;0.359;0.1
ENST00000558014_90_90;0.338;0.365;0.362;0.346;0.338;0.133;0.0;0.338;0.196;0.0;0.244;;;;;;;;;;;;;;;;0.35;0.333;0.368;0.35;0.166;0.163;0.338;0.288;0.313;0.125;0.0;0.346;0.338;0.721;0.732;0.69;0.707;0.69;0.677;0.679;0.732;0.35;0.368;0.333;0.068;0.027;0.107;0.368;0.35;0.107
ENST00000558816_90_90;0.271;0.17;0.471;0.281;0.271;0.027;0.0;0.271;0.081;0.0;0.166;;;;;;;;;;;;;;;;0.173;0.149;0.17;0.173;0.221;0.221;0.27;0.234;0.241;0.159;0.0;0.28;0.27;0.374;0.38;0.37;0.366;0.37;0.363;0.364;0.38;0.173;0.17;0.149;0.111;0.044;0.175;0.17;0.173;0.175
ENST00000559064_90_90;0.042;0.043;0.073;0.039;0.04;0.024;0.0;0.04;0.069;0.0;0.011;;;;;;;;;;;;;;;;0.044;0.011;0.043;0.044;0.067;0.067;0.042;0.008;0.044;0.16;0.0;0.042;0.042;0.041;0.041;0.038;0.04;0.038;0.037;0.037;0.041;0.044;0.042;0.011;0.0;0.0;0.0;0.042;0.044;0.0
ENST00000559184_90_90;0.028;0.0;0.03;0.028;0.028;0.0;0.0;0.028;0.0;0.0;0.0;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.028;0.031;0.029;0.0;0.0;0.028;0.028;0.014;0.015;0.014;0.014;0.014;0.013;0.013;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000559196_90_90;0.216;0.126;0.225;0.213;0.216;0.0;0.0;0.216;0.0;0.0;0.139;;;;;;;;;;;;;;;;0.129;0.134;0.126;0.129;0.197;0.197;0.215;0.238;0.178;0.022;0.0;0.213;0.215;0.208;0.211;0.198;0.203;0.198;0.193;0.194;0.211;0.129;0.126;0.134;0.293;0.117;0.458;0.126;0.129;0.458
ENST00000560006_90_90;0.171;0.148;0.055;0.166;0.168;0.297;0.0;0.168;0.306;0.0;0.224;;;;;;;;;;;;;;;;0.152;0.126;0.148;0.152;0.08;0.09;0.17;0.151;0.177;0.079;0.0;0.169;0.17;0.111;0.113;0.171;0.109;0.171;0.167;0.164;0.113;0.151;0.148;0.126;0.0;0.0;0.0;0.148;0.151;0.0
