;ENSCAFT00000011926_90_90;ENST00000419482_90_90;ENST00000438570_90_90;ENST00000444564_90_90;ENSMUST00000074301_90_90;ENSMUST00000114186_90_90;ENSMUST00000114188_90_90;ENSMUST00000129630_90_90;ENSMUST00000173297_90_90;ENSMUST00000173730_90_90
ENSCAFT00000011926_90_90;1.0;0.99;0.239;0.948;0.441;0.441;0.323;0.279;0.146;0.049
ENST00000419482_90_90;0.99;1.0;0.218;0.962;0.394;0.395;0.291;0.279;0.146;0.0
ENST00000438570_90_90;0.239;0.218;1.0;0.227;0.0;0.0;0.153;0.0;0.601;0.0
ENST00000444564_90_90;0.948;0.962;0.227;1.0;0.395;0.396;0.291;0.281;0.147;0.0
ENSMUST00000074301_90_90;0.441;0.394;0.0;0.395;1.0;0.962;0.748;0.188;0.0;0.134
ENSMUST00000114186_90_90;0.441;0.395;0.0;0.396;0.962;1.0;0.712;0.196;0.0;0.14
ENSMUST00000114188_90_90;0.323;0.291;0.153;0.291;0.748;0.712;1.0;0.0;0.096;0.151
ENSMUST00000129630_90_90;0.279;0.279;0.0;0.281;0.188;0.196;0.0;1.0;0.0;0.0
ENSMUST00000173297_90_90;0.146;0.146;0.601;0.147;0.0;0.0;0.096;0.0;1.0;0.0
ENSMUST00000173730_90_90;0.049;0.0;0.0;0.0;0.134;0.14;0.151;0.0;0.0;1.0
