;transcript5_ENSHGLG00100006079;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript7_ENSXMAG00000026005;transcript5_ENSXMAG00000026005
transcript5_ENSHGLG00100006079;1.0;0.992;0.992;0.907;0.628;0.887;0.808;0.628;0.992;0.992;0.992
transcript5_ENSHGLG00100003156;0.992;1.0;1.0;0.936;0.551;0.906;0.837;0.621;1.0;1.0;1.0
transcript18_ENSHGLG00100003156;0.992;1.0;1.0;0.936;0.551;0.906;0.837;0.621;1.0;1.0;1.0
transcript34_ENSHGLG00100003156;0.907;0.936;0.936;1.0;0.487;0.842;0.808;0.536;0.936;0.936;0.936
transcript35_ENSHGLG00100003156;0.628;0.551;0.551;0.487;1.0;0.457;0.388;1.0;0.551;0.551;0.551
transcript36_ENSHGLG00100003156;0.887;0.906;0.906;0.842;0.457;1.0;0.742;0.516;0.906;0.906;0.906
transcript33_ENSHGLG00100003156;0.808;0.837;0.837;0.808;0.388;0.742;1.0;0.438;0.837;0.837;0.837
transcript30_ENSHGLG00100006079;0.628;0.621;0.621;0.536;1.0;0.516;0.438;1.0;0.621;0.621;0.621
transcript5_ENSPCIG00000036398;0.992;1.0;1.0;0.936;0.551;0.906;0.837;0.621;1.0;1.0;1.0
transcript7_ENSXMAG00000026005;0.992;1.0;1.0;0.936;0.551;0.906;0.837;0.621;1.0;1.0;1.0
transcript5_ENSXMAG00000026005;0.992;1.0;1.0;0.936;0.551;0.906;0.837;0.621;1.0;1.0;1.0
