;ENSCAFT00000018209_90_90;ENSCAFT00000043863_90_90;ENST00000264183_90_90;ENST00000349213_90_90;ENST00000366603_90_90;ENST00000418304_90_90;ENST00000421364_90_90;ENST00000444620_90_90;ENST00000474953_90_90;ENSMUST00000039538_90_90;ENSMUST00000110533_90_90;ENSMUST00000110534_90_90;ENSMUST00000110536_90_90;ENSMUST00000129488_90_90;ENSMUST00000151151_90_90;ENSMUST00000222928_90_90
ENSCAFT00000018209_90_90;1.0;0.708;1.0;0.727;1.0;0.364;0.909;0.273;0.227;0.739;0.261;1.0;0.739;0.391;0.043;0.13
ENSCAFT00000043863_90_90;0.708;1.0;0.682;0.938;0.682;0.438;0.591;0.312;0.333;0.941;0.294;0.696;0.941;0.389;0.062;0.118
ENST00000264183_90_90;1.0;0.682;1.0;0.696;1.0;0.348;0.875;0.25;0.208;0.682;0.273;1.0;0.682;0.409;0.043;0.136
ENST00000349213_90_90;0.727;0.938;0.696;1.0;0.696;0.5;0.583;0.278;0.294;1.0;0.4;0.682;1.0;0.5;0.062;0.2
ENST00000366603_90_90;1.0;0.682;1.0;0.696;1.0;0.348;0.875;0.25;0.208;0.682;0.273;1.0;0.682;0.409;0.043;0.136
ENST00000418304_90_90;0.364;0.438;0.348;0.5;0.348;1.0;0.364;0.0;0.0;0.467;0.857;0.318;0.467;0.778;0.0;0.429
ENST00000421364_90_90;0.909;0.591;0.875;0.583;0.875;0.364;1.0;0.261;0.167;0.565;0.286;0.87;0.565;0.429;0.095;0.143
ENST00000444620_90_90;0.273;0.312;0.25;0.278;0.25;0.0;0.261;1.0;0.444;0.312;0.0;0.273;0.312;0.0;0.143;0.0
ENST00000474953_90_90;0.227;0.333;0.208;0.294;0.208;0.0;0.167;0.444;1.0;0.333;0.0;0.227;0.333;0.0;0.167;0.0
ENSMUST00000039538_90_90;0.739;0.941;0.682;1.0;0.682;0.467;0.565;0.312;0.333;1.0;0.333;0.68;1.0;0.444;0.056;0.176
ENSMUST00000110533_90_90;0.261;0.294;0.273;0.4;0.273;0.857;0.286;0.0;0.0;0.333;1.0;0.231;0.333;0.6;0.0;0.429
ENSMUST00000110534_90_90;1.0;0.696;1.0;0.682;1.0;0.318;0.87;0.273;0.227;0.68;0.231;1.0;0.68;0.36;0.038;0.12
ENSMUST00000110536_90_90;0.739;0.941;0.682;1.0;0.682;0.467;0.565;0.312;0.333;1.0;0.333;0.68;1.0;0.444;0.056;0.176
ENSMUST00000129488_90_90;0.391;0.389;0.409;0.5;0.409;0.778;0.429;0.0;0.0;0.444;0.6;0.36;0.444;1.0;0.0;0.333
ENSMUST00000151151_90_90;0.043;0.062;0.043;0.062;0.043;0.0;0.095;0.143;0.167;0.056;0.0;0.038;0.056;0.0;1.0;0.0
ENSMUST00000222928_90_90;0.13;0.118;0.136;0.2;0.136;0.429;0.143;0.0;0.0;0.176;0.429;0.12;0.176;0.333;0.0;1.0
