;ENSCAFT00000014468_90_90;ENST00000312055_90_90;ENST00000354558_90_90;ENST00000525896_90_90;ENST00000526496_90_90;ENST00000526876_90_90;ENST00000527333_90_90;ENST00000529230_90_90;ENSMUST00000046769_90_90;ENSMUST00000099716_90_90;ENSMUST00000111337_90_90;ENSMUST00000111338_90_90
ENSCAFT00000014468_90_90;;0.845;0.845;0.126;0.067;0.211;0.178;0.916;0.935;0.97;0.897;0.97
ENST00000312055_90_90;0.845;;;;;;;;0.833;0.867;0.933;0.867
ENST00000354558_90_90;0.845;;;;;;;;0.833;0.867;0.933;0.867
ENST00000525896_90_90;0.126;;;;;;;;0.097;0.13;0.142;0.13
ENST00000526496_90_90;0.067;;;;;;;;0.071;0.068;0.074;0.068
ENST00000526876_90_90;0.211;;;;;;;;0.232;0.221;0.147;0.221
ENST00000527333_90_90;0.178;;;;;;;;0.195;0.185;0.157;0.185
ENST00000529230_90_90;0.916;;;;;;;;0.906;0.941;0.867;0.941
ENSMUST00000046769_90_90;0.935;0.833;0.833;0.097;0.071;0.232;0.195;0.906;;;;
ENSMUST00000099716_90_90;0.97;0.867;0.867;0.13;0.068;0.221;0.185;0.941;;;;
ENSMUST00000111337_90_90;0.897;0.933;0.933;0.142;0.074;0.147;0.157;0.867;;;;
ENSMUST00000111338_90_90;0.97;0.867;0.867;0.13;0.068;0.221;0.185;0.941;;;;
