;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENSCAFT00000000309_90_90;1.0;0.637;0.71;0.944;0.971;0.568;0.116;0.971;0.634;0.13;0.712;0.702;0.648;0.308;0.665;0.229;0.667;0.702;0.665;0.308;0.041;0.029;0.137;0.173;0.0;0.108;0.58;0.605;0.617;0.58;0.243;0.237;0.979;0.893;0.93;0.157;0.145;0.951;0.979;0.675;0.677;0.733;0.657;0.733;0.713;0.701;0.677;0.554;0.59;0.578;0.063;0.028;0.09;0.59;0.554;0.09
ENSCAFT00000019817_90_90;0.637;1.0;0.608;0.602;0.617;0.369;0.111;0.617;0.389;0.127;0.464;0.6;0.573;0.291;0.578;0.225;0.579;0.6;0.578;0.291;0.045;0.032;0.143;0.165;0.0;0.111;0.862;0.892;0.908;0.862;0.346;0.338;0.623;0.599;0.605;0.104;0.143;0.608;0.623;0.588;0.589;0.616;0.582;0.616;0.609;0.598;0.589;0.835;0.88;0.865;0.087;0.048;0.126;0.88;0.835;0.126
ENSCAFT00000022132_90_90;0.71;0.608;1.0;0.694;0.69;0.409;0.092;0.69;0.467;0.105;0.512;0.942;0.851;0.316;0.837;0.225;0.817;0.942;0.837;0.316;0.085;0.033;0.132;0.243;0.0;0.106;0.555;0.578;0.59;0.555;0.239;0.233;0.706;0.655;0.698;0.122;0.118;0.709;0.706;0.861;0.841;0.934;0.907;0.934;0.98;0.967;0.841;0.531;0.565;0.554;0.051;0.026;0.076;0.565;0.531;0.076
ENST00000257414_90_90;0.944;0.602;0.694;1.0;0.972;0.542;0.113;0.972;0.616;0.127;0.704;0.686;0.653;0.291;0.648;0.222;0.65;0.686;0.648;0.291;0.054;0.028;0.133;0.169;0.0;0.105;0.557;0.571;0.583;0.557;0.237;0.231;0.951;0.881;0.878;0.153;0.141;0.979;0.951;0.659;0.66;0.695;0.661;0.695;0.696;0.694;0.66;0.532;0.558;0.547;0.062;0.027;0.088;0.558;0.532;0.088
ENST00000343348_90_90;0.971;0.617;0.69;0.972;1.0;0.557;0.116;1.0;0.634;0.13;0.725;0.682;0.648;0.299;0.665;0.229;0.667;0.682;0.665;0.299;0.041;0.029;0.137;0.158;0.0;0.108;0.571;0.585;0.598;0.571;0.243;0.237;0.979;0.906;0.903;0.157;0.145;0.951;0.979;0.675;0.677;0.712;0.657;0.712;0.692;0.69;0.677;0.545;0.571;0.56;0.063;0.028;0.09;0.571;0.545;0.09
ENST00000503865_90_90;0.568;0.369;0.409;0.542;0.557;1.0;0.0;0.557;0.812;0.0;0.765;0.416;0.446;0.008;0.458;0.0;0.468;0.416;0.458;0.008;0.0;0.0;0.0;0.093;0.0;0.0;0.366;0.365;0.36;0.366;0.149;0.14;0.564;0.605;0.577;0.01;0.0;0.549;0.564;0.458;0.468;0.435;0.437;0.435;0.416;0.412;0.468;0.342;0.338;0.342;0.0;0.0;0.0;0.338;0.342;0.0
ENST00000509665_90_90;0.116;0.111;0.092;0.113;0.116;0.0;1.0;0.116;0.0;0.889;0.0;0.093;0.103;0.275;0.106;0.389;0.109;0.093;0.106;0.275;0.0;0.235;0.636;0.0;0.0;0.778;0.107;0.104;0.102;0.107;0.241;0.245;0.115;0.126;0.118;0.0;0.8;0.112;0.115;0.106;0.109;0.098;0.101;0.098;0.093;0.095;0.109;0.106;0.101;0.102;0.45;0.2;0.591;0.101;0.106;0.591
ENST00000510263_90_90;0.971;0.617;0.69;0.972;1.0;0.557;0.116;1.0;0.634;0.13;0.725;0.682;0.648;0.299;0.665;0.229;0.667;0.682;0.665;0.299;0.041;0.029;0.137;0.158;0.0;0.108;0.571;0.585;0.598;0.571;0.243;0.237;0.979;0.906;0.903;0.157;0.145;0.951;0.979;0.675;0.677;0.712;0.657;0.712;0.692;0.69;0.677;0.545;0.571;0.56;0.063;0.028;0.09;0.571;0.545;0.09
ENST00000513137_90_90;0.634;0.389;0.467;0.616;0.634;0.812;0.0;0.634;1.0;0.0;0.672;0.467;0.407;0.036;0.418;0.0;0.426;0.467;0.418;0.036;0.0;0.0;0.0;0.179;0.0;0.0;0.35;0.385;0.38;0.35;0.133;0.125;0.618;0.545;0.643;0.103;0.0;0.601;0.618;0.418;0.426;0.487;0.409;0.487;0.476;0.472;0.426;0.329;0.358;0.362;0.0;0.0;0.0;0.358;0.329;0.0
ENST00000515009_90_90;0.13;0.127;0.105;0.127;0.13;0.0;0.889;0.13;0.0;1.0;0.0;0.107;0.118;0.314;0.121;0.444;0.124;0.107;0.121;0.314;0.0;0.211;0.727;0.0;0.0;0.789;0.124;0.12;0.118;0.124;0.278;0.283;0.129;0.142;0.132;0.0;0.9;0.126;0.129;0.121;0.124;0.112;0.115;0.112;0.107;0.108;0.124;0.122;0.116;0.118;0.409;0.182;0.542;0.116;0.122;0.542
