;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;0.811;0.807;0.642;0.991;0.999;0.144;0.793;0.642;0.793;0.793;0.946;0.767;0.775;0.282;0.825
ENSCAFT00000021179_90_90;0.811;1.0;0.911;0.747;0.81;0.812;0.0;0.787;0.739;0.787;0.787;0.814;0.881;0.883;0.328;0.916
ENST00000359842_90_90;0.807;0.911;1.0;0.734;0.805;0.807;0.001;0.871;0.735;0.871;0.871;0.745;0.81;0.812;0.278;0.836
ENST00000619224_90_90;0.642;0.747;0.734;1.0;0.64;0.642;0.0;0.747;1.0;0.747;0.747;0.671;0.832;0.834;0.205;0.762
ENST00000374680_90_90;0.991;0.81;0.805;0.64;1.0;0.993;0.148;0.79;0.64;0.79;0.79;0.94;0.773;0.767;0.284;0.831
ENST00000374685_90_90;0.999;0.812;0.807;0.642;0.993;1.0;0.147;0.792;0.642;0.792;0.792;0.948;0.767;0.775;0.282;0.825
ENST00000483281_90_90;0.144;0.0;0.001;0.0;0.148;0.147;1.0;0.044;0.0;0.044;0.044;0.149;0.0;0.0;0.0;0.027
ENSMUST00000015987_90_90;0.793;0.787;0.871;0.747;0.79;0.792;0.044;1.0;0.734;1.0;1.0;0.698;0.711;0.713;0.208;0.758
ENSMUST00000111380_90_90;0.642;0.739;0.735;1.0;0.64;0.642;0.0;0.734;1.0;0.734;0.734;0.659;0.831;0.834;0.205;0.746
ENSMUST00000111384_90_90;0.793;0.787;0.871;0.747;0.79;0.792;0.044;1.0;0.734;1.0;1.0;0.698;0.711;0.713;0.208;0.758
ENSMUST00000111386_90_90;0.793;0.787;0.871;0.747;0.79;0.792;0.044;1.0;0.734;1.0;1.0;0.698;0.711;0.713;0.208;0.758
ENSMUST00000044858_90_90;0.946;0.814;0.745;0.671;0.94;0.948;0.149;0.698;0.659;0.698;0.698;1.0;0.782;0.79;0.287;0.875
ENSMUST00000116612_90_90;0.767;0.881;0.81;0.832;0.773;0.767;0.0;0.711;0.831;0.711;0.711;0.782;1.0;0.99;0.366;0.895
ENSMUST00000173354_90_90;0.775;0.883;0.812;0.834;0.767;0.775;0.0;0.713;0.834;0.713;0.713;0.79;0.99;1.0;0.363;0.887
ENSMUST00000173554_90_90;0.282;0.328;0.278;0.205;0.284;0.282;0.0;0.208;0.205;0.208;0.208;0.287;0.366;0.363;1.0;0.328
ENSMUST00000174299_90_90;0.825;0.916;0.836;0.762;0.831;0.825;0.027;0.758;0.746;0.758;0.758;0.875;0.895;0.887;0.328;1.0
