;transcript21_ENSHGLG00100003156;transcript8_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript14_ENSHGLG00100006079;transcript7_ENSHGLG00100006079;transcript27_ENSHGLG00000019563;transcript18_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript19_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript2_ENSHGLG00100003156;transcript16_ENSHGLG00100003156;transcript16_ENSHGLG00000019563;transcript23_ENSHGLG00100003156;transcript22_ENSHGLG00100003156;transcript28_ENSHGLG00000019563;transcript2_ENSPCIG00000036398;transcript19_ENSPCIG00000036398
transcript21_ENSHGLG00100003156;1.0;0.864;0.864;0.581;0.581;0.605;0.848;0.848;0.848;0.6;0.891;0.932;0.932;0.932;0.489;0.114;0.891;0.848
transcript8_ENSHGLG00100003156;0.864;1.0;1.0;0.545;0.545;0.643;0.932;0.932;0.932;0.674;0.891;0.848;0.848;0.848;0.489;0.14;0.891;0.932
transcript8_ENSHGLG00000019563;0.864;1.0;1.0;0.545;0.545;0.643;0.932;0.932;0.932;0.674;0.891;0.848;0.848;0.848;0.489;0.14;0.891;0.932
transcript14_ENSHGLG00100006079;0.581;0.545;0.545;1.0;1.0;0.486;0.543;0.543;0.543;0.487;0.587;0.543;0.543;0.543;0.395;0.167;0.587;0.543
transcript7_ENSHGLG00100006079;0.581;0.545;0.545;1.0;1.0;0.486;0.543;0.543;0.543;0.487;0.587;0.543;0.543;0.543;0.395;0.167;0.587;0.543
transcript27_ENSHGLG00000019563;0.605;0.643;0.643;0.486;0.486;1.0;0.636;0.636;0.636;0.903;0.609;0.565;0.565;0.565;0.2;0.161;0.609;0.636
transcript18_ENSHGLG00100003156;0.848;0.932;0.932;0.543;0.543;0.636;1.0;1.0;1.0;0.705;0.957;0.913;0.913;0.913;0.556;0.182;0.957;1.0
transcript13_ENSHGLG00000019563;0.848;0.932;0.932;0.543;0.543;0.636;1.0;1.0;1.0;0.705;0.957;0.913;0.913;0.913;0.556;0.182;0.957;1.0
transcript19_ENSHGLG00000019563;0.848;0.932;0.932;0.543;0.543;0.636;1.0;1.0;1.0;0.705;0.957;0.913;0.913;0.913;0.556;0.182;0.957;1.0
transcript26_ENSHGLG00000019563;0.6;0.674;0.674;0.487;0.487;0.903;0.705;0.705;0.705;1.0;0.674;0.63;0.63;0.63;0.267;0.258;0.674;0.705
transcript2_ENSHGLG00100003156;0.891;0.891;0.891;0.587;0.587;0.609;0.957;0.957;0.957;0.674;1.0;0.957;0.957;0.957;0.565;0.174;1.0;0.957
transcript16_ENSHGLG00100003156;0.932;0.848;0.848;0.543;0.543;0.565;0.913;0.913;0.913;0.63;0.957;1.0;1.0;1.0;0.556;0.156;0.957;0.913
transcript16_ENSHGLG00000019563;0.932;0.848;0.848;0.543;0.543;0.565;0.913;0.913;0.913;0.63;0.957;1.0;1.0;1.0;0.556;0.156;0.957;0.913
transcript23_ENSHGLG00100003156;0.932;0.848;0.848;0.543;0.543;0.565;0.913;0.913;0.913;0.63;0.957;1.0;1.0;1.0;0.556;0.156;0.957;0.913
transcript22_ENSHGLG00100003156;0.489;0.489;0.489;0.395;0.395;0.2;0.556;0.556;0.556;0.267;0.565;0.556;0.556;0.556;1.0;0.308;0.565;0.556
transcript28_ENSHGLG00000019563;0.114;0.14;0.14;0.167;0.167;0.161;0.182;0.182;0.182;0.258;0.174;0.156;0.156;0.156;0.308;1.0;0.174;0.182
transcript2_ENSPCIG00000036398;0.891;0.891;0.891;0.587;0.587;0.609;0.957;0.957;0.957;0.674;1.0;0.957;0.957;0.957;0.565;0.174;1.0;0.957
transcript19_ENSPCIG00000036398;0.848;0.932;0.932;0.543;0.543;0.636;1.0;1.0;1.0;0.705;0.957;0.913;0.913;0.913;0.556;0.182;0.957;1.0
