;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
ENST00000265165_90_90;1.0;1.0;0.786;0.923;0.286;0.786;0.571;0.2;0.267;1.0;0.917;0.692;0.769
ENST00000379951_90_90;1.0;0.786;1.0;0.846;0.214;0.714;0.5;0.214;0.2;0.769;0.833;0.5;1.0
ENST00000438313_90_90;1.0;0.923;0.846;1.0;0.214;0.714;0.615;0.214;0.2;0.917;1.0;0.615;0.833
ENST00000504950_90_90;0.0;0.286;0.214;0.214;1.0;0.308;0.4;0.429;0.571;0.308;0.231;0.5;0.231
ENST00000506680_90_90;1.0;0.786;0.714;0.714;0.308;1.0;0.4;0.214;0.286;0.833;0.75;0.538;0.75
ENST00000510624_90_90;0.0;0.571;0.5;0.615;0.4;0.4;1.0;0.4;0.364;0.615;0.667;0.9;0.538
ENST00000512172_90_90;0.0;0.2;0.214;0.214;0.429;0.214;0.4;1.0;0.571;0.231;0.25;0.4;0.25
ENST00000515500_90_90;0.0;0.267;0.2;0.2;0.571;0.286;0.364;0.571;1.0;0.308;0.231;0.5;0.231
ENSMUST00000029611_90_90;1.0;1.0;0.769;0.917;0.308;0.833;0.615;0.231;0.308;1.0;0.917;0.692;0.769
ENSMUST00000066849_90_90;1.0;0.917;0.833;1.0;0.231;0.75;0.667;0.25;0.231;0.917;1.0;0.615;0.833
ENSMUST00000098611_90_90;0.0;0.692;0.5;0.615;0.5;0.538;0.9;0.4;0.5;0.692;0.615;1.0;0.5
ENSMUST00000106341_90_90;1.0;0.769;1.0;0.833;0.231;0.75;0.538;0.25;0.231;0.769;0.833;0.5;1.0
