;ENSCAFT00000026918_90_90;ENST00000268049_90_90;ENST00000380324_90_90;ENST00000538686_90_90;ENST00000540797_90_90;ENST00000557884_90_90;ENST00000558157_90_90;ENST00000558285_90_90;ENST00000559192_90_90;ENST00000559257_90_90;ENST00000559276_90_90;ENST00000559711_90_90;ENST00000559771_90_90;ENST00000559873_90_90;ENST00000560070_90_90;ENST00000560202_90_90;ENST00000561442_90_90;ENSMUST00000098613_90_90;ENSMUST00000127569_90_90;ENSMUST00000139547_90_90;ENSMUST00000174387_90_90
ENSCAFT00000026918_90_90;1.0;0.882;0.941;0.059;0.706;0.059;0.059;0.882;0.176;0.706;0.118;0.588;0.471;0.118;0.353;0.059;0.412;0.95;1.0;0.2;0.7
ENST00000268049_90_90;0.882;1.0;0.905;0.05;0.619;0.0;0.0;0.905;0.087;0.7;0.25;0.524;0.65;0.048;0.333;0.05;0.455;0.824;0.882;0.125;0.688
ENST00000380324_90_90;0.941;0.905;1.0;0.05;0.7;0.048;0.048;0.905;0.136;0.7;0.19;0.524;0.571;0.1;0.4;0.05;0.524;0.882;0.941;0.188;0.75
ENST00000538686_90_90;0.059;0.05;0.05;1.0;0.0;0.0;0.0;0.05;0.0;0.071;0.0;0.0;0.077;0.0;0.0;0.0;0.083;0.062;0.059;0.0;0.0
ENST00000540797_90_90;0.706;0.619;0.7;0.0;1.0;0.067;0.067;0.619;0.188;0.647;0.118;0.733;0.286;0.143;0.571;0.071;0.238;0.647;0.706;0.25;1.0
ENST00000557884_90_90;0.059;0.0;0.048;0.0;0.067;1.0;1.0;0.0;0.167;0.0;0.0;0.0;0.0;0.333;0.111;0.0;0.077;0.062;0.059;0.333;0.083
ENST00000558157_90_90;0.059;0.0;0.048;0.0;0.067;1.0;1.0;0.0;0.167;0.0;0.0;0.0;0.0;0.333;0.111;0.0;0.077;0.062;0.059;0.333;0.083
ENST00000558285_90_90;0.882;0.905;0.905;0.05;0.619;0.0;0.0;1.0;0.087;0.7;0.19;0.524;0.571;0.048;0.333;0.05;0.455;0.824;0.882;0.125;0.688
ENST00000559192_90_90;0.176;0.087;0.136;0.0;0.188;0.167;0.167;0.087;1.0;0.0;0.25;0.0;0.125;0.167;0.3;0.0;0.214;0.188;0.176;0.2;0.154
ENST00000559257_90_90;0.706;0.7;0.7;0.071;0.647;0.0;0.0;0.7;0.0;1.0;0.0;0.733;0.35;0.067;0.294;0.071;0.238;0.647;0.706;0.154;0.714
ENST00000559276_90_90;0.118;0.25;0.19;0.0;0.118;0.0;0.0;0.19;0.25;0.0;1.0;0.0;0.385;0.0;0.182;0.0;0.308;0.125;0.118;0.0;0.077
ENST00000559711_90_90;0.588;0.524;0.524;0.0;0.733;0.0;0.0;0.524;0.0;0.733;0.0;1.0;0.19;0.077;0.333;0.083;0.091;0.529;0.588;0.182;0.833
ENST00000559771_90_90;0.471;0.65;0.571;0.077;0.286;0.0;0.0;0.571;0.125;0.35;0.385;0.19;1.0;0.0;0.4;0.0;0.667;0.5;0.471;0.222;0.25
ENST00000559873_90_90;0.118;0.048;0.1;0.0;0.143;0.333;0.333;0.048;0.167;0.067;0.0;0.077;0.0;1.0;0.111;0.0;0.077;0.125;0.118;0.25;0.167
ENST00000560070_90_90;0.353;0.333;0.4;0.0;0.571;0.111;0.111;0.333;0.3;0.294;0.182;0.333;0.4;0.111;1.0;0.0;0.333;0.375;0.353;0.5;0.5
ENST00000560202_90_90;0.059;0.05;0.05;0.0;0.071;0.0;0.0;0.05;0.0;0.071;0.0;0.083;0.0;0.0;0.0;1.0;0.0;0.062;0.059;0.0;0.083
ENST00000561442_90_90;0.412;0.455;0.524;0.083;0.238;0.077;0.077;0.455;0.214;0.238;0.308;0.091;0.667;0.077;0.333;0.0;1.0;0.438;0.412;0.25;0.188
ENSMUST00000098613_90_90;0.95;0.824;0.882;0.062;0.647;0.062;0.062;0.824;0.188;0.647;0.125;0.529;0.5;0.125;0.375;0.062;0.438;1.0;0.95;0.211;0.65
ENSMUST00000127569_90_90;1.0;0.882;0.941;0.059;0.706;0.059;0.059;0.882;0.176;0.706;0.118;0.588;0.471;0.118;0.353;0.059;0.412;0.95;1.0;0.2;0.7
ENSMUST00000139547_90_90;0.2;0.125;0.188;0.0;0.25;0.333;0.333;0.125;0.2;0.154;0.0;0.182;0.222;0.25;0.5;0.0;0.25;0.211;0.2;1.0;0.286
ENSMUST00000174387_90_90;0.7;0.688;0.75;0.0;1.0;0.083;0.083;0.688;0.154;0.714;0.077;0.833;0.25;0.167;0.5;0.083;0.188;0.65;0.7;0.286;1.0
