;ENSCAFT00000016458_90_90;ENSCAFT00000047049_90_90;ENST00000257118_90_90;ENST00000373418_90_90;ENST00000373422_90_90;ENST00000431992_90_90;ENSMUST00000030588_90_90;ENSMUST00000106079_90_90;ENSMUST00000106080_90_90;ENSMUST00000120946_90_90;ENSMUST00000133439_90_90;ENSMUST00000134421_90_90;ENSMUST00000136377_90_90;ENSMUST00000138445_90_90;ENSMUST00000143632_90_90;ENSMUST00000147572_90_90
ENSCAFT00000016458_90_90;1.0;0.964;0.941;0.37;0.542;1.0;0.958;0.399;0.958;0.064;0.133;0.238;0.233;0.1;0.1;0.299
ENSCAFT00000047049_90_90;0.964;1.0;0.978;0.356;0.522;0.962;1.0;0.383;1.0;0.061;0.127;0.228;0.274;0.096;0.096;0.287
ENST00000257118_90_90;0.941;0.978;1.0;0.348;0.501;0.944;0.978;0.373;0.978;0.059;0.122;0.222;0.294;0.091;0.091;0.278
ENST00000373418_90_90;0.37;0.356;0.348;1.0;0.655;0.355;0.365;1.0;0.365;0.16;0.333;0.597;0.0;0.249;0.249;0.75
ENST00000373422_90_90;0.542;0.522;0.501;0.655;1.0;0.54;0.556;0.655;0.556;0.102;0.211;0.386;0.0;0.159;0.159;0.487
ENST00000431992_90_90;1.0;0.962;0.944;0.355;0.54;1.0;0.962;0.38;0.962;0.059;0.123;0.224;0.249;0.092;0.092;0.283
ENSMUST00000030588_90_90;0.958;1.0;0.978;0.365;0.556;0.962;1.0;0.35;1.0;0.053;0.112;0.205;0.298;0.083;0.083;0.259
ENSMUST00000106079_90_90;0.399;0.383;0.373;1.0;0.655;0.38;0.35;1.0;0.35;0.16;0.333;0.597;0.0;0.249;0.249;0.75
ENSMUST00000106080_90_90;0.958;1.0;0.978;0.365;0.556;0.962;1.0;0.35;1.0;0.053;0.112;0.205;0.298;0.083;0.083;0.259
ENSMUST00000120946_90_90;0.064;0.061;0.059;0.16;0.102;0.059;0.053;0.16;0.053;1.0;0.463;0.245;0.0;0.348;0.348;0.199
ENSMUST00000133439_90_90;0.133;0.127;0.122;0.333;0.211;0.123;0.112;0.333;0.112;0.463;1.0;0.52;0.0;0.351;0.351;0.417
ENSMUST00000134421_90_90;0.238;0.228;0.222;0.597;0.386;0.224;0.205;0.597;0.205;0.245;0.52;1.0;0.0;0.39;0.39;0.782
ENSMUST00000136377_90_90;0.233;0.274;0.294;0.0;0.0;0.249;0.298;0.0;0.298;0.0;0.0;0.0;1.0;0.0;0.0;0.0
ENSMUST00000138445_90_90;0.1;0.096;0.091;0.249;0.159;0.092;0.083;0.249;0.083;0.348;0.351;0.39;0.0;1.0;1.0;0.314
ENSMUST00000143632_90_90;0.1;0.096;0.091;0.249;0.159;0.092;0.083;0.249;0.083;0.348;0.351;0.39;0.0;1.0;1.0;0.314
ENSMUST00000147572_90_90;0.299;0.287;0.278;0.75;0.487;0.283;0.259;0.75;0.259;0.199;0.417;0.782;0.0;0.314;0.314;1.0
