;ENSCAFT00000011155_90_90;ENST00000355221_90_90;ENST00000359530_90_90;ENST00000396774_90_90;ENST00000519588_90_90;ENST00000520188_90_90;ENST00000521275_90_90;ENST00000522849_90_90;ENST00000524164_90_90;ENST00000524234_90_90;ENSMUST00000044369_90_90;ENSMUST00000192029_90_90;ENSMUST00000192698_90_90;ENSMUST00000192847_90_90;ENSMUST00000194676_90_90
ENSCAFT00000011155_90_90;1.0;0.128;0.124;0.124;0.088;0.0;0.177;0.0;0.226;0.184;0.106;0.0;0.11;0.111;0.136
ENST00000355221_90_90;0.128;1.0;0.96;0.96;0.152;0.744;0.451;0.128;0.279;0.427;0.894;0.287;0.93;0.83;0.496
ENST00000359530_90_90;0.124;0.96;1.0;1.0;0.146;0.784;0.431;0.168;0.267;0.409;0.933;0.275;0.894;0.869;0.476
ENST00000396774_90_90;0.124;0.96;1.0;1.0;0.146;0.784;0.431;0.168;0.267;0.409;0.933;0.275;0.894;0.869;0.476
ENST00000519588_90_90;0.088;0.152;0.146;0.146;1.0;0.103;0.343;0.0;0.321;0.356;0.151;0.207;0.158;0.16;0.275
ENST00000520188_90_90;0.0;0.744;0.784;0.784;0.103;1.0;0.216;0.216;0.052;0.194;0.8;0.387;0.758;0.733;0.331
ENST00000521275_90_90;0.177;0.451;0.431;0.431;0.343;0.216;1.0;0.0;0.569;0.963;0.374;0.471;0.389;0.395;0.694
ENST00000522849_90_90;0.0;0.128;0.168;0.168;0.0;0.216;0.0;1.0;0.0;0.0;0.171;0.057;0.131;0.183;0.123
ENST00000524164_90_90;0.226;0.279;0.267;0.267;0.321;0.052;0.569;0.0;1.0;0.594;0.214;0.093;0.223;0.226;0.372
ENST00000524234_90_90;0.184;0.427;0.409;0.409;0.356;0.194;0.963;0.0;0.594;1.0;0.352;0.439;0.367;0.373;0.666
ENSMUST00000044369_90_90;0.106;0.894;0.933;0.933;0.151;0.8;0.374;0.171;0.214;0.352;1.0;0.284;0.959;0.934;0.531
ENSMUST00000192029_90_90;0.0;0.287;0.275;0.275;0.207;0.387;0.471;0.057;0.093;0.439;0.284;1.0;0.297;0.302;0.54
ENSMUST00000192698_90_90;0.11;0.93;0.894;0.894;0.158;0.758;0.389;0.131;0.223;0.367;0.959;0.297;1.0;0.893;0.555
ENSMUST00000192847_90_90;0.111;0.83;0.869;0.869;0.16;0.733;0.395;0.183;0.226;0.373;0.934;0.302;0.893;1.0;0.564
ENSMUST00000194676_90_90;0.136;0.496;0.476;0.476;0.275;0.331;0.694;0.123;0.372;0.666;0.531;0.54;0.555;0.564;1.0
