;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript6_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript20_ENSECAG00000007947
transcript8_ENSMPUG00000020072;1.0;0.927;0.634;0.633;0.586;0.587;0.587;0.61;0.589;0.589;0.486;0.486;0.486;0.54;0.537;0.56
transcript8_ENSECAG00000007947;0.927;1.0;0.563;0.562;0.523;0.592;0.592;0.612;0.595;0.595;0.488;0.488;0.488;0.54;0.538;0.561
transcript6_ENSMPUG00000020072;0.634;0.563;1.0;1.0;0.905;0.93;0.93;0.909;0.882;0.882;0.661;0.661;0.661;0.841;0.838;0.875
transcript13_ENSMPUG00000020072;0.633;0.562;1.0;1.0;0.905;0.93;0.93;0.909;0.882;0.882;0.662;0.662;0.662;0.841;0.838;0.875
transcript10_ENSMPUG00000020072;0.586;0.523;0.905;0.905;1.0;0.849;0.849;0.868;0.891;0.891;0.62;0.62;0.62;0.932;0.93;0.884
transcript6_ENSECAG00000007947;0.587;0.592;0.93;0.93;0.849;1.0;1.0;0.981;0.955;0.955;0.701;0.701;0.701;0.905;0.903;0.946
transcript17_ENSECAG00000007947;0.587;0.592;0.93;0.93;0.849;1.0;1.0;0.981;0.955;0.955;0.701;0.701;0.701;0.905;0.903;0.946
transcript4_ENSECAG00000007947;0.61;0.612;0.909;0.909;0.868;0.981;0.981;1.0;0.973;0.973;0.721;0.721;0.721;0.923;0.921;0.965
transcript7_ENSECAG00000007947;0.589;0.595;0.882;0.882;0.891;0.955;0.955;0.973;1.0;1.0;0.701;0.701;0.701;0.951;0.949;0.994
transcript21_ENSECAG00000007947;0.589;0.595;0.882;0.882;0.891;0.955;0.955;0.973;1.0;1.0;0.701;0.701;0.701;0.951;0.949;0.994
transcript14_ENSECAG00000007947;0.486;0.488;0.661;0.662;0.62;0.701;0.701;0.721;0.701;0.701;1.0;1.0;1.0;0.647;0.644;0.674
transcript18_ENSECAG00000007947;0.486;0.488;0.661;0.662;0.62;0.701;0.701;0.721;0.701;0.701;1.0;1.0;1.0;0.647;0.644;0.674
transcript19_ENSECAG00000007947;0.486;0.488;0.661;0.662;0.62;0.701;0.701;0.721;0.701;0.701;1.0;1.0;1.0;0.647;0.644;0.674
transcript16_ENSECAG00000007947;0.54;0.54;0.841;0.841;0.932;0.905;0.905;0.923;0.951;0.951;0.647;0.647;0.647;1.0;0.998;0.942
transcript15_ENSECAG00000007947;0.537;0.538;0.838;0.838;0.93;0.903;0.903;0.921;0.949;0.949;0.644;0.644;0.644;0.998;1.0;0.939
transcript20_ENSECAG00000007947;0.56;0.561;0.875;0.875;0.884;0.946;0.946;0.965;0.994;0.994;0.674;0.674;0.674;0.942;0.939;1.0
