;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.0;0.003;0.0;0.004;0.003;0.003;0.003;0.0;0.0;0.003;0.003;0.0;0.0;0.0
ENST00000311089_90_90;0.0;1.0;0.405;0.74;0.0;0.748;0.51;0.426;0.0;0.828;0.393;0.317;0.0;0.724;0.0
ENST00000553645_90_90;0.003;0.405;1.0;0.3;0.353;0.542;0.795;0.728;0.275;0.337;0.683;0.707;0.302;0.324;0.248
ENST00000554113_90_90;0.0;0.74;0.3;1.0;0.0;0.553;0.377;0.412;0.0;0.877;0.377;0.3;0.0;0.551;0.0
ENST00000554159_90_90;0.004;0.0;0.353;0.0;1.0;0.109;0.275;0.297;0.393;0.0;0.275;0.264;0.278;0.0;0.4
ENST00000554339_90_90;0.003;0.748;0.542;0.553;0.109;1.0;0.671;0.588;0.022;0.621;0.543;0.439;0.0;0.564;0.0
ENST00000554871_90_90;0.003;0.51;0.795;0.377;0.275;0.671;1.0;0.916;0.347;0.424;0.722;0.591;0.172;0.4;0.098
ENST00000555631_90_90;0.003;0.426;0.728;0.412;0.297;0.588;0.916;1.0;0.378;0.463;0.779;0.628;0.183;0.346;0.105
ENST00000555919_90_90;0.0;0.0;0.275;0.0;0.393;0.022;0.347;0.378;1.0;0.0;0.25;0.202;0.316;0.0;0.19
ENST00000559993_90_90;0.0;0.828;0.337;0.877;0.0;0.621;0.424;0.463;0.0;1.0;0.424;0.337;0.0;0.64;0.0
ENSMUST00000046340_90_90;0.003;0.393;0.683;0.377;0.275;0.543;0.722;0.779;0.25;0.424;1.0;0.795;0.239;0.321;0.102
ENSMUST00000123491_90_90;0.003;0.317;0.707;0.3;0.264;0.439;0.591;0.628;0.202;0.337;0.795;1.0;0.429;0.262;0.293
ENSMUST00000136159_90_90;0.0;0.0;0.302;0.0;0.278;0.0;0.172;0.183;0.316;0.0;0.239;0.429;1.0;0.0;0.513
ENSMUST00000140812_90_90;0.0;0.724;0.324;0.551;0.0;0.564;0.4;0.346;0.0;0.64;0.321;0.262;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.0;0.0;0.248;0.0;0.4;0.0;0.098;0.105;0.19;0.0;0.102;0.293;0.513;0.0;1.0
