;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENSCAFT00000003155_90_90;1.0;0.976;0.976;0.72;0.776;0.776;0.719;0.441;0.669;0.565;0.387;0.976;0.32;0.867;0.32;0.482;0.29;0.387;0.415;0.689;0.116;0.683;0.976;0.185;0.448;0.595;0.737;0.737;0.713;0.151;0.488;0.095;0.442;0.737
ENST00000264312_90_90;0.976;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.582;0.715;0.715;0.696;0.151;0.486;0.09;0.434;0.715
ENST00000381473_90_90;0.976;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.582;0.715;0.715;0.696;0.151;0.486;0.09;0.434;0.715
ENST00000396448_90_90;0.72;0.73;0.73;1.0;0.918;0.918;0.539;0.59;0.775;0.646;0.519;0.73;0.43;0.622;0.43;0.64;0.39;0.519;0.551;0.922;0.155;0.914;0.73;0.246;0.599;0.715;0.975;0.975;0.896;0.198;0.629;0.118;0.54;0.975
ENST00000425583_90_90;0.776;0.792;0.792;0.918;1.0;1.0;0.524;0.569;0.749;0.722;0.5;0.792;0.414;0.682;0.414;0.617;0.376;0.5;0.531;0.888;0.149;0.881;0.792;0.237;0.577;0.696;0.896;0.896;0.866;0.19;0.607;0.114;0.525;0.896
ENST00000444354_90_90;0.776;0.792;0.792;0.918;1.0;1.0;0.524;0.569;0.749;0.722;0.5;0.792;0.414;0.682;0.414;0.617;0.376;0.5;0.531;0.888;0.149;0.881;0.792;0.237;0.577;0.696;0.896;0.896;0.866;0.19;0.607;0.114;0.525;0.896
ENST00000503016_90_90;0.719;0.732;0.732;0.539;0.524;0.524;1.0;0.241;0.687;0.672;0.184;0.732;0.113;0.823;0.113;0.667;0.081;0.184;0.574;0.507;0.0;0.501;0.732;0.0;0.249;0.429;0.533;0.533;0.518;0.0;0.294;0.079;0.558;0.533
ENST00000504654_90_90;0.441;0.45;0.45;0.59;0.569;0.569;0.241;1.0;0.426;0.29;0.879;0.45;0.728;0.34;0.728;0.324;0.662;0.879;0.359;0.64;0.263;0.645;0.45;0.417;0.985;0.441;0.575;0.575;0.555;0.334;0.798;0.15;0.243;0.575
ENST00000505922_90_90;0.669;0.688;0.688;0.775;0.749;0.749;0.687;0.426;1.0;0.712;0.358;0.688;0.273;0.774;0.273;0.709;0.235;0.358;0.611;0.743;0.108;0.736;0.688;0.099;0.434;0.589;0.756;0.756;0.731;0.102;0.472;0.128;0.585;0.756
ENST00000506801_90_90;0.565;0.571;0.571;0.646;0.722;0.722;0.672;0.29;0.712;1.0;0.222;0.571;0.136;0.642;0.136;0.855;0.098;0.222;0.736;0.61;0.0;0.603;0.571;0.0;0.299;0.494;0.637;0.637;0.615;0.0;0.351;0.1;0.674;0.637
ENST00000507210_90_90;0.387;0.396;0.396;0.519;0.5;0.5;0.184;0.879;0.358;0.222;1.0;0.396;0.828;0.286;0.828;0.248;0.753;1.0;0.274;0.563;0.299;0.567;0.396;0.474;0.866;0.387;0.505;0.505;0.487;0.38;0.701;0.169;0.185;0.505
ENST00000508293_90_90;0.976;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.582;0.715;0.715;0.696;0.151;0.486;0.09;0.434;0.715
ENST00000508996_90_90;0.32;0.328;0.328;0.43;0.414;0.414;0.113;0.728;0.273;0.136;0.828;0.328;1.0;0.218;1.0;0.152;0.909;0.828;0.168;0.466;0.361;0.47;0.328;0.573;0.717;0.32;0.418;0.418;0.403;0.459;0.579;0.202;0.114;0.418
ENST00000509122_90_90;0.867;0.89;0.89;0.622;0.682;0.682;0.823;0.34;0.774;0.642;0.286;0.89;0.218;1.0;0.218;0.549;0.188;0.286;0.472;0.593;0.085;0.588;0.89;0.079;0.347;0.495;0.609;0.609;0.592;0.08;0.381;0.1;0.478;0.609
ENST00000509164_90_90;0.32;0.328;0.328;0.43;0.414;0.414;0.113;0.728;0.273;0.136;0.828;0.328;1.0;0.218;1.0;0.152;0.909;0.828;0.168;0.466;0.361;0.47;0.328;0.573;0.717;0.32;0.418;0.418;0.403;0.459;0.579;0.202;0.114;0.418
ENST00000509246_90_90;0.482;0.488;0.488;0.64;0.617;0.617;0.667;0.324;0.709;0.855;0.248;0.488;0.152;0.549;0.152;1.0;0.109;0.248;0.861;0.681;0.0;0.674;0.488;0.0;0.334;0.482;0.63;0.63;0.608;0.0;0.389;0.116;0.669;0.63
ENST00000509664_90_90;0.29;0.298;0.298;0.39;0.376;0.376;0.081;0.662;0.235;0.098;0.753;0.298;0.909;0.188;0.909;0.109;1.0;0.753;0.121;0.424;0.397;0.427;0.298;0.63;0.652;0.29;0.379;0.379;0.365;0.505;0.526;0.22;0.082;0.379
