;ENSCAFT00000011939_90_90;ENST00000288986_90_90;ENST00000467911_90_90;ENST00000469404_90_90;ENST00000476286_90_90;ENST00000481752_90_90;ENST00000485096_90_90;ENST00000488930_90_90;ENST00000491539_90_90;ENST00000496489_90_90;ENSMUST00000112874_90_90;ENSMUST00000116522_90_90;ENSMUST00000186591_90_90;ENSMUST00000188670_90_90
ENSCAFT00000011939_90_90;1.0;0.881;0.385;0.711;0.162;0.881;0.24;0.449;0.287;0.342;0.711;0.881;0.479;0.351
ENST00000288986_90_90;0.881;1.0;0.428;0.764;0.2;1.0;0.32;0.548;0.371;0.387;0.764;1.0;0.574;0.442
ENST00000467911_90_90;0.385;0.428;1.0;0.586;0.0;0.428;0.171;0.403;0.244;0.442;0.586;0.428;0.241;0.28
ENST00000469404_90_90;0.711;0.764;0.586;1.0;0.0;0.764;0.114;0.331;0.163;0.282;1.0;0.764;0.357;0.229
ENST00000476286_90_90;0.162;0.2;0.0;0.0;1.0;0.2;0.627;0.383;0.542;0.268;0.0;0.2;0.349;0.472
ENST00000481752_90_90;0.881;1.0;0.428;0.764;0.2;1.0;0.32;0.548;0.371;0.387;0.764;1.0;0.574;0.442
ENST00000485096_90_90;0.24;0.32;0.171;0.114;0.627;0.32;1.0;0.606;0.863;0.524;0.114;0.32;0.557;0.748
ENST00000488930_90_90;0.449;0.548;0.403;0.331;0.383;0.548;0.606;1.0;0.698;0.734;0.331;0.548;0.571;0.724
ENST00000491539_90_90;0.287;0.371;0.244;0.163;0.542;0.371;0.863;0.698;1.0;0.631;0.163;0.371;0.645;0.863
ENST00000496489_90_90;0.342;0.387;0.442;0.282;0.268;0.387;0.524;0.734;0.631;1.0;0.282;0.387;0.513;0.668
ENSMUST00000112874_90_90;0.711;0.764;0.586;1.0;0.0;0.764;0.114;0.331;0.163;0.282;1.0;0.764;0.357;0.229
ENSMUST00000116522_90_90;0.881;1.0;0.428;0.764;0.2;1.0;0.32;0.548;0.371;0.387;0.764;1.0;0.574;0.442
ENSMUST00000186591_90_90;0.479;0.574;0.241;0.357;0.349;0.574;0.557;0.571;0.645;0.513;0.357;0.574;1.0;0.764
ENSMUST00000188670_90_90;0.351;0.442;0.28;0.229;0.472;0.442;0.748;0.724;0.863;0.668;0.229;0.442;0.764;1.0
