;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.456;0.468;0.743;0.496;0.728;0.728;0.73;0.675;0.637;0.58;0.234;0.913;0.853;0.36;0.761;0.436;0.447;0.207;0.451;0.472;0.472;0.402;0.141;0.293;0.239;0.5;0.228;0.141;0.326;0.385;0.261;0.348;0.913;0.146;0.18;0.382;0.853;0.891;0.923;0.833;0.761;0.804;0.452;0.464;0.468;0.655;0.75;0.18;0.655;0.462;0.141;0.75;0.044;0.421;0.512;0.512;0.512;0.512;0.512;0.283;0.512;0.034;0.067
ENSCAFT00000013439_90_90;0.456;1.0;0.936;0.402;0.564;0.391;0.391;0.396;0.356;0.407;0.364;0.13;0.426;0.427;0.147;0.442;0.814;0.889;0.222;0.854;0.522;0.522;0.476;0.081;0.244;0.186;0.404;0.174;0.081;0.279;0.51;0.209;0.302;0.426;0.034;0.107;0.156;0.427;0.409;0.417;0.411;0.442;0.339;0.89;0.974;0.936;0.417;0.405;0.107;0.417;0.247;0.033;0.405;0.012;0.471;0.555;0.555;0.555;0.555;0.555;0.233;0.555;0.013;0.012
ENSCAFT00000037016_90_90;0.468;0.936;1.0;0.411;0.579;0.4;0.4;0.405;0.364;0.417;0.373;0.135;0.438;0.438;0.152;0.455;0.843;0.875;0.231;0.91;0.536;0.536;0.49;0.084;0.253;0.193;0.418;0.181;0.084;0.289;0.525;0.217;0.313;0.438;0.036;0.111;0.161;0.438;0.42;0.429;0.421;0.455;0.348;0.924;0.961;1.0;0.427;0.414;0.111;0.427;0.255;0.034;0.414;0.013;0.485;0.57;0.57;0.57;0.57;0.57;0.241;0.57;0.013;0.013
ENSCAFT00000021145_90_90;0.743;0.402;0.411;1.0;0.493;0.982;0.982;0.982;0.927;0.855;0.798;0.239;0.711;0.874;0.273;0.616;0.385;0.394;0.171;0.397;0.482;0.482;0.366;0.117;0.243;0.198;0.43;0.189;0.117;0.27;0.403;0.216;0.288;0.711;0.1;0.148;0.291;0.874;0.693;0.717;0.856;0.616;0.623;0.398;0.408;0.411;0.861;0.991;0.148;0.861;0.407;0.138;0.991;0.056;0.382;0.507;0.507;0.507;0.507;0.507;0.234;0.507;0.028;0.056
ENSCAFT00000025193_90_90;0.496;0.564;0.579;0.493;1.0;0.482;0.482;0.486;0.449;0.492;0.452;0.162;0.468;0.512;0.176;0.474;0.596;0.613;0.232;0.619;0.9;0.9;0.735;0.168;0.316;0.263;0.562;0.253;0.168;0.347;0.75;0.284;0.368;0.468;0.038;0.133;0.183;0.512;0.452;0.46;0.496;0.474;0.387;0.559;0.574;0.579;0.504;0.496;0.133;0.504;0.264;0.037;0.496;0.0;0.697;0.909;0.909;0.909;0.909;0.909;0.305;0.909;0.032;0.063
ENST00000302271_90_90;0.728;0.391;0.4;0.982;0.482;1.0;1.0;0.982;0.944;0.855;0.815;0.239;0.696;0.857;0.273;0.602;0.375;0.383;0.171;0.386;0.471;0.471;0.356;0.117;0.243;0.198;0.417;0.189;0.117;0.259;0.393;0.216;0.277;0.696;0.1;0.148;0.291;0.857;0.678;0.702;0.839;0.602;0.623;0.388;0.397;0.4;0.844;0.972;0.148;0.844;0.394;0.138;0.972;0.056;0.371;0.496;0.496;0.496;0.496;0.496;0.234;0.496;0.028;0.056
ENST00000374612_90_90;0.728;0.391;0.4;0.982;0.482;1.0;1.0;0.982;0.944;0.855;0.815;0.239;0.696;0.857;0.273;0.602;0.375;0.383;0.171;0.386;0.471;0.471;0.356;0.117;0.243;0.198;0.417;0.189;0.117;0.259;0.393;0.216;0.277;0.696;0.1;0.148;0.291;0.857;0.678;0.702;0.839;0.602;0.623;0.388;0.397;0.4;0.844;0.972;0.148;0.844;0.394;0.138;0.972;0.056;0.371;0.496;0.496;0.496;0.496;0.496;0.234;0.496;0.028;0.056
ENST00000374616_90_90;0.73;0.396;0.405;0.982;0.486;0.982;0.982;1.0;0.927;0.873;0.8;0.234;0.698;0.858;0.268;0.605;0.38;0.388;0.168;0.391;0.475;0.475;0.36;0.115;0.239;0.195;0.422;0.186;0.115;0.265;0.397;0.212;0.283;0.698;0.098;0.145;0.286;0.858;0.681;0.704;0.841;0.605;0.612;0.393;0.402;0.405;0.845;0.973;0.145;0.845;0.4;0.135;0.973;0.055;0.376;0.5;0.5;0.5;0.5;0.5;0.23;0.5;0.027;0.055
ENST00000427764_90_90;0.675;0.356;0.364;0.927;0.449;0.944;0.944;0.927;1.0;0.8;0.863;0.252;0.643;0.804;0.218;0.549;0.341;0.348;0.127;0.351;0.438;0.438;0.321;0.103;0.2;0.155;0.377;0.145;0.103;0.216;0.368;0.173;0.234;0.643;0.106;0.103;0.236;0.804;0.626;0.649;0.786;0.549;0.57;0.353;0.362;0.364;0.789;0.917;0.093;0.789;0.339;0.146;0.917;0.059;0.336;0.463;0.463;0.463;0.463;0.463;0.191;0.463;0.029;0.059
ENST00000478691_90_90;0.637;0.407;0.417;0.855;0.492;0.855;0.855;0.873;0.8;1.0;0.917;0.268;0.605;0.766;0.164;0.69;0.423;0.433;0.192;0.437;0.481;0.481;0.357;0.087;0.223;0.175;0.425;0.165;0.087;0.252;0.443;0.194;0.272;0.605;0.0;0.167;0.182;0.766;0.588;0.611;0.748;0.69;0.518;0.403;0.413;0.417;0.969;0.845;0.167;0.969;0.273;0.009;0.845;0.0;0.374;0.508;0.508;0.508;0.508;0.508;0.214;0.508;0.0;0.02
