;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.8;0.833;1.0;0.091;0.333;0.167;0.273;0.364;0.182;0.091;0.8;1.0;0.667
ENSCAFT00000008030_90_90;0.8;1.0;0.917;0.769;0.083;0.308;0.154;0.25;0.231;0.167;0.083;1.0;0.8;0.733
ENST00000293217_90_90;0.833;0.917;1.0;0.786;0.143;0.429;0.062;0.231;0.286;0.143;0.143;0.917;0.833;0.692
ENST00000301608_90_90;1.0;0.769;0.786;1.0;0.154;0.357;0.143;0.25;0.417;0.154;0.154;0.769;1.0;0.692
ENST00000572047_90_90;0.091;0.083;0.143;0.154;1.0;0.25;0.0;0.0;0.333;0.0;1.0;0.083;0.091;0.0
ENST00000573078_90_90;0.333;0.308;0.429;0.357;0.25;1.0;0.222;0.0;0.5;0.0;0.25;0.308;0.333;0.231
ENST00000576743_90_90;0.167;0.154;0.062;0.143;0.0;0.222;1.0;0.0;0.286;0.0;0.0;0.154;0.167;0.167
ENST00000587927_90_90;0.273;0.25;0.231;0.25;0.0;0.0;0.0;1.0;0.0;0.2;0.0;0.25;0.273;0.273
ENST00000588176_90_90;0.364;0.231;0.286;0.417;0.333;0.5;0.286;0.0;1.0;0.0;0.333;0.231;0.364;0.154
ENST00000588968_90_90;0.182;0.167;0.143;0.154;0.0;0.0;0.0;0.2;0.0;1.0;0.0;0.167;0.182;0.182
ENST00000589301_90_90;0.091;0.083;0.143;0.154;1.0;0.25;0.0;0.0;0.333;0.0;1.0;0.083;0.091;0.0
ENSMUST00000066587_90_90;0.8;1.0;0.917;0.769;0.083;0.308;0.154;0.25;0.231;0.167;0.083;1.0;0.8;0.733
ENSMUST00000072948_90_90;1.0;0.8;0.833;1.0;0.091;0.333;0.167;0.273;0.364;0.182;0.091;0.8;1.0;0.667
ENSMUST00000148601_90_90;0.667;0.733;0.692;0.692;0.0;0.231;0.167;0.273;0.154;0.182;0.0;0.733;0.667;1.0
