;ENSCAFT00000028733_90_90;ENST00000288381_90_90;ENST00000372068_90_90;ENST00000372072_90_90;ENST00000372073_90_90;ENSMUST00000087333_90_90;ENSMUST00000101198_90_90;ENSMUST00000112888_90_90;ENSMUST00000112889_90_90;ENSMUST00000112891_90_90;ENSMUST00000112896_90_90;ENSMUST00000133634_90_90;ENSMUST00000151914_90_90
ENSCAFT00000028733_90_90;1.0;0.869;1.0;0.498;1.0;0.999;0.499;0.277;0.499;0.448;0.999;0.999;0.219
ENST00000288381_90_90;0.869;1.0;0.869;0.46;0.869;0.867;0.461;0.319;0.461;0.351;0.867;0.867;0.189
ENST00000372068_90_90;1.0;0.869;1.0;0.498;1.0;0.999;0.499;0.277;0.499;0.448;0.999;0.999;0.215
ENST00000372072_90_90;0.498;0.46;0.498;1.0;0.498;0.499;0.998;0.554;0.998;0.762;0.499;0.499;0.379
ENST00000372073_90_90;1.0;0.869;1.0;0.498;1.0;0.999;0.499;0.277;0.499;0.448;0.999;0.999;0.215
ENSMUST00000087333_90_90;0.999;0.867;0.999;0.499;0.999;1.0;0.5;0.277;0.5;0.449;1.0;1.0;0.215
ENSMUST00000101198_90_90;0.499;0.461;0.499;0.998;0.499;0.5;1.0;0.554;1.0;0.764;0.5;0.5;0.378
ENSMUST00000112888_90_90;0.277;0.319;0.277;0.554;0.277;0.277;0.554;1.0;0.554;0.617;0.277;0.277;0.074
ENSMUST00000112889_90_90;0.499;0.461;0.499;0.998;0.499;0.5;1.0;0.554;1.0;0.764;0.5;0.5;0.378
ENSMUST00000112891_90_90;0.448;0.351;0.448;0.762;0.448;0.449;0.764;0.617;0.764;1.0;0.449;0.449;0.229
ENSMUST00000112896_90_90;0.999;0.867;0.999;0.499;0.999;1.0;0.5;0.277;0.5;0.449;1.0;1.0;0.215
ENSMUST00000133634_90_90;0.999;0.867;0.999;0.499;0.999;1.0;0.5;0.277;0.5;0.449;1.0;1.0;0.215
ENSMUST00000151914_90_90;0.219;0.189;0.215;0.379;0.215;0.215;0.378;0.074;0.378;0.229;0.215;0.215;1.0
