;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.841;0.878;0.618;0.33;0.243;0.688;0.655;0.839;0.872;0.524;0.088;0.273
ENST00000237247_90_90;0.841;1.0;0.84;0.615;0.268;0.21;0.628;0.598;0.77;0.8;0.497;0.083;0.213
ENST00000371037_90_90;0.878;0.84;1.0;0.649;0.361;0.22;0.723;0.689;0.803;0.836;0.524;0.088;0.243
ENST00000371039_90_90;0.618;0.615;0.649;1.0;0.374;0.236;0.744;0.774;0.627;0.607;0.686;0.118;0.264
ENST00000424320_90_90;0.33;0.268;0.361;0.374;1.0;0.0;0.431;0.453;0.361;0.347;0.23;0.246;0.658
ENST00000435165_90_90;0.243;0.21;0.22;0.236;0.0;1.0;0.277;0.235;0.189;0.224;0.36;0.0;0.0
ENSMUST00000066824_90_90;0.688;0.628;0.723;0.744;0.431;0.277;1.0;0.954;0.762;0.799;0.712;0.116;0.318
ENSMUST00000072481_90_90;0.655;0.598;0.689;0.774;0.453;0.235;0.954;1.0;0.791;0.762;0.669;0.121;0.334
ENSMUST00000080728_90_90;0.839;0.77;0.803;0.627;0.361;0.189;0.762;0.791;1.0;0.963;0.541;0.096;0.3
ENSMUST00000106882_90_90;0.872;0.8;0.836;0.607;0.347;0.224;0.799;0.762;0.963;1.0;0.576;0.092;0.289
ENSMUST00000149547_90_90;0.524;0.497;0.524;0.686;0.23;0.36;0.712;0.669;0.541;0.576;1.0;0.0;0.121
ENSMUST00000156596_90_90;0.088;0.083;0.088;0.118;0.246;0.0;0.116;0.121;0.096;0.092;0.0;1.0;0.33
ENSMUST00000183855_90_90;0.273;0.213;0.243;0.264;0.658;0.0;0.318;0.334;0.3;0.289;0.121;0.33;1.0
