;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.667;0.769;0.538;0.769;0.692;0.692;0.538;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
ENSCAFT00000048830_90_90;0.667;1.0;0.538;0.7;1.0;0.9;0.9;0.7;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
ENST00000368686_90_90;0.769;0.538;1.0;0.375;0.368;0.316;0.333;0.235;0.0;0.571;0.667;0.0;0.0;0.0;0.667;1.0;0.8
ENST00000368687_90_90;0.538;0.7;0.375;1.0;0.733;0.786;0.714;0.5;0.5;0.857;0.714;0.333;0.333;0.5;0.714;0.429;0.571
ENST00000368690_90_90;0.769;1.0;0.368;0.733;1.0;0.933;0.867;0.667;0.429;1.0;0.857;0.286;0.286;0.429;0.857;0.571;0.714
ENST00000368694_90_90;0.692;0.9;0.316;0.786;0.933;1.0;0.929;0.714;0.5;0.857;0.714;0.333;0.333;0.5;0.714;0.429;0.571
ENST00000403433_90_90;0.692;0.9;0.333;0.714;0.867;0.929;1.0;0.769;0.5;0.857;0.714;0.333;0.333;0.5;0.714;0.429;0.571
ENST00000614256_90_90;0.538;0.7;0.235;0.5;0.667;0.714;0.769;1.0;0.4;0.571;0.429;0.2;0.2;0.4;0.429;0.333;0.5
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.5;0.429;0.5;0.5;0.4;1.0;0.647;0.353;0.545;0.636;1.0;0.412;0.176;0.389
ENSMUST00000049937_90_90;1.0;1.0;0.571;0.857;1.0;0.857;0.857;0.571;0.647;1.0;0.706;0.353;0.412;0.647;0.765;0.529;0.722
ENSMUST00000076639_90_90;1.0;1.0;0.667;0.714;0.857;0.714;0.714;0.429;0.353;0.706;1.0;0.5;0.462;0.353;0.923;0.615;0.529
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.333;0.286;0.333;0.333;0.2;0.545;0.353;0.5;1.0;0.857;0.545;0.462;0.154;0.176
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.333;0.286;0.333;0.333;0.2;0.636;0.412;0.462;0.857;1.0;0.636;0.538;0.231;0.235
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.5;0.429;0.5;0.5;0.4;1.0;0.647;0.353;0.545;0.636;1.0;0.412;0.176;0.389
ENSMUST00000107346_90_90;1.0;1.0;0.667;0.714;0.857;0.714;0.714;0.429;0.412;0.765;0.923;0.462;0.538;0.412;1.0;0.692;0.588
ENSMUST00000131868_90_90;1.0;1.0;1.0;0.429;0.571;0.429;0.429;0.333;0.176;0.529;0.615;0.154;0.231;0.176;0.692;1.0;0.643
ENSMUST00000146740_90_90;1.0;1.0;0.8;0.571;0.714;0.571;0.571;0.5;0.389;0.722;0.529;0.176;0.235;0.389;0.588;0.643;1.0
