;ENSCAFT00000024611_90_90;ENST00000312358_90_90;ENST00000396686_90_90;ENST00000396688_90_90;ENST00000396689_90_90;ENST00000396698_90_90;ENST00000403148_90_90;ENST00000409595_90_90;ENST00000412982_90_90;ENST00000420132_90_90;ENST00000431523_90_90;ENST00000435853_90_90;ENST00000451076_90_90;ENST00000452101_90_90;ENST00000617028_90_90;ENSMUST00000087122_90_90;ENSMUST00000113587_90_90;ENSMUST00000113588_90_90;ENSMUST00000113589_90_90;ENSMUST00000113590_90_90;ENSMUST00000122266_90_90;ENSMUST00000125306_90_90;ENSMUST00000132228_90_90;ENSMUST00000137868_90_90;ENSMUST00000148515_90_90
ENSCAFT00000024611_90_90;1.0;0.703;0.025;0.025;0.025;0.318;0.096;0.021;0.022;0.096;0.169;0.13;0.08;0.074;0.0;0.678;0.025;0.025;0.025;0.319;0.025;0.114;0.072;0.623;0.191
ENST00000312358_90_90;0.703;1.0;0.029;0.029;0.029;0.392;0.0;0.032;0.027;0.0;0.17;0.109;0.115;0.036;0.0;0.918;0.029;0.029;0.029;0.376;0.029;0.036;0.107;0.76;0.163
ENST00000396686_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENST00000396688_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENST00000396689_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENST00000396698_90_90;0.318;0.392;0.097;0.097;0.097;1.0;0.081;0.056;0.0;0.081;0.43;0.239;0.216;0.163;0.0;0.387;0.097;0.097;0.097;0.956;0.097;0.157;0.186;0.293;0.41
ENST00000403148_90_90;0.096;0.0;0.0;0.0;0.0;0.081;1.0;0.0;0.0;1.0;0.122;0.072;0.0;0.225;0.0;0.0;0.0;0.0;0.0;0.077;0.0;0.335;0.0;0.0;0.15
ENST00000409595_90_90;0.021;0.032;0.0;0.0;0.0;0.056;0.0;1.0;0.0;0.0;0.0;0.0;0.167;0.0;0.0;0.031;0.0;0.0;0.0;0.053;0.0;0.0;0.304;0.016;0.0
ENST00000412982_90_90;0.022;0.027;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.514;0.026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.031;0.0
ENST00000420132_90_90;0.096;0.0;0.0;0.0;0.0;0.081;1.0;0.0;0.0;1.0;0.122;0.072;0.0;0.225;0.0;0.0;0.0;0.0;0.0;0.077;0.0;0.335;0.0;0.0;0.15
ENST00000431523_90_90;0.169;0.17;0.0;0.0;0.0;0.43;0.122;0.0;0.0;0.122;1.0;0.562;0.274;0.408;0.0;0.168;0.0;0.0;0.0;0.409;0.0;0.289;0.126;0.103;0.81
ENST00000435853_90_90;0.13;0.109;0.0;0.0;0.0;0.239;0.072;0.0;0.0;0.072;0.562;1.0;0.361;0.412;0.0;0.108;0.0;0.0;0.0;0.229;0.0;0.264;0.161;0.041;0.444
ENST00000451076_90_90;0.08;0.115;0.0;0.0;0.0;0.216;0.0;0.167;0.0;0.0;0.274;0.361;1.0;0.085;0.0;0.114;0.0;0.0;0.0;0.207;0.0;0.082;0.347;0.037;0.262
ENST00000452101_90_90;0.074;0.036;0.0;0.0;0.0;0.163;0.225;0.0;0.0;0.225;0.408;0.412;0.085;1.0;0.0;0.036;0.0;0.0;0.0;0.154;0.0;0.631;0.068;0.0;0.283
ENST00000617028_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.514;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000087122_90_90;0.678;0.918;0.029;0.029;0.029;0.387;0.0;0.031;0.026;0.0;0.168;0.108;0.114;0.036;0.0;1.0;0.029;0.029;0.029;0.418;0.029;0.035;0.106;0.812;0.184
ENSMUST00000113587_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENSMUST00000113588_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENSMUST00000113589_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENSMUST00000113590_90_90;0.319;0.376;0.094;0.094;0.094;0.956;0.077;0.053;0.0;0.077;0.409;0.229;0.207;0.154;0.0;0.418;0.094;0.094;0.094;1.0;0.094;0.148;0.176;0.326;0.429
ENSMUST00000122266_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENSMUST00000125306_90_90;0.114;0.036;0.0;0.0;0.0;0.157;0.335;0.0;0.0;0.335;0.289;0.264;0.082;0.631;0.0;0.035;0.0;0.0;0.0;0.148;0.0;1.0;0.066;0.0;0.386
ENSMUST00000132228_90_90;0.072;0.107;0.0;0.0;0.0;0.186;0.0;0.304;0.0;0.0;0.126;0.161;0.347;0.068;0.0;0.106;0.0;0.0;0.0;0.176;0.0;0.066;1.0;0.031;0.12
ENSMUST00000137868_90_90;0.623;0.76;0.034;0.034;0.034;0.293;0.0;0.016;0.031;0.0;0.103;0.041;0.037;0.0;0.0;0.812;0.034;0.034;0.034;0.326;0.034;0.0;0.031;1.0;0.123
