;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;;;0.87;0.87;0.885;0.758;0.91;0.721;0.743;0.804;0.925;0.758;0.127;0.181;0.449;0.189;0.758;0.682;0.911;0.871;0.897;0.754;0.024;0.74;0.619
ENSCAFT00000035671_90_90;;;0.798;0.798;0.812;0.712;0.837;0.674;0.697;0.732;0.851;0.712;0.113;0.164;0.405;0.175;0.712;0.637;0.839;0.798;0.824;0.707;0.025;0.692;0.581
ENST00000353331_90_90;0.87;0.798;;;;;;;;;;;;;;;;;0.869;0.907;0.882;0.73;0.026;0.74;0.667
ENST00000392348_90_90;0.87;0.798;;;;;;;;;;;;;;;;;0.869;0.907;0.882;0.73;0.026;0.74;0.667
ENST00000527536_90_90;0.885;0.812;;;;;;;;;;;;;;;;;0.885;0.923;0.869;0.744;0.025;0.73;0.656
ENST00000527613_90_90;0.758;0.712;;;;;;;;;;;;;;;;;0.705;0.735;0.691;0.928;0.029;0.909;0.476
ENST00000527759_90_90;0.91;0.837;;;;;;;;;;;;;;;;;0.91;0.869;0.923;0.699;0.025;0.709;0.639
ENST00000529826_90_90;0.721;0.674;;;;;;;;;;;;;;;;;0.692;0.722;0.676;0.841;0.032;0.823;0.455
ENST00000530429_90_90;0.743;0.697;;;;;;;;;;;;;;;;;0.691;0.72;0.699;0.909;0.03;0.925;0.483
ENST00000530767_90_90;0.804;0.732;;;;;;;;;;;;;;;;;0.803;0.762;0.788;0.593;0.028;0.579;0.506
ENST00000531224_90_90;0.925;0.851;;;;;;;;;;;;;;;;;0.925;0.885;0.91;0.714;0.024;0.699;0.629
ENST00000532384_90_90;0.758;0.712;;;;;;;;;;;;;;;;;0.705;0.735;0.691;0.928;0.029;0.909;0.476
ENST00000533422_90_90;0.127;0.113;;;;;;;;;;;;;;;;;0.131;0.137;0.133;0.0;0.0;0.0;0.192
ENST00000533621_90_90;0.181;0.164;;;;;;;;;;;;;;;;;0.169;0.176;0.173;0.208;0.0;0.213;0.188
ENST00000534269_90_90;0.449;0.405;;;;;;;;;;;;;;;;;0.418;0.436;0.424;0.507;0.108;0.516;0.193
ENST00000534762_90_90;0.189;0.175;;;;;;;;;;;;;;;;;0.196;0.152;0.199;0.049;0.0;0.05;0.209
ENST00000628517_90_90;0.758;0.712;;;;;;;;;;;;;;;;;0.705;0.735;0.691;0.928;0.029;0.909;0.476
ENST00000640069_90_90;0.682;0.637;;;;;;;;;;;;;;;;;0.653;0.681;0.639;0.79;0.032;0.773;0.42
ENSMUST00000043881_90_90;0.911;0.839;0.869;0.869;0.885;0.705;0.91;0.692;0.691;0.803;0.925;0.705;0.131;0.169;0.418;0.196;0.705;0.653;;;;;;;
ENSMUST00000092678_90_90;0.871;0.798;0.907;0.907;0.923;0.735;0.869;0.722;0.72;0.762;0.885;0.735;0.137;0.176;0.436;0.152;0.735;0.681;;;;;;;
ENSMUST00000185800_90_90;0.897;0.824;0.882;0.882;0.869;0.691;0.923;0.676;0.699;0.788;0.91;0.691;0.133;0.173;0.424;0.199;0.691;0.639;;;;;;;
ENSMUST00000186100_90_90;0.754;0.707;0.73;0.73;0.744;0.928;0.699;0.841;0.909;0.593;0.714;0.928;0.0;0.208;0.507;0.049;0.928;0.79;;;;;;;
ENSMUST00000189158_90_90;0.024;0.025;0.026;0.026;0.025;0.029;0.025;0.032;0.03;0.028;0.024;0.029;0.0;0.0;0.108;0.0;0.029;0.032;;;;;;;
ENSMUST00000190156_90_90;0.74;0.692;0.74;0.74;0.73;0.909;0.709;0.823;0.925;0.579;0.699;0.909;0.0;0.213;0.516;0.05;0.909;0.773;;;;;;;
ENSMUST00000191438_90_90;0.619;0.581;0.667;0.667;0.656;0.476;0.639;0.455;0.483;0.506;0.629;0.476;0.192;0.188;0.193;0.209;0.476;0.42;;;;;;;
