;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.92;0.875;0.875;0.89;0.748;0.915;0.713;0.734;0.81;0.93;0.748;0.125;0.178;0.436;0.186;0.748;0.66;0.916;0.876;0.901;0.721;0.023;0.706;0.626
ENSCAFT00000035671_90_90;0.92;1.0;0.804;0.804;0.819;0.703;0.843;0.667;0.689;0.738;0.858;0.703;0.112;0.161;0.396;0.173;0.703;0.615;0.845;0.805;0.83;0.675;0.024;0.661;0.589
ENST00000353331_90_90;0.875;0.804;1.0;1.0;0.984;0.774;0.958;0.764;0.786;0.82;0.943;0.774;0.135;0.193;0.49;0.151;0.774;0.706;0.899;0.938;0.912;0.745;0.041;0.756;0.698
ENST00000392348_90_90;0.875;0.804;1.0;1.0;0.984;0.774;0.958;0.764;0.786;0.82;0.943;0.774;0.135;0.193;0.49;0.151;0.774;0.706;0.899;0.938;0.912;0.745;0.041;0.756;0.698
ENST00000527536_90_90;0.89;0.819;0.984;0.984;1.0;0.79;0.943;0.78;0.774;0.836;0.959;0.79;0.133;0.189;0.482;0.148;0.79;0.721;0.915;0.955;0.899;0.76;0.04;0.745;0.686
ENST00000527613_90_90;0.748;0.703;0.774;0.774;0.79;1.0;0.742;0.911;0.98;0.637;0.758;1.0;0.0;0.221;0.561;0.046;1.0;0.839;0.72;0.75;0.705;0.963;0.046;0.944;0.491
ENST00000527759_90_90;0.915;0.843;0.958;0.958;0.943;0.742;1.0;0.732;0.754;0.861;0.984;0.742;0.129;0.185;0.47;0.193;0.742;0.676;0.941;0.899;0.955;0.714;0.039;0.724;0.669
ENST00000529826_90_90;0.713;0.667;0.764;0.764;0.78;0.911;0.732;1.0;0.891;0.624;0.748;0.911;0.0;0.248;0.615;0.026;0.911;0.879;0.708;0.738;0.692;0.874;0.052;0.855;0.471
ENST00000530429_90_90;0.734;0.689;0.786;0.786;0.774;0.98;0.754;0.891;1.0;0.623;0.742;0.98;0.0;0.226;0.571;0.048;0.98;0.82;0.705;0.736;0.715;0.944;0.048;0.962;0.498
ENST00000530767_90_90;0.81;0.738;0.82;0.82;0.836;0.637;0.861;0.624;0.623;1.0;0.877;0.637;0.147;0.174;0.529;0.218;0.637;0.571;0.833;0.792;0.818;0.609;0.042;0.593;0.536
ENST00000531224_90_90;0.93;0.858;0.943;0.943;0.959;0.758;0.984;0.748;0.742;0.877;1.0;0.758;0.128;0.181;0.463;0.19;0.758;0.692;0.956;0.915;0.941;0.729;0.038;0.714;0.659
ENST00000532384_90_90;0.748;0.703;0.774;0.774;0.79;1.0;0.742;0.911;0.98;0.637;0.758;1.0;0.0;0.221;0.561;0.046;1.0;0.839;0.72;0.75;0.705;0.963;0.046;0.944;0.491
ENST00000533422_90_90;0.125;0.112;0.135;0.135;0.133;0.0;0.129;0.0;0.0;0.147;0.128;0.0;1.0;0.0;0.0;0.484;0.0;0.0;0.129;0.135;0.131;0.0;0.0;0.0;0.188
ENST00000533621_90_90;0.178;0.161;0.193;0.193;0.189;0.221;0.185;0.248;0.226;0.174;0.181;0.221;0.0;1.0;0.303;0.0;0.221;0.251;0.166;0.173;0.169;0.208;0.0;0.213;0.183
ENST00000534269_90_90;0.436;0.396;0.49;0.49;0.482;0.561;0.47;0.615;0.571;0.529;0.463;0.561;0.0;0.303;1.0;0.0;0.561;0.624;0.427;0.446;0.433;0.525;0.134;0.534;0.204
ENST00000534762_90_90;0.186;0.173;0.151;0.151;0.148;0.046;0.193;0.026;0.048;0.218;0.19;0.046;0.484;0.0;0.0;1.0;0.046;0.0;0.193;0.15;0.196;0.049;0.0;0.05;0.205
ENST00000628517_90_90;0.748;0.703;0.774;0.774;0.79;1.0;0.742;0.911;0.98;0.637;0.758;1.0;0.0;0.221;0.561;0.046;1.0;0.839;0.72;0.75;0.705;0.963;0.046;0.944;0.491
ENST00000640069_90_90;0.66;0.615;0.706;0.706;0.721;0.839;0.676;0.879;0.82;0.571;0.692;0.839;0.0;0.251;0.624;0.0;0.839;1.0;0.653;0.681;0.639;0.802;0.053;0.784;0.42
ENSMUST00000043881_90_90;0.916;0.845;0.899;0.899;0.915;0.72;0.941;0.708;0.705;0.833;0.956;0.72;0.129;0.166;0.427;0.193;0.72;0.653;1.0;0.958;0.984;0.739;0.039;0.724;0.696
ENSMUST00000092678_90_90;0.876;0.805;0.938;0.938;0.955;0.75;0.899;0.738;0.736;0.792;0.915;0.75;0.135;0.173;0.446;0.15;0.75;0.681;0.958;1.0;0.942;0.771;0.041;0.755;0.726
ENSMUST00000185800_90_90;0.901;0.83;0.912;0.912;0.899;0.705;0.955;0.692;0.715;0.818;0.941;0.705;0.131;0.169;0.433;0.196;0.705;0.639;0.984;0.942;1.0;0.724;0.04;0.734;0.709
ENSMUST00000186100_90_90;0.721;0.675;0.745;0.745;0.76;0.963;0.714;0.874;0.944;0.609;0.729;0.963;0.0;0.208;0.525;0.049;0.963;0.802;0.739;0.771;0.724;1.0;0.049;0.98;0.506
ENSMUST00000189158_90_90;0.023;0.024;0.041;0.041;0.04;0.046;0.039;0.052;0.048;0.042;0.038;0.046;0.0;0.0;0.134;0.0;0.046;0.053;0.039;0.041;0.04;0.049;1.0;0.051;0.053
ENSMUST00000190156_90_90;0.706;0.661;0.756;0.756;0.745;0.944;0.724;0.855;0.962;0.593;0.714;0.944;0.0;0.213;0.534;0.05;0.944;0.784;0.724;0.755;0.734;0.98;0.051;1.0;0.514
ENSMUST00000191438_90_90;0.626;0.589;0.698;0.698;0.686;0.491;0.669;0.471;0.498;0.536;0.659;0.491;0.188;0.183;0.204;0.205;0.491;0.42;0.696;0.726;0.709;0.506;0.053;0.514;1.0
