id_transcript;id_transcript;orthologs
ENSCAFT00000007417_90_90;ENSCAFT00000007417_90_90;null
ENST00000283628_90_90;ENST00000283628_90_90;ENSMUST00000084885_90_90:ENSMUST00000216558_90_90
ENST00000283629_90_90;ENST00000283629_90_90;ENSMUST00000084885_90_90:ENSMUST00000216558_90_90
ENST00000411650_90_90;ENST00000411650_90_90;null
ENST00000447368_90_90;ENST00000447368_90_90;ENSMUST00000009885_90_90:ENSMUST00000116492_90_90:ENSMUST00000214095_90_90
ENST00000456378_90_90;ENST00000456378_90_90;null
ENSMUST00000009885_90_90;ENSMUST00000009885_90_90;ENST00000447368_90_90
ENSMUST00000084885_90_90;ENSMUST00000084885_90_90;ENST00000283628_90_90:ENST00000283629_90_90
ENSMUST00000116492_90_90;ENSMUST00000116492_90_90;ENST00000447368_90_90
ENSMUST00000214095_90_90;ENSMUST00000214095_90_90;ENST00000447368_90_90
ENSMUST00000216558_90_90;ENSMUST00000216558_90_90;ENST00000283628_90_90:ENST00000283629_90_90
