;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.487;0.415;0.9;0.748;0.988;0.524;0.414;0.988;0.9;0.829;0.747
ENST00000261210_90_90;0.487;1.0;0.25;0.501;0.594;0.459;0.358;0.259;0.487;0.534;0.579;0.641
ENST00000266732_90_90;0.415;0.25;1.0;0.205;0.221;0.196;0.114;1.0;0.196;0.204;0.212;0.221
ENST00000343315_90_90;0.9;0.501;0.205;1.0;0.833;0.912;0.574;0.204;0.912;1.0;0.922;0.833
ENST00000393053_90_90;0.748;0.594;0.221;0.833;1.0;0.76;0.525;0.221;0.759;0.833;0.903;1.0
ENST00000556029_90_90;0.988;0.459;0.196;0.912;0.76;1.0;0.523;0.196;1.0;0.912;0.841;0.759
ENST00000556678_90_90;0.524;0.358;0.114;0.574;0.525;0.523;1.0;0.114;0.526;0.577;0.625;0.528
ENSMUST00000020123_90_90;0.414;0.259;1.0;0.204;0.221;0.196;0.114;1.0;0.196;0.204;0.212;0.221
ENSMUST00000072239_90_90;0.988;0.487;0.196;0.912;0.759;1.0;0.526;0.196;1.0;0.912;0.841;0.759
ENSMUST00000092219_90_90;0.9;0.534;0.204;1.0;0.833;0.912;0.577;0.204;0.912;1.0;0.922;0.833
ENSMUST00000099355_90_90;0.829;0.579;0.212;0.922;0.903;0.841;0.625;0.212;0.841;0.922;1.0;0.903
ENSMUST00000105293_90_90;0.747;0.641;0.221;0.833;1.0;0.759;0.528;0.221;0.759;0.833;0.903;1.0
