;ENSCAFT00000015568_90_90;ENST00000311559_90_90;ENST00000398568_90_90;ENST00000427738_90_90;ENST00000562884_90_90;ENST00000564326_90_90;ENST00000564634_90_90;ENST00000566024_90_90;ENST00000566206_90_90;ENST00000566679_90_90;ENST00000568704_90_90;ENST00000569418_90_90;ENST00000569681_90_90;ENSMUST00000043526_90_90;ENSMUST00000098519_90_90;ENSMUST00000109626_90_90;ENSMUST00000209206_90_90;ENSMUST00000209532_90_90;ENSMUST00000209559_90_90;ENSMUST00000211554_90_90
ENSCAFT00000015568_90_90;1.0;0.961;0.922;0.961;0.162;0.922;0.056;0.101;0.853;0.275;0.788;0.922;0.164;1.0;0.959;0.959;0.821;0.959;0.959;0.959
ENST00000311559_90_90;0.961;1.0;0.932;1.0;0.101;0.932;0.051;0.051;0.802;0.292;0.803;0.932;0.153;0.927;0.928;0.891;0.76;0.928;0.891;0.891
ENST00000398568_90_90;0.922;0.932;1.0;0.932;0.108;1.0;0.056;0.054;0.853;0.314;0.866;1.0;0.164;0.922;0.921;0.958;0.821;0.921;0.958;0.958
ENST00000427738_90_90;0.961;1.0;0.932;1.0;0.101;0.932;0.051;0.051;0.802;0.292;0.803;0.932;0.153;0.927;0.928;0.891;0.76;0.928;0.891;0.891
ENST00000562884_90_90;0.162;0.101;0.108;0.101;1.0;0.108;0.0;0.516;0.114;0.0;0.122;0.108;0.0;0.162;0.162;0.171;0.195;0.162;0.171;0.171
ENST00000564326_90_90;0.922;0.932;1.0;0.932;0.108;1.0;0.056;0.054;0.853;0.314;0.866;1.0;0.164;0.922;0.921;0.958;0.821;0.921;0.958;0.958
ENST00000564634_90_90;0.056;0.051;0.056;0.051;0.0;0.056;1.0;0.0;0.06;0.18;0.063;0.056;0.35;0.056;0.056;0.059;0.067;0.056;0.059;0.059
ENST00000566024_90_90;0.101;0.051;0.054;0.051;0.516;0.054;0.0;1.0;0.058;0.0;0.062;0.054;0.0;0.101;0.101;0.108;0.12;0.101;0.108;0.108
ENST00000566206_90_90;0.853;0.802;0.853;0.802;0.114;0.853;0.06;0.058;1.0;0.334;0.723;0.853;0.175;0.853;0.852;0.885;0.748;0.852;0.885;0.885
ENST00000566679_90_90;0.275;0.292;0.314;0.292;0.0;0.314;0.18;0.0;0.334;1.0;0.364;0.314;0.524;0.314;0.314;0.327;0.38;0.314;0.327;0.327
ENST00000568704_90_90;0.788;0.803;0.866;0.803;0.122;0.866;0.063;0.062;0.723;0.364;1.0;0.866;0.192;0.788;0.788;0.821;0.954;0.788;0.821;0.821
ENST00000569418_90_90;0.922;0.932;1.0;0.932;0.108;1.0;0.056;0.054;0.853;0.314;0.866;1.0;0.164;0.922;0.921;0.958;0.821;0.921;0.958;0.958
ENST00000569681_90_90;0.164;0.153;0.164;0.153;0.0;0.164;0.35;0.0;0.175;0.524;0.192;0.164;1.0;0.164;0.164;0.171;0.199;0.164;0.171;0.171
ENSMUST00000043526_90_90;1.0;0.927;0.922;0.927;0.162;0.922;0.056;0.101;0.853;0.314;0.788;0.922;0.164;1.0;0.872;0.927;0.796;0.872;0.927;0.927
ENSMUST00000098519_90_90;0.959;0.928;0.921;0.928;0.162;0.921;0.056;0.101;0.852;0.314;0.788;0.921;0.164;0.872;1.0;0.927;0.796;1.0;0.927;0.927
ENSMUST00000109626_90_90;0.959;0.891;0.958;0.891;0.171;0.958;0.059;0.108;0.885;0.327;0.821;0.958;0.171;0.927;0.927;1.0;0.863;0.927;1.0;1.0
ENSMUST00000209206_90_90;0.821;0.76;0.821;0.76;0.195;0.821;0.067;0.12;0.748;0.38;0.954;0.821;0.199;0.796;0.796;0.863;1.0;0.796;0.863;0.863
ENSMUST00000209532_90_90;0.959;0.928;0.921;0.928;0.162;0.921;0.056;0.101;0.852;0.314;0.788;0.921;0.164;0.872;1.0;0.927;0.796;1.0;0.927;0.927
ENSMUST00000209559_90_90;0.959;0.891;0.958;0.891;0.171;0.958;0.059;0.108;0.885;0.327;0.821;0.958;0.171;0.927;0.927;1.0;0.863;0.927;1.0;1.0
ENSMUST00000211554_90_90;0.959;0.891;0.958;0.891;0.171;0.958;0.059;0.108;0.885;0.327;0.821;0.958;0.171;0.927;0.927;1.0;0.863;0.927;1.0;1.0
