;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.895;0.632;0.444;0.842;0.842;0.842;0.842;0.5;0.667;0.438;0.316;0.342;0.289;0.158;0.314;0.417;0.289;0.458;0.237;0.375;0.5;0.5
transcript17_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.895;0.632;0.444;0.842;0.842;0.842;0.842;0.5;0.667;0.438;0.316;0.342;0.289;0.158;0.314;0.417;0.289;0.458;0.237;0.375;0.5;0.5
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.895;0.632;0.444;0.842;0.842;0.842;0.842;0.5;0.667;0.438;0.316;0.342;0.289;0.158;0.314;0.417;0.289;0.458;0.237;0.375;0.5;0.5
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.895;0.632;0.444;0.842;0.842;0.842;0.842;0.5;0.667;0.438;0.316;0.342;0.289;0.158;0.314;0.417;0.289;0.458;0.237;0.375;0.5;0.5
transcript17_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.895;0.632;0.444;0.842;0.842;0.842;0.842;0.5;0.667;0.438;0.316;0.342;0.289;0.158;0.314;0.417;0.289;0.458;0.237;0.375;0.5;0.5
transcript25_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.895;0.632;0.444;0.842;0.842;0.842;0.842;0.5;0.667;0.438;0.316;0.342;0.289;0.158;0.314;0.417;0.289;0.458;0.237;0.375;0.5;0.5
transcript26_ENSHGLG00000019563;0.895;0.895;0.895;0.895;0.895;0.895;1.0;0.526;0.389;0.737;0.737;0.737;0.737;0.438;0.583;0.375;0.263;0.289;0.237;0.105;0.257;0.333;0.237;0.375;0.184;0.348;0.447;0.447
transcript27_ENSHGLG00000019563;0.632;0.632;0.632;0.632;0.632;0.632;0.526;1.0;0.364;0.75;0.75;0.75;0.75;0.281;0.375;0.219;0.132;0.158;0.105;0.194;0.114;0.125;0.105;0.167;0.053;0.083;0.316;0.316
transcript0_ENSHGLG00100006079;0.444;0.444;0.444;0.444;0.444;0.444;0.389;0.364;1.0;0.485;0.485;0.485;0.485;0.632;0.421;0.579;0.684;0.711;0.658;0.657;0.579;0.263;0.658;0.289;0.605;0.237;0.868;0.868
transcript13_ENSHGLG00100006079;0.842;0.842;0.842;0.842;0.842;0.842;0.737;0.75;0.485;1.0;1.0;1.0;1.0;0.406;0.542;0.344;0.237;0.263;0.211;0.171;0.229;0.292;0.211;0.333;0.158;0.25;0.421;0.421
transcript20_ENSHGLG00100006079;0.842;0.842;0.842;0.842;0.842;0.842;0.737;0.75;0.485;1.0;1.0;1.0;1.0;0.406;0.542;0.344;0.237;0.263;0.211;0.171;0.229;0.292;0.211;0.333;0.158;0.25;0.421;0.421
transcript21_ENSHGLG00100006079;0.842;0.842;0.842;0.842;0.842;0.842;0.737;0.75;0.485;1.0;1.0;1.0;1.0;0.406;0.542;0.344;0.237;0.263;0.211;0.171;0.229;0.292;0.211;0.333;0.158;0.25;0.421;0.421
transcript22_ENSHGLG00100006079;0.842;0.842;0.842;0.842;0.842;0.842;0.737;0.75;0.485;1.0;1.0;1.0;1.0;0.406;0.542;0.344;0.237;0.263;0.211;0.171;0.229;0.292;0.211;0.333;0.158;0.25;0.421;0.421
transcript0_ENSMUNG00000002391;0.5;0.5;0.5;0.5;0.5;0.5;0.438;0.281;0.632;0.406;0.406;0.406;0.406;1.0;0.724;0.931;0.714;0.743;0.686;0.543;0.647;0.517;0.686;0.552;0.629;0.483;0.763;0.763
transcript21_ENSMUNG00000002391;0.667;0.667;0.667;0.667;0.667;0.667;0.583;0.375;0.421;0.542;0.542;0.542;0.542;0.724;1.0;0.655;0.486;0.514;0.457;0.314;0.5;0.714;0.457;0.762;0.4;0.667;0.553;0.553
transcript22_ENSMUNG00000002391;0.438;0.438;0.438;0.438;0.438;0.438;0.375;0.219;0.579;0.344;0.344;0.344;0.344;0.931;0.655;1.0;0.706;0.686;0.727;0.486;0.688;0.556;0.727;0.593;0.667;0.519;0.711;0.711
transcript8_ENSAPOG00000016134;0.316;0.316;0.316;0.316;0.316;0.316;0.263;0.132;0.684;0.237;0.237;0.237;0.237;0.714;0.486;0.706;1.0;0.969;0.968;0.75;0.871;0.484;0.968;0.516;0.903;0.452;0.816;0.816
transcript10_ENSAPOG00000016134;0.342;0.342;0.342;0.342;0.342;0.342;0.289;0.158;0.711;0.263;0.263;0.263;0.263;0.743;0.514;0.686;0.969;1.0;0.938;0.781;0.844;0.469;0.938;0.5;0.875;0.438;0.842;0.842
transcript12_ENSAPOG00000016134;0.289;0.289;0.289;0.289;0.289;0.289;0.237;0.105;0.658;0.211;0.211;0.211;0.211;0.686;0.457;0.727;0.968;0.938;1.0;0.719;0.9;0.5;1.0;0.533;0.933;0.467;0.789;0.789
transcript17_ENSAPOG00000016134;0.158;0.158;0.158;0.158;0.158;0.158;0.105;0.194;0.657;0.171;0.171;0.171;0.171;0.543;0.314;0.486;0.75;0.781;0.719;1.0;0.625;0.25;0.719;0.281;0.656;0.219;0.658;0.658
transcript20_ENSAPOG00000016134;0.314;0.314;0.314;0.314;0.314;0.314;0.257;0.114;0.579;0.229;0.229;0.229;0.229;0.647;0.5;0.688;0.871;0.844;0.9;0.625;1.0;0.556;0.9;0.593;0.833;0.519;0.711;0.711
transcript7_ENSAPOG00000023408;0.417;0.417;0.417;0.417;0.417;0.417;0.333;0.125;0.263;0.292;0.292;0.292;0.292;0.517;0.714;0.556;0.484;0.469;0.5;0.25;0.556;1.0;0.5;0.938;0.483;0.933;0.395;0.395
transcript12_ENSAPOG00000023408;0.289;0.289;0.289;0.289;0.289;0.289;0.237;0.105;0.658;0.211;0.211;0.211;0.211;0.686;0.457;0.727;0.968;0.938;1.0;0.719;0.9;0.5;1.0;0.533;0.933;0.467;0.789;0.789
transcript22_ENSAPOG00000023408;0.458;0.458;0.458;0.458;0.458;0.458;0.375;0.167;0.289;0.333;0.333;0.333;0.333;0.552;0.762;0.593;0.516;0.5;0.533;0.281;0.593;0.938;0.533;1.0;0.467;0.875;0.421;0.421
transcript23_ENSAPOG00000023408;0.237;0.237;0.237;0.237;0.237;0.237;0.184;0.053;0.605;0.158;0.158;0.158;0.158;0.629;0.4;0.667;0.903;0.875;0.933;0.656;0.833;0.483;0.933;0.467;1.0;0.448;0.737;0.737
transcript24_ENSAPOG00000023408;0.375;0.375;0.375;0.375;0.375;0.375;0.348;0.083;0.237;0.25;0.25;0.25;0.25;0.483;0.667;0.519;0.452;0.438;0.467;0.219;0.519;0.933;0.467;0.875;0.448;1.0;0.368;0.368
transcript0_ENSPNYG00000024266;0.5;0.5;0.5;0.5;0.5;0.5;0.447;0.316;0.868;0.421;0.421;0.421;0.421;0.763;0.553;0.711;0.816;0.842;0.789;0.658;0.711;0.395;0.789;0.421;0.737;0.368;1.0;1.0
transcript0_ENSXMAG00000026005;0.5;0.5;0.5;0.5;0.5;0.5;0.447;0.316;0.868;0.421;0.421;0.421;0.421;0.763;0.553;0.711;0.816;0.842;0.789;0.658;0.711;0.395;0.789;0.421;0.737;0.368;1.0;1.0
