;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.1;0.133;0.245;0.113;0.097;0.097;0.097;0.212;0.908;0.719;0.719;0.719;0.866;0.689;0.908;0.073;0.677;0.879;0.097;1.0;0.968;0.049;0.932;0.955;0.33
ENST00000587805_90_90;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.126;0.153;0.153;0.153;0.132;0.159;0.126;0.0;0.162;0.13;0.0;0.1;0.103;0.0;0.1;0.104;0.0
ENST00000588116_90_90;0.133;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.133;0.172;0.172;0.172;0.139;0.177;0.133;0.0;0.182;0.137;0.0;0.133;0.137;0.0;0.134;0.139;0.0
ENST00000589774_90_90;0.245;0.0;0.0;1.0;0.515;0.243;0.243;0.243;0.877;0.28;0.334;0.334;0.334;0.234;0.349;0.28;0.268;0.278;0.291;0.243;0.245;0.256;0.209;0.246;0.202;0.728
ENST00000590432_90_90;0.113;0.0;0.0;0.515;1.0;0.416;0.416;0.416;0.587;0.142;0.17;0.17;0.17;0.149;0.178;0.142;0.493;0.18;0.148;0.416;0.113;0.117;0.402;0.114;0.118;0.35
ENST00000590538_90_90;0.097;0.0;0.0;0.243;0.416;1.0;1.0;1.0;0.272;0.07;0.085;0.085;0.085;0.073;0.087;0.07;0.571;0.089;0.073;1.0;0.097;0.1;0.477;0.097;0.101;0.262
ENST00000591610_90_90;0.097;0.0;0.0;0.243;0.416;1.0;1.0;1.0;0.272;0.07;0.085;0.085;0.085;0.073;0.087;0.07;0.571;0.089;0.073;1.0;0.097;0.1;0.477;0.097;0.101;0.262
ENST00000592167_90_90;0.097;0.0;0.0;0.243;0.416;1.0;1.0;1.0;0.272;0.07;0.085;0.085;0.085;0.073;0.087;0.07;0.571;0.089;0.073;1.0;0.097;0.1;0.477;0.097;0.101;0.262
ENST00000593014_90_90;0.212;0.0;0.0;0.877;0.587;0.272;0.272;0.272;1.0;0.245;0.292;0.292;0.292;0.2;0.306;0.245;0.303;0.237;0.255;0.272;0.212;0.22;0.238;0.213;0.168;0.631
ENST00000610402_90_90;0.908;0.126;0.133;0.28;0.142;0.07;0.07;0.07;0.245;1.0;0.806;0.806;0.806;0.955;0.773;1.0;0.073;0.761;0.968;0.07;0.908;0.879;0.049;0.849;0.866;0.295
ENST00000612035_90_90;0.719;0.153;0.172;0.334;0.17;0.085;0.085;0.085;0.292;0.806;1.0;1.0;1.0;0.761;0.962;0.806;0.087;0.944;0.773;0.085;0.719;0.689;0.06;0.722;0.677;0.357
ENST00000612116_90_90;0.719;0.153;0.172;0.334;0.17;0.085;0.085;0.085;0.292;0.806;1.0;1.0;1.0;0.761;0.962;0.806;0.087;0.944;0.773;0.085;0.719;0.689;0.06;0.722;0.677;0.357
ENST00000614600_90_90;0.719;0.153;0.172;0.334;0.17;0.085;0.085;0.085;0.292;0.806;1.0;1.0;1.0;0.761;0.962;0.806;0.087;0.944;0.773;0.085;0.719;0.689;0.06;0.722;0.677;0.357
ENST00000616681_90_90;0.866;0.132;0.139;0.234;0.149;0.073;0.073;0.073;0.2;0.955;0.761;0.761;0.761;1.0;0.729;0.955;0.076;0.797;0.922;0.073;0.866;0.835;0.051;0.807;0.905;0.251
ENST00000616784_90_90;0.689;0.159;0.177;0.349;0.178;0.087;0.087;0.087;0.306;0.773;0.962;0.962;0.962;0.729;1.0;0.773;0.091;0.906;0.801;0.087;0.689;0.71;0.063;0.693;0.646;0.372
ENST00000618940_90_90;0.908;0.126;0.133;0.28;0.142;0.07;0.07;0.07;0.245;1.0;0.806;0.806;0.806;0.955;0.773;1.0;0.073;0.761;0.968;0.07;0.908;0.879;0.049;0.849;0.866;0.295
ENST00000620039_90_90;0.073;0.0;0.0;0.268;0.493;0.571;0.571;0.571;0.303;0.073;0.087;0.087;0.087;0.076;0.091;0.073;1.0;0.092;0.075;0.571;0.073;0.075;0.619;0.073;0.076;0.219
ENST00000621668_90_90;0.677;0.162;0.182;0.278;0.18;0.089;0.089;0.089;0.237;0.761;0.944;0.944;0.944;0.797;0.906;0.761;0.092;1.0;0.729;0.089;0.677;0.646;0.064;0.679;0.706;0.303
ENST00000621914_90_90;0.879;0.13;0.137;0.291;0.148;0.073;0.073;0.073;0.255;0.968;0.773;0.773;0.773;0.922;0.801;0.968;0.075;0.729;1.0;0.073;0.879;0.905;0.05;0.82;0.835;0.306
ENST00000628168_90_90;0.097;0.0;0.0;0.243;0.416;1.0;1.0;1.0;0.272;0.07;0.085;0.085;0.085;0.073;0.087;0.07;0.571;0.089;0.073;1.0;0.097;0.1;0.477;0.097;0.101;0.262
ENSMUST00000018875_90_90;1.0;0.1;0.133;0.245;0.113;0.097;0.097;0.097;0.212;0.908;0.719;0.719;0.719;0.866;0.689;0.908;0.073;0.677;0.879;0.097;1.0;0.968;0.049;0.932;0.955;0.33
ENSMUST00000065692_90_90;0.968;0.103;0.137;0.256;0.117;0.1;0.1;0.1;0.22;0.879;0.689;0.689;0.689;0.835;0.71;0.879;0.075;0.646;0.905;0.1;0.968;1.0;0.05;0.901;0.922;0.343
ENSMUST00000142680_90_90;0.049;0.0;0.0;0.209;0.402;0.477;0.477;0.477;0.238;0.049;0.06;0.06;0.06;0.051;0.063;0.049;0.619;0.064;0.05;0.477;0.049;0.05;1.0;0.049;0.051;0.167
ENSMUST00000176430_90_90;0.932;0.1;0.134;0.246;0.114;0.097;0.097;0.097;0.213;0.849;0.722;0.722;0.722;0.807;0.693;0.849;0.073;0.679;0.82;0.097;0.932;0.901;0.049;1.0;0.889;0.331
ENSMUST00000176523_90_90;0.955;0.104;0.139;0.202;0.118;0.101;0.101;0.101;0.168;0.866;0.677;0.677;0.677;0.905;0.646;0.866;0.076;0.706;0.835;0.101;0.955;0.922;0.051;0.889;1.0;0.285
ENSMUST00000176944_90_90;0.33;0.0;0.0;0.728;0.35;0.262;0.262;0.262;0.631;0.295;0.357;0.357;0.357;0.251;0.372;0.295;0.219;0.303;0.306;0.262;0.33;0.343;0.167;0.331;0.285;1.0
