;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.8;0.7;0.333;0.7;0.733;0.1;0.433;0.893;0.929;0.536;0.536;0.857;0.321;0.786;0.357
ENST00000379697_90_90;0.8;1.0;0.426;0.149;0.457;0.457;0.073;0.39;0.735;0.735;0.412;0.412;0.676;0.333;0.867;0.281
ENST00000379698_90_90;0.7;0.426;1.0;0.464;0.862;0.929;0.107;0.571;0.545;0.7;0.333;0.333;0.581;0.455;0.548;0.138
ENST00000379716_90_90;0.333;0.149;0.464;1.0;0.464;0.464;0.0;0.107;0.323;0.323;0.579;0.579;0.345;0.222;0.188;0.211
ENST00000379726_90_90;0.7;0.457;0.862;0.464;1.0;0.862;0.107;0.517;0.606;0.656;0.312;0.312;0.545;0.417;0.515;0.129
ENST00000397821_90_90;0.733;0.457;0.929;0.464;0.862;1.0;0.107;0.571;0.576;0.677;0.323;0.323;0.613;0.435;0.531;0.133
ENST00000431164_90_90;0.1;0.073;0.107;0.0;0.107;0.107;1.0;0.167;0.133;0.133;0.0;0.0;0.143;0.364;0.148;0.0
ENST00000432234_90_90;0.433;0.39;0.571;0.107;0.517;0.571;0.167;1.0;0.333;0.467;0.1;0.1;0.355;0.562;0.519;0.0
ENSMUST00000073094_90_90;0.893;0.735;0.545;0.323;0.606;0.576;0.133;0.333;1.0;0.795;0.514;0.5;0.941;0.412;0.659;0.353
ENSMUST00000080394_90_90;0.929;0.735;0.7;0.323;0.656;0.677;0.133;0.467;0.795;1.0;0.486;0.474;0.838;0.389;0.842;0.333
ENSMUST00000112451_90_90;0.536;0.412;0.333;0.579;0.312;0.323;0.0;0.1;0.514;0.486;1.0;0.95;0.545;0.138;0.359;0.632
ENSMUST00000112453_90_90;0.536;0.412;0.333;0.579;0.312;0.323;0.0;0.1;0.5;0.474;0.95;1.0;0.529;0.133;0.35;0.6
ENSMUST00000112456_90_90;0.857;0.676;0.581;0.345;0.545;0.613;0.143;0.355;0.941;0.838;0.545;0.529;1.0;0.438;0.692;0.375
ENSMUST00000123433_90_90;0.321;0.333;0.455;0.222;0.417;0.435;0.364;0.562;0.412;0.389;0.138;0.133;0.438;1.0;0.412;0.0
ENSMUST00000141354_90_90;0.786;0.867;0.548;0.188;0.515;0.531;0.148;0.519;0.659;0.842;0.359;0.35;0.692;0.412;1.0;0.243
ENSMUST00000152426_90_90;0.357;0.281;0.138;0.211;0.129;0.133;0.0;0.0;0.353;0.333;0.632;0.6;0.375;0.0;0.243;1.0
