;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.581;0.75;0.105;0.151;0.331;0.331;0.331;0.961;1.0;0.105;0.581;1.0;0.961
transcript8_ENSHGLG00100006079;0.581;1.0;0.368;0.071;0.089;0.094;0.094;0.094;0.567;0.581;0.079;0.952;0.581;0.567
transcript6_ENSPCIG00000036398;0.75;0.368;1.0;0.119;0.169;0.391;0.391;0.391;0.779;0.75;0.099;0.368;0.75;0.779
transcript7_ENSPCIG00000036398;0.105;0.071;0.119;1.0;0.471;0.275;0.275;0.275;0.112;0.105;0.262;0.071;0.105;0.112
transcript7_ENSMUNG00000007775;0.151;0.089;0.169;0.471;1.0;0.383;0.383;0.383;0.16;0.151;0.296;0.089;0.151;0.16
transcript16_ENSMUNG00000007775;0.331;0.094;0.391;0.275;0.383;1.0;1.0;1.0;0.347;0.331;0.117;0.115;0.331;0.347
transcript23_ENSMUNG00000007775;0.331;0.094;0.391;0.275;0.383;1.0;1.0;1.0;0.347;0.331;0.117;0.115;0.331;0.347
transcript16_ENSMUNG00000002377;0.331;0.094;0.391;0.275;0.383;1.0;1.0;1.0;0.347;0.331;0.117;0.115;0.331;0.347
transcript10_ENSMUNG00000002391;0.961;0.567;0.779;0.112;0.16;0.347;0.347;0.347;1.0;0.961;0.112;0.567;0.961;1.0
transcript2_ENSXMAG00000026005;1.0;0.581;0.75;0.105;0.151;0.331;0.331;0.331;0.961;1.0;0.105;0.581;1.0;0.961
transcript7_ENSXMAG00000026005;0.105;0.079;0.099;0.262;0.296;0.117;0.117;0.117;0.112;0.105;1.0;0.079;0.105;0.112
transcript8_ENSXMAG00000026005;0.581;0.952;0.368;0.071;0.089;0.115;0.115;0.115;0.567;0.581;0.079;1.0;0.581;0.567
transcript9_ENSXMAG00000026005;1.0;0.581;0.75;0.105;0.151;0.331;0.331;0.331;0.961;1.0;0.105;0.581;1.0;0.961
transcript10_ENSXMAG00000026005;0.961;0.567;0.779;0.112;0.16;0.347;0.347;0.347;1.0;0.961;0.112;0.567;0.961;1.0
