;ENSCAFT00000007160_90_90;ENST00000353609_90_90;ENST00000417353_90_90;ENST00000443841_90_90;ENST00000585836_90_90;ENST00000586615_90_90;ENST00000589593_90_90;ENST00000590335_90_90;ENST00000591858_90_90;ENST00000592436_90_90;ENST00000592811_90_90;ENST00000615753_90_90;ENSMUST00000003640_90_90;ENSMUST00000207334_90_90;ENSMUST00000207716_90_90;ENSMUST00000208326_90_90;ENSMUST00000208446_90_90;ENSMUST00000208505_90_90
ENSCAFT00000007160_90_90;;0.781;0.693;0.44;0.564;0.676;0.316;0.335;0.653;0.561;0.444;0.677;0.915;0.821;0.679;0.775;0.683;0.588
ENST00000353609_90_90;0.781;;;;;;;;;;;;0.843;0.752;0.618;0.709;0.617;0.526
ENST00000417353_90_90;0.693;;;;;;;;;;;;0.752;0.83;0.682;0.618;0.526;0.58
ENST00000443841_90_90;0.44;;;;;;;;;;;;0.495;0.548;0.647;0.574;0.263;0.29
ENST00000585836_90_90;0.564;;;;;;;;;;;;0.618;0.682;0.796;0.709;0.391;0.432
ENST00000586615_90_90;0.676;;;;;;;;;;;;0.676;0.582;0.515;0.615;0.444;0.349
ENST00000589593_90_90;0.316;;;;;;;;;;;;0.316;0.224;0.143;0.239;0.421;0.3
ENST00000590335_90_90;0.335;;;;;;;;;;;;0.38;0.416;0.28;0.256;0.487;0.549
ENST00000591858_90_90;0.653;;;;;;;;;;;;0.709;0.618;0.709;0.815;0.483;0.391
ENST00000592436_90_90;0.561;;;;;;;;;;;;0.617;0.526;0.391;0.483;0.814;0.693
ENST00000592811_90_90;0.444;;;;;;;;;;;;0.444;0.349;0.271;0.371;0.596;0.47
ENST00000615753_90_90;0.677;;;;;;;;;;;;0.735;0.643;0.51;0.601;0.696;0.593
ENSMUST00000003640_90_90;0.915;0.843;0.752;0.495;0.618;0.676;0.316;0.38;0.709;0.617;0.444;0.735;;;;;;
ENSMUST00000207334_90_90;0.821;0.752;0.83;0.548;0.682;0.582;0.224;0.416;0.618;0.526;0.349;0.643;;;;;;
ENSMUST00000207716_90_90;0.679;0.618;0.682;0.647;0.796;0.515;0.143;0.28;0.709;0.391;0.271;0.51;;;;;;
ENSMUST00000208326_90_90;0.775;0.709;0.618;0.574;0.709;0.615;0.239;0.256;0.815;0.483;0.371;0.601;;;;;;
ENSMUST00000208446_90_90;0.683;0.617;0.526;0.263;0.391;0.444;0.421;0.487;0.483;0.814;0.596;0.696;;;;;;
ENSMUST00000208505_90_90;0.588;0.526;0.58;0.29;0.432;0.349;0.3;0.549;0.391;0.693;0.47;0.593;;;;;;
