;ENSCAFT00000002475_90_90;ENST00000341376_90_90;ENST00000353205_90_90;ENSMUST00000046719_90_90;ENSMUST00000078800_90_90;ENSMUST00000159063_90_90;ENSMUST00000159237_90_90;ENSMUST00000159535_90_90;ENSMUST00000160319_90_90;ENSMUST00000161117_90_90;ENSMUST00000161256_90_90;ENSMUST00000162460_90_90
ENSCAFT00000002475_90_90;1.0;0.933;0.714;0.812;0.75;0.467;0.438;0.438;0.688;0.6;0.4;0.6
ENST00000341376_90_90;0.933;1.0;0.667;0.875;0.812;0.438;0.412;0.5;0.75;0.562;0.375;0.562
ENST00000353205_90_90;0.714;0.667;1.0;0.562;0.6;0.636;0.583;0.357;0.438;0.538;0.545;0.818
ENSMUST00000046719_90_90;0.812;0.875;0.562;1.0;0.933;0.533;0.412;0.6;0.867;0.667;0.467;0.667
ENSMUST00000078800_90_90;0.75;0.812;0.6;0.933;1.0;0.571;0.438;0.643;0.8;0.714;0.5;0.714
ENSMUST00000159063_90_90;0.467;0.438;0.636;0.533;0.571;1.0;0.417;0.545;0.615;0.5;0.667;0.8
ENSMUST00000159237_90_90;0.438;0.412;0.583;0.412;0.438;0.417;1.0;0.2;0.294;0.462;0.6;0.583
ENSMUST00000159535_90_90;0.438;0.5;0.357;0.6;0.643;0.545;0.2;1.0;0.692;0.462;0.333;0.462
ENSMUST00000160319_90_90;0.688;0.75;0.438;0.867;0.8;0.615;0.294;0.692;1.0;0.533;0.429;0.533
ENSMUST00000161117_90_90;0.6;0.562;0.538;0.667;0.714;0.5;0.462;0.462;0.533;1.0;0.545;0.667
ENSMUST00000161256_90_90;0.4;0.375;0.545;0.467;0.5;0.667;0.6;0.333;0.429;0.545;1.0;0.7
ENSMUST00000162460_90_90;0.6;0.562;0.818;0.667;0.714;0.8;0.583;0.462;0.533;0.667;0.7;1.0
