;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.815;0.002;0.003;0.002;0.003;0.002;0.0;0.002;0.002;0.002;0.002;0.004;0.0
ENSCAFT00000043901_90_90;0.815;1.0;0.002;0.003;0.002;0.003;0.002;0.0;0.002;0.002;0.002;0.002;0.005;0.0
ENST00000256953_90_90;0.002;0.002;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.66;0.66;0.719;0.235;0.253
ENST00000393736_90_90;0.003;0.003;0.194;1.0;0.194;0.552;0.194;0.137;0.103;0.091;0.091;0.1;0.435;0.0
ENST00000536465_90_90;0.002;0.002;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.66;0.66;0.719;0.235;0.253
ENST00000537647_90_90;0.003;0.003;0.312;0.552;0.312;1.0;0.312;0.313;0.22;0.083;0.083;0.091;0.798;0.0
ENST00000538313_90_90;0.002;0.002;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.66;0.66;0.719;0.235;0.253
ENST00000545567_90_90;0.0;0.0;0.344;0.137;0.344;0.313;0.344;1.0;0.263;0.139;0.139;0.15;0.223;0.306
ENST00000546331_90_90;0.002;0.002;0.905;0.103;0.905;0.22;0.905;0.263;1.0;0.701;0.701;0.768;0.214;0.271
ENSMUST00000032347_90_90;0.002;0.002;0.66;0.091;0.66;0.083;0.66;0.139;0.701;1.0;1.0;0.905;0.09;0.3
ENSMUST00000117919_90_90;0.002;0.002;0.66;0.091;0.66;0.083;0.66;0.139;0.701;1.0;1.0;0.905;0.09;0.3
ENSMUST00000119610_90_90;0.002;0.002;0.719;0.1;0.719;0.091;0.719;0.15;0.768;0.905;0.905;1.0;0.098;0.331
ENSMUST00000149100_90_90;0.004;0.005;0.235;0.435;0.235;0.798;0.235;0.223;0.214;0.09;0.09;0.098;1.0;0.0
ENSMUST00000203003_90_90;0.0;0.0;0.253;0.0;0.253;0.0;0.253;0.306;0.271;0.3;0.3;0.331;0.0;1.0
