;transcript36_ENSRNOG00000031503;transcript7_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript36_ENSRNOG00000031503;1.0;0.976;0.954;0.897;0.878;0.887;0.926;0.908;0.917;0.966;0.966
transcript7_MGP-PahariEiJ-G0020237;0.976;1.0;0.948;0.923;0.905;0.914;0.905;0.903;0.911;0.938;0.938
transcript37_MGP-PahariEiJ-G0020237;0.954;0.948;1.0;0.875;0.858;0.867;0.957;0.955;0.963;0.992;0.992
transcript39_MGP-PahariEiJ-G0020237;0.897;0.923;0.875;1.0;0.98;0.99;0.833;0.83;0.838;0.863;0.863
transcript9_MGP-PahariEiJ-G0020237;0.878;0.905;0.858;0.98;1.0;0.989;0.815;0.813;0.821;0.844;0.844
transcript49_MGP-PahariEiJ-G0020237;0.887;0.914;0.867;0.99;0.989;1.0;0.824;0.822;0.83;0.854;0.854
transcript50_MGP-PahariEiJ-G0020237;0.926;0.905;0.957;0.833;0.815;0.824;1.0;0.912;0.92;0.964;0.964
transcript52_MGP-PahariEiJ-G0020237;0.908;0.903;0.955;0.83;0.813;0.822;0.912;1.0;0.992;0.946;0.946
transcript51_MGP-PahariEiJ-G0020237;0.917;0.911;0.963;0.838;0.821;0.83;0.92;0.992;1.0;0.954;0.954
transcript37_ENSRNOG00000031503;0.966;0.938;0.992;0.863;0.844;0.854;0.964;0.946;0.954;1.0;1.0
transcript44_ENSRNOG00000031503;0.966;0.938;0.992;0.863;0.844;0.854;0.964;0.946;0.954;1.0;1.0
