;ENSCAFT00000006783_90_90;ENST00000263280_90_90;ENST00000391910_90_90;ENST00000435164_90_90;ENST00000539396_90_90;ENST00000593979_90_90;ENST00000594287_90_90;ENST00000594704_90_90;ENST00000596012_90_90;ENST00000597021_90_90;ENST00000597063_90_90;ENST00000600358_90_90;ENST00000600615_90_90;ENSMUST00000019220_90_90;ENSMUST00000108495_90_90;ENSMUST00000184280_90_90;ENSMUST00000184694_90_90;ENSMUST00000184708_90_90;ENSMUST00000185011_90_90
ENSCAFT00000006783_90_90;1.0;0.932;0.958;0.316;0.812;0.237;0.368;0.197;0.111;0.171;0.201;0.493;0.192;0.96;0.935;0.255;0.19;0.447;0.102
ENST00000263280_90_90;0.932;1.0;0.976;0.338;0.881;0.253;0.308;0.166;0.129;0.189;0.216;0.417;0.211;0.975;1.0;0.243;0.215;0.371;0.066
ENST00000391910_90_90;0.958;0.976;1.0;0.329;0.859;0.245;0.328;0.163;0.125;0.183;0.21;0.436;0.207;1.0;0.975;0.238;0.21;0.393;0.087
ENST00000435164_90_90;0.316;0.338;0.329;1.0;0.38;0.635;0.0;0.147;0.324;0.473;0.541;0.44;0.0;0.33;0.338;0.324;0.0;0.506;0.0
ENST00000539396_90_90;0.812;0.881;0.859;0.38;1.0;0.284;0.347;0.077;0.144;0.212;0.242;0.463;0.242;0.857;0.879;0.157;0.246;0.414;0.072
ENST00000593979_90_90;0.237;0.253;0.245;0.635;0.284;1.0;0.0;0.201;0.512;0.744;0.849;0.301;0.0;0.252;0.259;0.381;0.0;0.345;0.0
ENST00000594287_90_90;0.368;0.308;0.328;0.0;0.347;0.0;1.0;0.0;0.0;0.0;0.0;0.318;0.181;0.34;0.319;0.0;0.189;0.28;0.407
ENST00000594704_90_90;0.197;0.166;0.163;0.147;0.077;0.201;0.0;1.0;0.283;0.237;0.221;0.05;0.0;0.165;0.168;0.734;0.0;0.055;0.0
ENST00000596012_90_90;0.111;0.129;0.125;0.324;0.144;0.512;0.0;0.283;1.0;0.688;0.604;0.122;0.0;0.128;0.132;0.385;0.0;0.141;0.0
ENST00000597021_90_90;0.171;0.189;0.183;0.473;0.212;0.744;0.0;0.237;0.688;1.0;0.877;0.207;0.0;0.188;0.194;0.45;0.0;0.237;0.0
ENST00000597063_90_90;0.201;0.216;0.21;0.541;0.242;0.849;0.0;0.221;0.604;0.877;1.0;0.245;0.0;0.216;0.222;0.418;0.0;0.28;0.0
ENST00000600358_90_90;0.493;0.417;0.436;0.44;0.463;0.301;0.318;0.05;0.122;0.207;0.245;1.0;0.0;0.439;0.418;0.143;0.0;0.917;0.323
ENST00000600615_90_90;0.192;0.211;0.207;0.0;0.242;0.0;0.181;0.0;0.0;0.0;0.0;0.0;1.0;0.21;0.215;0.0;1.0;0.0;0.0
ENSMUST00000019220_90_90;0.96;0.975;1.0;0.33;0.857;0.252;0.34;0.165;0.128;0.188;0.216;0.439;0.21;1.0;0.976;0.228;0.207;0.386;0.081
ENSMUST00000108495_90_90;0.935;1.0;0.975;0.338;0.879;0.259;0.319;0.168;0.132;0.194;0.222;0.418;0.215;0.976;1.0;0.232;0.211;0.366;0.061
ENSMUST00000184280_90_90;0.255;0.243;0.238;0.324;0.157;0.381;0.0;0.734;0.385;0.45;0.418;0.143;0.0;0.228;0.232;1.0;0.0;0.138;0.0
ENSMUST00000184694_90_90;0.19;0.215;0.21;0.0;0.246;0.0;0.189;0.0;0.0;0.0;0.0;0.0;1.0;0.207;0.211;0.0;1.0;0.0;0.0
ENSMUST00000184708_90_90;0.447;0.371;0.393;0.506;0.414;0.345;0.28;0.055;0.141;0.237;0.28;0.917;0.0;0.386;0.366;0.138;0.0;1.0;0.373
ENSMUST00000185011_90_90;0.102;0.066;0.087;0.0;0.072;0.0;0.407;0.0;0.0;0.0;0.0;0.323;0.0;0.081;0.061;0.0;0.0;0.373;1.0
