;ENSCAFT00000014740_90_90;ENST00000262493_90_90;ENST00000262494_90_90;ENST00000562316_90_90;ENST00000563661_90_90;ENST00000564727_90_90;ENST00000568375_90_90;ENST00000569295_90_90;ENST00000570235_90_90;ENST00000638705_90_90;ENST00000639268_90_90;ENST00000639341_90_90;ENST00000639770_90_90;ENST00000640469_90_90;ENST00000640893_90_90;ENSMUST00000034198_90_90;ENSMUST00000125716_90_90;ENSMUST00000127900_90_90;ENSMUST00000137202_90_90;ENSMUST00000138659_90_90;ENSMUST00000142466_90_90;ENSMUST00000149530_90_90
ENSCAFT00000014740_90_90;1.0;0.412;0.187;0.072;0.361;0.218;0.068;0.175;0.17;0.412;0.058;0.235;0.124;0.272;0.282;1.0;1.0;0.284;0.469;0.592;0.273;0.145
ENST00000262493_90_90;0.412;1.0;0.627;0.472;0.273;0.245;0.208;0.154;0.149;1.0;0.19;0.526;0.11;0.367;0.4;0.412;0.412;0.108;0.122;0.187;0.199;0.092
ENST00000262494_90_90;0.187;0.627;1.0;0.377;0.297;0.036;0.144;0.169;0.164;0.627;0.207;0.22;0.12;0.083;0.44;0.187;0.187;0.117;0.134;0.202;0.0;0.0
ENST00000562316_90_90;0.072;0.472;0.377;1.0;0.0;0.261;0.21;0.0;0.0;0.472;0.133;0.476;0.0;0.264;0.139;0.072;0.072;0.0;0.0;0.0;0.193;0.284
ENST00000563661_90_90;0.361;0.273;0.297;0.0;1.0;0.0;0.0;0.472;0.414;0.273;0.134;0.0;0.318;0.0;0.651;0.361;0.361;0.378;0.362;0.419;0.0;0.0
ENST00000564727_90_90;0.218;0.245;0.036;0.261;0.0;1.0;0.284;0.0;0.0;0.245;0.0;0.448;0.0;0.622;0.0;0.218;0.218;0.0;0.0;0.0;0.757;0.383
ENST00000568375_90_90;0.068;0.208;0.144;0.21;0.0;0.284;1.0;0.0;0.0;0.208;0.0;0.396;0.0;0.409;0.0;0.068;0.068;0.0;0.0;0.0;0.164;0.0
ENST00000569295_90_90;0.175;0.154;0.169;0.0;0.472;0.0;0.0;1.0;0.618;0.154;0.0;0.0;0.495;0.0;0.371;0.175;0.175;0.0;0.059;0.201;0.0;0.0
ENST00000570235_90_90;0.17;0.149;0.164;0.0;0.414;0.0;0.0;0.618;1.0;0.149;0.0;0.0;0.408;0.0;0.34;0.17;0.17;0.0;0.059;0.195;0.0;0.0
ENST00000638705_90_90;0.412;1.0;0.627;0.472;0.273;0.245;0.208;0.154;0.149;1.0;0.19;0.526;0.11;0.367;0.4;0.412;0.412;0.108;0.122;0.187;0.199;0.092
ENST00000639268_90_90;0.058;0.19;0.207;0.133;0.134;0.0;0.0;0.0;0.0;0.19;1.0;0.0;0.0;0.0;0.112;0.058;0.058;0.157;0.111;0.066;0.0;0.0
ENST00000639341_90_90;0.235;0.526;0.22;0.476;0.0;0.448;0.396;0.0;0.0;0.526;0.0;1.0;0.0;0.697;0.103;0.235;0.235;0.0;0.0;0.0;0.353;0.159
ENST00000639770_90_90;0.124;0.11;0.12;0.0;0.318;0.0;0.0;0.495;0.408;0.11;0.0;0.0;1.0;0.0;0.255;0.124;0.124;0.0;0.066;0.141;0.0;0.0
ENST00000640469_90_90;0.272;0.367;0.083;0.264;0.0;0.622;0.409;0.0;0.0;0.367;0.0;0.697;0.0;1.0;0.0;0.272;0.272;0.0;0.0;0.0;0.477;0.211
ENST00000640893_90_90;0.282;0.4;0.44;0.139;0.651;0.0;0.0;0.371;0.34;0.4;0.112;0.103;0.255;0.0;1.0;0.282;0.282;0.23;0.238;0.319;0.0;0.0
ENSMUST00000034198_90_90;1.0;0.412;0.187;0.072;0.361;0.218;0.068;0.175;0.17;0.412;0.058;0.235;0.124;0.272;0.282;1.0;1.0;0.284;0.469;0.592;0.273;0.145
ENSMUST00000125716_90_90;1.0;0.412;0.187;0.072;0.361;0.218;0.068;0.175;0.17;0.412;0.058;0.235;0.124;0.272;0.282;1.0;1.0;0.284;0.469;0.592;0.273;0.145
ENSMUST00000127900_90_90;0.284;0.108;0.117;0.0;0.378;0.0;0.0;0.0;0.0;0.108;0.157;0.0;0.0;0.0;0.23;0.284;0.284;1.0;0.613;0.324;0.0;0.0
ENSMUST00000137202_90_90;0.469;0.122;0.134;0.0;0.362;0.0;0.0;0.059;0.059;0.122;0.111;0.0;0.066;0.0;0.238;0.469;0.469;0.613;1.0;0.526;0.0;0.0
ENSMUST00000138659_90_90;0.592;0.187;0.202;0.0;0.419;0.0;0.0;0.201;0.195;0.187;0.066;0.0;0.141;0.0;0.319;0.592;0.592;0.324;0.526;1.0;0.044;0.046
ENSMUST00000142466_90_90;0.273;0.199;0.0;0.193;0.0;0.757;0.164;0.0;0.0;0.199;0.0;0.353;0.0;0.477;0.0;0.273;0.273;0.0;0.0;0.044;1.0;0.548
ENSMUST00000149530_90_90;0.145;0.092;0.0;0.284;0.0;0.383;0.0;0.0;0.0;0.092;0.0;0.159;0.0;0.211;0.0;0.145;0.145;0.0;0.0;0.046;0.548;1.0
