;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;0.433;0.32;0.352;0.337;0.094;0.305;0.0;0.012;0.302;0.81;0.894;0.81;0.81;0.77;0.807;0.894;0.894;0.457;0.333;0.44;0.352
ENSCAFT00000024036_90_90;0.433;1.0;0.462;0.654;0.686;0.25;0.422;0.041;0.082;0.415;0.384;0.407;0.384;0.384;0.375;0.393;0.407;0.407;0.656;0.596;0.607;0.654
ENST00000304523_90_90;0.32;0.462;1.0;0.604;0.604;0.255;0.915;0.042;0.083;0.936;0.297;0.323;0.297;0.297;0.319;0.275;0.323;0.323;0.471;0.547;0.426;0.604
ENST00000441778_90_90;0.352;0.654;0.604;1.0;0.727;0.316;0.528;0.051;0.103;0.547;0.298;0.326;0.298;0.298;0.291;0.305;0.326;0.326;0.542;0.921;0.492;1.0
ENST00000502640_90_90;0.337;0.686;0.604;0.727;1.0;0.316;0.528;0.051;0.103;0.547;0.282;0.311;0.282;0.282;0.276;0.289;0.311;0.311;0.655;0.659;0.6;0.727
ENST00000506732_90_90;0.094;0.25;0.255;0.316;0.316;1.0;0.25;0.071;0.214;0.273;0.025;0.07;0.025;0.025;0.024;0.025;0.07;0.07;0.226;0.343;0.24;0.316
ENST00000507464_90_90;0.305;0.422;0.915;0.528;0.528;0.25;1.0;0.0;0.043;0.851;0.281;0.309;0.281;0.281;0.303;0.258;0.309;0.309;0.412;0.472;0.368;0.528
ENST00000508918_90_90;0.0;0.041;0.042;0.051;0.051;0.071;0.0;1.0;0.333;0.044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.037;0.056;0.039;0.051
ENST00000512345_90_90;0.012;0.082;0.083;0.103;0.103;0.214;0.043;0.333;1.0;0.089;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.074;0.111;0.078;0.103
ENST00000515064_90_90;0.302;0.415;0.936;0.547;0.547;0.273;0.851;0.044;0.089;1.0;0.278;0.305;0.278;0.278;0.3;0.256;0.305;0.305;0.426;0.58;0.446;0.547
ENST00000361198_90_90;0.81;0.384;0.297;0.298;0.282;0.025;0.281;0.0;0.0;0.278;1.0;0.887;1.0;1.0;0.92;0.972;0.887;0.887;0.409;0.277;0.391;0.298
ENST00000425280_90_90;0.894;0.407;0.323;0.326;0.311;0.07;0.309;0.0;0.0;0.305;0.887;1.0;0.887;0.887;0.821;0.863;1.0;1.0;0.43;0.307;0.413;0.326
ENSMUST00000026252_90_90;0.81;0.384;0.297;0.298;0.282;0.025;0.281;0.0;0.0;0.278;1.0;0.887;1.0;1.0;0.92;0.972;0.887;0.887;0.409;0.277;0.391;0.298
ENSMUST00000056931_90_90;0.81;0.384;0.297;0.298;0.282;0.025;0.281;0.0;0.0;0.278;1.0;0.887;1.0;1.0;0.92;0.972;0.887;0.887;0.409;0.277;0.391;0.298
ENSMUST00000137771_90_90;0.77;0.375;0.319;0.291;0.276;0.024;0.303;0.0;0.0;0.3;0.92;0.821;0.92;0.92;1.0;0.893;0.821;0.821;0.4;0.271;0.382;0.291
ENSMUST00000152946_90_90;0.807;0.393;0.275;0.305;0.289;0.025;0.258;0.0;0.0;0.256;0.972;0.863;0.972;0.972;0.893;1.0;0.863;0.863;0.419;0.284;0.4;0.305
ENSMUST00000156585_90_90;0.894;0.407;0.323;0.326;0.311;0.07;0.309;0.0;0.0;0.305;0.887;1.0;0.887;0.887;0.821;0.863;1.0;1.0;0.43;0.307;0.413;0.326
ENSMUST00000185355_90_90;0.894;0.407;0.323;0.326;0.311;0.07;0.309;0.0;0.0;0.305;0.887;1.0;0.887;0.887;0.821;0.863;1.0;1.0;0.43;0.307;0.413;0.326
ENSMUST00000070748_90_90;0.457;0.656;0.471;0.542;0.655;0.226;0.412;0.037;0.074;0.426;0.409;0.43;0.409;0.409;0.4;0.419;0.43;0.43;1.0;0.492;0.943;0.542
ENSMUST00000199256_90_90;0.333;0.596;0.547;0.921;0.659;0.343;0.472;0.056;0.111;0.58;0.277;0.307;0.277;0.277;0.271;0.284;0.307;0.307;0.492;1.0;0.518;0.921
ENSMUST00000199261_90_90;0.44;0.607;0.426;0.492;0.6;0.24;0.368;0.039;0.078;0.446;0.391;0.413;0.391;0.391;0.382;0.4;0.413;0.413;0.943;0.518;1.0;0.492
ENSMUST00000199534_90_90;0.352;0.654;0.604;1.0;0.727;0.316;0.528;0.051;0.103;0.547;0.298;0.326;0.298;0.298;0.291;0.305;0.326;0.326;0.542;0.921;0.492;1.0
