;ENSCAFT00000024611_90_90;ENST00000312358_90_90;ENST00000396686_90_90;ENST00000396688_90_90;ENST00000396689_90_90;ENST00000396698_90_90;ENST00000403148_90_90;ENST00000409595_90_90;ENST00000412982_90_90;ENST00000420132_90_90;ENST00000431523_90_90;ENST00000435853_90_90;ENST00000451076_90_90;ENST00000452101_90_90;ENST00000617028_90_90;ENSMUST00000087122_90_90;ENSMUST00000113587_90_90;ENSMUST00000113588_90_90;ENSMUST00000113589_90_90;ENSMUST00000113590_90_90;ENSMUST00000122266_90_90;ENSMUST00000125306_90_90;ENSMUST00000132228_90_90;ENSMUST00000137868_90_90;ENSMUST00000148515_90_90
ENSCAFT00000024611_90_90;1.0;0.842;0.038;0.038;0.038;0.348;0.0;0.028;0.025;0.0;0.165;0.127;0.113;0.044;0.0;0.778;0.038;0.038;0.038;0.336;0.038;0.044;0.095;0.674;0.148
ENST00000312358_90_90;0.842;1.0;0.028;0.028;0.028;0.381;0.0;0.028;0.025;0.0;0.168;0.117;0.115;0.036;0.0;0.859;0.028;0.028;0.028;0.341;0.028;0.036;0.096;0.722;0.151
ENST00000396686_90_90;0.038;0.028;1.0;1.0;1.0;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;1.0;1.0;1.0;0.11;1.0;0.0;0.0;0.033;0.0
ENST00000396688_90_90;0.038;0.028;1.0;1.0;1.0;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;1.0;1.0;1.0;0.11;1.0;0.0;0.0;0.033;0.0
ENST00000396689_90_90;0.038;0.028;1.0;1.0;1.0;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;1.0;1.0;1.0;0.11;1.0;0.0;0.0;0.033;0.0
ENST00000396698_90_90;0.348;0.381;0.115;0.115;0.115;1.0;0.058;0.057;0.0;0.058;0.409;0.26;0.236;0.127;0.0;0.348;0.115;0.115;0.115;0.875;0.115;0.111;0.19;0.285;0.355
ENST00000403148_90_90;0.0;0.0;0.0;0.0;0.0;0.058;1.0;0.0;0.0;1.0;0.11;0.079;0.0;0.229;0.0;0.0;0.0;0.0;0.0;0.055;0.0;0.282;0.0;0.0;0.104
ENST00000409595_90_90;0.028;0.028;0.0;0.0;0.0;0.057;0.0;1.0;0.0;0.0;0.0;0.0;0.16;0.0;0.0;0.028;0.0;0.0;0.0;0.054;0.0;0.0;0.304;0.015;0.0
ENST00000412982_90_90;0.025;0.025;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.514;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0
ENST00000420132_90_90;0.0;0.0;0.0;0.0;0.0;0.058;1.0;0.0;0.0;1.0;0.11;0.079;0.0;0.229;0.0;0.0;0.0;0.0;0.0;0.055;0.0;0.282;0.0;0.0;0.104
