;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.741;0.464;0.309;0.403;0.38;0.416;0.31;0.0;0.086;0.101;0.0;0.0;0.0;0.098;0.116;0.096
ENSCAFT00000048830_90_90;0.741;1.0;0.448;0.391;0.507;0.476;0.528;0.409;0.0;0.104;0.127;0.0;0.0;0.0;0.122;0.151;0.118
ENST00000368686_90_90;0.464;0.448;1.0;0.393;0.371;0.343;0.393;0.232;0.0;0.115;0.142;0.0;0.0;0.0;0.137;0.175;0.133
ENST00000368687_90_90;0.309;0.391;0.393;1.0;0.815;0.843;0.714;0.353;0.168;0.25;0.264;0.164;0.159;0.168;0.256;0.118;0.123
ENST00000368690_90_90;0.403;0.507;0.371;0.815;1.0;0.965;0.839;0.486;0.149;0.248;0.26;0.142;0.14;0.149;0.254;0.13;0.132
ENST00000368694_90_90;0.38;0.476;0.343;0.843;0.965;1.0;0.872;0.51;0.152;0.226;0.235;0.146;0.142;0.152;0.229;0.103;0.11
ENST00000403433_90_90;0.416;0.528;0.393;0.714;0.839;0.872;1.0;0.573;0.166;0.245;0.258;0.162;0.159;0.166;0.251;0.111;0.117
ENST00000614256_90_90;0.31;0.409;0.232;0.353;0.486;0.51;0.573;1.0;0.057;0.116;0.108;0.034;0.032;0.057;0.104;0.1;0.106
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.168;0.149;0.152;0.166;0.057;1.0;0.774;0.532;0.667;0.716;1.0;0.564;0.286;0.452
ENSMUST00000049937_90_90;0.086;0.104;0.115;0.25;0.248;0.226;0.245;0.116;0.774;1.0;0.758;0.532;0.564;0.774;0.79;0.513;0.663
ENSMUST00000076639_90_90;0.101;0.127;0.142;0.264;0.26;0.235;0.258;0.108;0.532;0.758;1.0;0.688;0.667;0.532;0.959;0.609;0.52
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.164;0.142;0.146;0.162;0.034;0.667;0.532;0.688;1.0;0.925;0.667;0.667;0.318;0.296
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.159;0.14;0.142;0.159;0.032;0.716;0.564;0.667;0.925;1.0;0.716;0.708;0.358;0.328
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.168;0.149;0.152;0.166;0.057;1.0;0.774;0.532;0.667;0.716;1.0;0.564;0.286;0.452
ENSMUST00000107346_90_90;0.098;0.122;0.137;0.256;0.254;0.229;0.251;0.104;0.564;0.79;0.959;0.667;0.708;0.564;1.0;0.65;0.551
ENSMUST00000131868_90_90;0.116;0.151;0.175;0.118;0.13;0.103;0.111;0.1;0.286;0.513;0.609;0.318;0.358;0.286;0.65;1.0;0.638
ENSMUST00000146740_90_90;0.096;0.118;0.133;0.123;0.132;0.11;0.117;0.106;0.452;0.663;0.52;0.296;0.328;0.452;0.551;0.638;1.0
