;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.953;0.831;0.424;0.761;0.85;0.972;0.981;0.806;0.909;0.729;0.122
ENST00000318386_90_90;0.953;1.0;0.834;0.425;0.752;0.848;0.975;0.944;0.774;0.873;0.728;0.122
ENST00000429429_90_90;0.831;0.834;1.0;0.404;0.631;0.726;0.856;0.822;0.655;0.75;0.603;0.142
ENST00000480936_90_90;0.424;0.425;0.404;1.0;0.335;0.324;0.434;0.424;0.46;0.363;0.513;0.177
ENST00000483348_90_90;0.761;0.752;0.631;0.335;1.0;0.881;0.771;0.745;0.586;0.675;0.533;0.098
ENST00000488267_90_90;0.85;0.848;0.726;0.324;0.881;1.0;0.87;0.841;0.672;0.769;0.621;0.094
ENST00000489418_90_90;0.972;0.975;0.856;0.434;0.771;0.87;1.0;0.963;0.789;0.891;0.742;0.122
ENSMUST00000057551_90_90;0.981;0.944;0.822;0.424;0.745;0.841;0.963;1.0;0.823;0.927;0.737;0.122
ENSMUST00000075670_90_90;0.806;0.774;0.655;0.46;0.586;0.672;0.789;0.823;1.0;0.753;0.808;0.135
ENSMUST00000101354_90_90;0.909;0.873;0.75;0.363;0.675;0.769;0.891;0.927;0.753;1.0;0.667;0.05
ENSMUST00000139518_90_90;0.729;0.728;0.603;0.513;0.533;0.621;0.742;0.737;0.808;0.667;1.0;0.154
ENSMUST00000151081_90_90;0.122;0.122;0.142;0.177;0.098;0.094;0.122;0.122;0.135;0.05;0.154;1.0
