;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;;0.0;0.018;0.0;0.037;0.035;0.027;0.035;0.0;0.0;0.037;0.027;0.0;0.0;0.0
ENST00000311089_90_90;0.0;;;;;;;;;;0.28;0.221;0.0;0.612;0.0
ENST00000553645_90_90;0.018;;;;;;;;;;0.535;0.596;0.272;0.24;0.275
ENST00000554113_90_90;0.0;;;;;;;;;;0.266;0.202;0.0;0.338;0.0
ENST00000554159_90_90;0.037;;;;;;;;;;0.322;0.298;0.239;0.0;0.384
ENST00000554339_90_90;0.035;;;;;;;;;;0.482;0.38;0.0;0.438;0.0
ENST00000554871_90_90;0.027;;;;;;;;;;0.623;0.499;0.141;0.319;0.101
ENST00000555631_90_90;0.035;;;;;;;;;;0.734;0.564;0.16;0.225;0.115
ENST00000555919_90_90;0.0;;;;;;;;;;0.25;0.192;0.258;0.0;0.183
ENST00000559993_90_90;0.0;;;;;;;;;;0.319;0.243;0.0;0.508;0.0
ENSMUST00000046340_90_90;0.037;0.28;0.535;0.266;0.322;0.482;0.623;0.734;0.25;0.319;;;;;
ENSMUST00000123491_90_90;0.027;0.221;0.596;0.202;0.298;0.38;0.499;0.564;0.192;0.243;;;;;
ENSMUST00000136159_90_90;0.0;0.0;0.272;0.0;0.239;0.0;0.141;0.16;0.258;0.0;;;;;
ENSMUST00000140812_90_90;0.0;0.612;0.24;0.338;0.0;0.438;0.319;0.225;0.0;0.508;;;;;
ENSMUST00000156138_90_90;0.0;0.0;0.275;0.0;0.384;0.0;0.101;0.115;0.183;0.0;;;;;
