;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;0.982;0.871;0.91;0.871;0.319;0.98;0.91;0.98;0.965;0.977;0.91
transcript33_MGP-PahariEiJ-G0020237;0.982;1.0;0.861;0.9;0.861;0.322;0.97;0.9;0.97;0.954;0.966;0.9
transcript27_ENSRNOG00000031503;0.871;0.861;1.0;0.955;1.0;0.409;0.874;0.955;0.874;0.858;0.871;0.955
transcript27_ENSMUGG00000013649;0.91;0.9;0.955;1.0;0.955;0.394;0.913;1.0;0.913;0.897;0.91;1.0
transcript34_ENSRNOG00000031503;0.871;0.861;1.0;0.955;1.0;0.409;0.874;0.955;0.874;0.858;0.871;0.955
transcript37_ENSMUGG00000013649;0.319;0.322;0.409;0.394;0.409;1.0;0.308;0.394;0.308;0.293;0.305;0.394
transcript38_ENSMUGG00000013649;0.98;0.97;0.874;0.913;0.874;0.308;1.0;0.913;1.0;0.982;0.996;0.913
transcript40_ENSMUGG00000013649;0.91;0.9;0.955;1.0;0.955;0.394;0.913;1.0;0.913;0.897;0.91;1.0
transcript45_ENSMUGG00000013649;0.98;0.97;0.874;0.913;0.874;0.308;1.0;0.913;1.0;0.982;0.996;0.913
transcript46_ENSMUGG00000013649;0.965;0.954;0.858;0.897;0.858;0.293;0.982;0.897;0.982;1.0;0.986;0.897
transcript49_ENSMUGG00000013649;0.977;0.966;0.871;0.91;0.871;0.305;0.996;0.91;0.996;0.986;1.0;0.91
transcript39_ENSMUGG00000013592;0.91;0.9;0.955;1.0;0.955;0.394;0.913;1.0;0.913;0.897;0.91;1.0
