;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.495;1.0;0.452;0.495;0.978;1.0;1.0;0.752;0.741;0.741;0.756;0.741;0.748;0.758;0.726;0.738;0.75;0.726;0.748;0.764
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.495;1.0;0.452;0.495;0.978;1.0;1.0;0.752;0.741;0.741;0.756;0.741;0.748;0.758;0.726;0.738;0.75;0.726;0.748;0.764
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.495;1.0;0.452;0.495;0.978;1.0;1.0;0.752;0.741;0.741;0.756;0.741;0.748;0.758;0.726;0.738;0.75;0.726;0.748;0.764
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.495;1.0;0.452;0.495;0.978;1.0;1.0;0.721;0.741;0.741;0.72;0.741;0.721;0.754;0.69;0.708;0.72;0.69;0.721;0.76
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.495;1.0;0.452;0.495;0.978;1.0;1.0;0.721;0.741;0.741;0.72;0.741;0.721;0.754;0.69;0.708;0.72;0.69;0.721;0.76
transcript11_ENSHGLG00000019563;0.495;0.495;0.495;0.495;0.495;1.0;0.495;0.895;1.0;0.504;0.505;0.505;0.2;0.55;0.55;0.205;0.55;0.199;0.545;0.205;0.203;0.202;0.205;0.199;0.534
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.495;1.0;0.452;0.495;0.978;1.0;1.0;0.721;0.741;0.741;0.72;0.741;0.721;0.754;0.69;0.708;0.72;0.69;0.721;0.76
transcript26_ENSHGLG00000019563;0.452;0.452;0.452;0.452;0.452;0.895;0.452;1.0;0.895;0.462;0.46;0.46;0.166;0.507;0.507;0.17;0.507;0.165;0.498;0.17;0.169;0.168;0.17;0.165;0.489
transcript27_ENSHGLG00000019563;0.495;0.495;0.495;0.495;0.495;1.0;0.495;0.895;1.0;0.504;0.505;0.505;0.2;0.55;0.55;0.205;0.55;0.199;0.545;0.205;0.203;0.202;0.205;0.199;0.534
transcript28_ENSHGLG00000019563;0.978;0.978;0.978;0.978;0.978;0.504;0.978;0.462;0.504;1.0;0.972;0.972;0.702;0.734;0.734;0.701;0.734;0.703;0.755;0.669;0.688;0.7;0.669;0.703;0.751
transcript7_ENSHGLG00100006079;1.0;1.0;1.0;1.0;1.0;0.505;1.0;0.46;0.505;0.972;1.0;1.0;0.78;0.752;0.752;0.788;0.752;0.78;0.755;0.754;0.774;0.783;0.754;0.78;0.765
transcript10_ENSHGLG00100006079;1.0;1.0;1.0;1.0;1.0;0.505;1.0;0.46;0.505;0.972;1.0;1.0;0.78;0.752;0.752;0.788;0.752;0.78;0.755;0.754;0.774;0.783;0.754;0.78;0.765
transcript3_ENSPCIG00000036398;0.752;0.752;0.752;0.721;0.721;0.2;0.721;0.166;0.2;0.702;0.78;0.78;1.0;0.33;0.33;0.882;0.33;0.984;0.43;0.932;0.974;0.996;0.932;0.98;0.447
