;ENSCAFT00000003036_90_90;ENST00000297620_90_90;ENST00000379078_90_90;ENST00000379080_90_90;ENST00000379081_90_90;ENST00000379084_90_90;ENST00000379087_90_90;ENST00000379089_90_90;ENST00000422409_90_90;ENST00000445726_90_90;ENSMUST00000108049_90_90;ENSMUST00000108050_90_90;ENSMUST00000108052_90_90
ENSCAFT00000003036_90_90;1.0;0.907;0.534;0.829;0.785;0.715;0.812;0.903;0.865;0.999;0.917;0.864;0.999
ENST00000297620_90_90;0.907;1.0;0.366;0.71;0.828;0.687;0.857;0.782;0.744;0.913;0.922;0.873;1.0
ENST00000379078_90_90;0.534;0.366;1.0;0.428;0.326;0.416;0.414;0.502;0.52;0.443;0.392;0.406;0.469
ENST00000379080_90_90;0.829;0.71;0.428;1.0;0.837;0.562;0.812;0.914;0.775;0.798;0.843;0.886;0.78
ENST00000379081_90_90;0.785;0.828;0.326;0.837;1.0;0.668;0.853;0.771;0.732;0.755;0.897;0.843;0.828
ENST00000379084_90_90;0.715;0.687;0.416;0.562;0.668;1.0;0.695;0.635;0.744;0.631;0.639;0.591;0.714
ENST00000379087_90_90;0.812;0.857;0.414;0.812;0.853;0.695;1.0;0.898;0.759;0.782;0.78;0.814;0.857
ENST00000379089_90_90;0.903;0.782;0.502;0.914;0.771;0.635;0.898;1.0;0.856;0.869;0.78;0.814;0.857
ENST00000422409_90_90;0.865;0.744;0.52;0.775;0.732;0.744;0.759;0.856;1.0;0.831;0.736;0.688;0.815
ENST00000445726_90_90;0.999;0.913;0.443;0.798;0.755;0.631;0.782;0.869;0.831;1.0;0.922;0.873;1.0
ENSMUST00000108049_90_90;0.917;0.922;0.392;0.843;0.897;0.639;0.78;0.78;0.736;0.922;1.0;0.947;0.922
ENSMUST00000108050_90_90;0.864;0.873;0.406;0.886;0.843;0.591;0.814;0.814;0.688;0.873;0.947;1.0;0.873
ENSMUST00000108052_90_90;0.999;1.0;0.469;0.78;0.828;0.714;0.857;0.857;0.815;1.0;0.922;0.873;1.0
