id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript7_ENSMPUG00000020072;null;transcript7_ENSCCNG00000000226|0.818;null;0
transcript7_ENSSTOG00000019743;null;transcript7_ENSCCNG00000000226|0.846;null;0
transcript7_ENSCCNG00000000226;null;transcript7_ENSMPUG00000020072|0.818&transcript7_ENSSTOG00000019743|0.846;null;0
transcript7_ENSMLUG00000027828;null;null;null;1
transcript25_ENSMPUG00000020072;null;null;null;2
transcript26_ENSMLUG00000027828;transcript25_ENSMLUG00000027828|0.954;null;null;3
transcript25_ENSMLUG00000027828;transcript26_ENSMLUG00000027828|0.954;null;null;3
transcript28_ENSMPUG00000020072;null;null;null;4
transcript31_ENSECAG00000007947;transcript12_ENSECAG00000007947|1.0&transcript23_ENSECAG00000007947|1.0;null;null;5
transcript15_ENSMLUG00000027828;transcript12_ENSMLUG00000027828|0.964;null;null;5
transcript12_ENSECAG00000007947;transcript31_ENSECAG00000007947|1.0&transcript23_ENSECAG00000007947|1.0;transcript12_ENSMLUG00000027828|0.803;null;5
transcript12_ENSMLUG00000027828;transcript15_ENSMLUG00000027828|0.964;transcript12_ENSECAG00000007947|0.803;null;5
transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947|1.0&transcript12_ENSECAG00000007947|1.0;null;null;5
transcript32_ENSECAG00000007947;null;null;null;6
transcript33_ENSECAG00000007947;null;null;null;7
transcript16_ENSMLUG00000027828;null;null;null;8
transcript27_ENSMLUG00000027828;null;null;null;9
