;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.915;0.891;0.998;0.998;0.998;0.96;0.94;0.96;0.582;0.587;0.587;0.6;0.6;0.564;0.582;0.586
transcript7_ENSMUGG00000013649;0.915;1.0;0.976;0.893;0.94;0.94;0.877;0.903;0.877;0.344;0.347;0.366;0.408;0.39;0.388;0.357;0.369
transcript7_ENSMUGG00000013592;0.891;0.976;1.0;0.869;0.914;0.914;0.853;0.881;0.853;0.357;0.357;0.355;0.4;0.398;0.398;0.369;0.381
transcript7_ENSCGRG00015005362;0.998;0.893;0.869;1.0;1.0;1.0;0.958;0.943;0.958;0.309;0.319;0.338;0.362;0.343;0.328;0.309;0.329
transcript7_ENSCGRG00000018457;0.998;0.94;0.914;1.0;1.0;1.0;0.964;0.998;0.964;1.0;1.0;0.998;0.998;1.0;0.967;1.0;1.0
transcript7_ENSPEMG00000024651;0.998;0.94;0.914;1.0;1.0;1.0;0.964;0.998;0.964;1.0;1.0;0.998;0.998;1.0;0.967;1.0;1.0
transcript57_MGP-CAROLIEiJ-G0020234;0.96;0.877;0.853;0.958;0.964;0.964;1.0;0.915;1.0;0.557;0.561;0.561;0.575;0.575;0.539;0.557;0.56
transcript58_MGP-CAROLIEiJ-G0020234;0.94;0.903;0.881;0.943;0.998;0.998;0.915;1.0;0.915;0.654;0.658;0.659;0.673;0.673;0.637;0.654;0.658
transcript59_MGP-CAROLIEiJ-G0020234;0.96;0.877;0.853;0.958;0.964;0.964;1.0;0.915;1.0;0.557;0.561;0.561;0.575;0.575;0.539;0.557;0.56
transcript28_ENSMUGG00000013649;0.582;0.344;0.357;0.309;1.0;1.0;0.557;0.654;0.557;1.0;0.992;0.997;0.941;0.931;0.913;1.0;0.954
transcript42_ENSMUGG00000013649;0.587;0.347;0.357;0.319;1.0;1.0;0.561;0.658;0.561;0.992;1.0;0.997;0.941;0.947;0.905;0.992;0.964
transcript42_ENSMUGG00000013592;0.587;0.366;0.355;0.338;0.998;0.998;0.561;0.659;0.561;0.997;0.997;1.0;0.936;0.952;0.912;0.998;0.962
transcript52_ENSMUGG00000013592;0.6;0.408;0.4;0.362;0.998;0.998;0.575;0.673;0.575;0.941;0.941;0.936;1.0;0.986;0.952;0.96;0.923
transcript52_ENSCGRG00015005362;0.6;0.39;0.398;0.343;1.0;1.0;0.575;0.673;0.575;0.931;0.947;0.952;0.986;1.0;0.933;0.931;0.91
transcript53_ENSCGRG00015005362;0.564;0.388;0.398;0.328;0.967;0.967;0.539;0.637;0.539;0.913;0.905;0.912;0.952;0.933;1.0;0.911;0.865
transcript54_ENSCGRG00015005362;0.582;0.357;0.369;0.309;1.0;1.0;0.557;0.654;0.557;1.0;0.992;0.998;0.96;0.931;0.911;1.0;0.954
transcript55_ENSCGRG00015005362;0.586;0.369;0.381;0.329;1.0;1.0;0.56;0.658;0.56;0.954;0.964;0.962;0.923;0.91;0.865;0.954;1.0
