;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENSCAFT00000009009_90_90;1.0;0.771;0.97;0.825;0.916;0.771;0.481;0.26;0.592;0.607;0.707;0.665;0.66;0.562;0.629;0.347;0.475;0.975;0.55;0.777;0.921;0.777;0.831;0.921;0.506;0.612;0.961;0.348
ENST00000227214_90_90;0.771;1.0;0.778;0.909;0.844;1.0;0.619;0.326;0.736;0.486;0.883;0.864;0.56;0.73;0.818;0.448;0.527;0.772;0.702;0.993;0.838;0.993;0.902;0.838;0.646;0.781;0.759;0.341
ENST00000354190_90_90;0.97;0.778;1.0;0.856;0.922;0.778;0.481;0.255;0.577;0.589;0.692;0.672;0.66;0.568;0.636;0.348;0.423;0.995;0.546;0.772;0.916;0.772;0.85;0.916;0.502;0.608;0.981;0.37
ENST00000398492_90_90;0.825;0.909;0.856;1.0;0.778;0.909;0.562;0.297;0.671;0.449;0.805;0.785;0.516;0.663;0.744;0.407;0.485;0.85;0.638;0.902;0.772;0.902;0.994;0.772;0.587;0.71;0.837;0.432
ENST00000398494_90_90;0.916;0.844;0.922;0.778;1.0;0.844;0.522;0.277;0.625;0.638;0.749;0.729;0.716;0.616;0.69;0.378;0.454;0.916;0.592;0.838;0.994;0.838;0.772;0.994;0.545;0.659;0.903;0.292
ENST00000535129_90_90;0.771;1.0;0.778;0.909;0.844;1.0;0.619;0.326;0.736;0.486;0.883;0.864;0.56;0.73;0.818;0.448;0.527;0.772;0.702;0.993;0.838;0.993;0.902;0.838;0.646;0.781;0.759;0.341
ENST00000535582_90_90;0.481;0.619;0.481;0.562;0.522;0.619;1.0;0.519;0.773;0.706;0.65;0.716;0.73;0.349;0.756;0.724;0.783;0.479;0.699;0.616;0.519;0.616;0.559;0.519;0.951;0.781;0.485;0.52
ENST00000536527_90_90;0.26;0.326;0.255;0.297;0.277;0.326;0.519;1.0;0.405;0.397;0.342;0.376;0.383;0.064;0.397;0.706;0.419;0.259;0.47;0.333;0.281;0.333;0.303;0.281;0.515;0.423;0.263;0.697
ENST00000538227_90_90;0.592;0.736;0.577;0.671;0.625;0.736;0.773;0.405;1.0;0.581;0.772;0.847;0.673;0.476;0.893;0.559;0.636;0.594;0.889;0.764;0.644;0.764;0.694;0.644;0.839;0.969;0.602;0.431
ENST00000539157_90_90;0.607;0.486;0.589;0.449;0.638;0.486;0.706;0.397;0.581;1.0;0.555;0.547;0.88;0.266;0.571;0.549;0.596;0.605;0.541;0.5;0.656;0.5;0.461;0.656;0.712;0.609;0.613;0.427
ENST00000540431_90_90;0.707;0.883;0.692;0.805;0.749;0.883;0.65;0.342;0.772;0.555;1.0;0.907;0.583;0.622;0.859;0.47;0.549;0.708;0.769;0.91;0.768;0.91;0.827;0.768;0.708;0.855;0.718;0.371
ENST00000541597_90_90;0.665;0.864;0.672;0.785;0.729;0.864;0.716;0.376;0.847;0.547;0.907;1.0;0.632;0.594;0.947;0.518;0.596;0.667;0.812;0.857;0.723;0.857;0.779;0.723;0.748;0.904;0.676;0.389
