;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.194;0.194;0.2;0.206;0.208;0.154;0.169;0.17;0.167;0.166;0.141;0.149;0.148
transcript49_ENSMSIG00000000513;0.194;1.0;0.997;0.791;0.763;0.77;0.79;0.868;0.872;0.753;0.756;0.701;0.721;0.723
transcript49_MGP-SPRETEiJ-G0021131;0.194;0.997;1.0;0.789;0.76;0.767;0.792;0.87;0.875;0.751;0.754;0.699;0.72;0.721
transcript60_ENSMSIG00000000513;0.2;0.791;0.789;1.0;0.969;0.958;0.744;0.725;0.728;0.801;0.804;0.728;0.749;0.761
transcript61_ENSMSIG00000000513;0.206;0.763;0.76;0.969;1.0;0.989;0.719;0.7;0.703;0.775;0.778;0.704;0.725;0.737
transcript62_ENSMSIG00000000513;0.208;0.77;0.767;0.958;0.989;1.0;0.711;0.705;0.708;0.767;0.769;0.697;0.718;0.729
transcript40_MGP-SPRETEiJ-G0021131;0.154;0.79;0.792;0.744;0.719;0.711;1.0;0.903;0.905;0.907;0.91;0.885;0.91;0.914
transcript65_MGP-SPRETEiJ-G0021131;0.169;0.868;0.87;0.725;0.7;0.705;0.903;1.0;0.995;0.815;0.817;0.799;0.822;0.825
transcript66_MGP-SPRETEiJ-G0021131;0.17;0.872;0.875;0.728;0.703;0.708;0.905;0.995;1.0;0.816;0.819;0.8;0.823;0.826
transcript7_ENSMUSG00000054036;0.167;0.753;0.751;0.801;0.775;0.767;0.907;0.815;0.816;1.0;0.997;0.863;0.885;0.903
transcript46_ENSMUSG00000054036;0.166;0.756;0.754;0.804;0.778;0.769;0.91;0.817;0.819;0.997;1.0;0.866;0.888;0.905
transcript38_MGP-CAROLIEiJ-G0020234;0.141;0.701;0.699;0.728;0.704;0.697;0.885;0.799;0.8;0.863;0.866;1.0;0.972;0.954
transcript38_MGP-PahariEiJ-G0020237;0.149;0.721;0.72;0.749;0.725;0.718;0.91;0.822;0.823;0.885;0.888;0.972;1.0;0.928
transcript47_MGP-CAROLIEiJ-G0020234;0.148;0.723;0.721;0.761;0.737;0.729;0.914;0.825;0.826;0.903;0.905;0.954;0.928;1.0
