;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.116;0.17;0.158;0.084;0.05;0.05;0.05;0.139;0.999;0.711;0.711;0.711;0.959;0.696;0.999;0.05;0.671;0.985;0.05;1.0;0.985;0.047;0.975;0.96;0.21
ENST00000587805_90_90;0.116;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.109;0.149;0.149;0.149;0.113;0.151;0.109;0.0;0.157;0.11;0.0;0.116;0.118;0.0;0.119;0.121;0.0
ENST00000588116_90_90;0.17;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17;0.239;0.239;0.239;0.177;0.244;0.17;0.0;0.253;0.173;0.0;0.17;0.173;0.0;0.175;0.177;0.0
ENST00000589774_90_90;0.158;0.0;0.0;1.0;0.53;0.287;0.287;0.287;0.879;0.159;0.223;0.223;0.223;0.119;0.228;0.159;0.313;0.167;0.161;0.287;0.158;0.161;0.294;0.163;0.118;0.756
ENST00000590432_90_90;0.084;0.0;0.0;0.53;1.0;0.5;0.5;0.5;0.603;0.084;0.118;0.118;0.118;0.088;0.121;0.084;0.586;0.125;0.085;0.5;0.084;0.085;0.556;0.086;0.087;0.4
ENST00000590538_90_90;0.05;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.05;0.051;0.924;0.052;0.053;0.241
ENST00000591610_90_90;0.05;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.05;0.051;0.924;0.052;0.053;0.241
ENST00000592167_90_90;0.05;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.05;0.051;0.924;0.052;0.053;0.241
ENST00000593014_90_90;0.139;0.0;0.0;0.879;0.603;0.322;0.322;0.322;1.0;0.14;0.196;0.196;0.196;0.1;0.2;0.14;0.356;0.14;0.142;0.322;0.139;0.141;0.335;0.143;0.099;0.664
ENST00000610402_90_90;0.999;0.109;0.17;0.159;0.084;0.049;0.049;0.049;0.14;1.0;0.712;0.712;0.712;0.96;0.697;1.0;0.05;0.672;0.985;0.049;0.999;0.985;0.047;0.974;0.959;0.209
ENST00000612035_90_90;0.711;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.711;0.696;0.066;0.73;0.671;0.294
ENST00000612116_90_90;0.711;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.711;0.696;0.066;0.73;0.671;0.294
ENST00000614600_90_90;0.711;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.711;0.696;0.066;0.73;0.671;0.294
ENST00000616681_90_90;0.959;0.113;0.177;0.119;0.088;0.051;0.051;0.051;0.1;0.96;0.672;0.672;0.672;1.0;0.657;0.96;0.052;0.7;0.945;0.051;0.959;0.945;0.049;0.934;0.999;0.169
ENST00000616784_90_90;0.696;0.151;0.244;0.228;0.121;0.07;0.07;0.07;0.2;0.697;0.979;0.979;0.979;0.657;1.0;0.697;0.072;0.923;0.708;0.07;0.696;0.707;0.067;0.714;0.657;0.3
ENST00000618940_90_90;0.999;0.109;0.17;0.159;0.084;0.049;0.049;0.049;0.14;1.0;0.712;0.712;0.712;0.96;0.697;1.0;0.05;0.672;0.985;0.049;0.999;0.985;0.047;0.974;0.959;0.209
ENST00000620039_90_90;0.05;0.0;0.0;0.313;0.586;0.741;0.741;0.741;0.356;0.05;0.07;0.07;0.07;0.052;0.072;0.05;1.0;0.074;0.051;0.741;0.05;0.051;0.93;0.051;0.052;0.239
ENST00000621668_90_90;0.671;0.157;0.253;0.167;0.125;0.073;0.073;0.073;0.14;0.672;0.944;0.944;0.944;0.7;0.923;0.672;0.074;1.0;0.657;0.073;0.671;0.657;0.069;0.689;0.699;0.238
